time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314782.8390844,RIGHT_LEG,16808,720,-2000,-135,193,52,159
1731314782.8410947,RIGHT_LEG,16592,780,-2104,142,35,-13,161
1731314782.9278648,RIGHT_LEG,16784,1012,-2232,1456,471,-340,163
1731314782.9721568,RIGHT_LEG,16668,676,-2072,1002,-588,-216,165
1731314783.1073875,RIGHT_LEG,16712,676,-2460,1249,-1121,-461,167
1731314783.108361,RIGHT_LEG,16588,672,-2744,759,-901,-417,168
1731314783.1090915,RIGHT_LEG,16100,692,-3120,653,-381,-490,169
1731314783.1520813,RIGHT_LEG,16460,936,-3128,658,214,-560,170
1731314783.1527863,RIGHT_LEG,16512,1068,-3020,976,901,-756,171
1731314783.197447,RIGHT_LEG,16404,1164,-2696,1424,1462,-789,172
1731314783.2421153,RIGHT_LEG,16352,688,-2580,1120,1819,-761,173
1731314783.2873049,RIGHT_LEG,16492,1364,-1880,712,1845,-726,174
1731314783.2880383,RIGHT_LEG,16680,1128,-1360,284,1483,-533,175
1731314783.3323517,RIGHT_LEG,16620,1420,-1204,-235,889,-402,176
1731314783.3771021,RIGHT_LEG,16820,1236,-1104,-635,314,-184,177
1731314783.4221067,RIGHT_LEG,16872,1332,-1228,-396,-70,-12,178
1731314783.422767,RIGHT_LEG,16528,1296,-1540,-518,-332,60,179
1731314783.4234767,RIGHT_LEG,16604,1324,-1620,-698,-433,81,180
1731314783.5121217,RIGHT_LEG,16764,1180,-1632,-1015,-534,161,181
1731314783.5140576,RIGHT_LEG,16496,1140,-1292,-1363,-739,136,182
1731314783.514779,RIGHT_LEG,16692,1272,-1600,-1558,-912,198,183
1731314783.6021678,RIGHT_LEG,16828,1060,-2356,-1260,-741,125,184
1731314783.6028254,RIGHT_LEG,16680,1008,-1956,-1085,-400,-33,185
1731314783.6034782,RIGHT_LEG,16480,1080,-1724,-1379,-363,-102,186
1731314783.6471379,RIGHT_LEG,16640,1496,-1608,-1548,-549,-9,187
1731314783.7371676,RIGHT_LEG,16888,1400,-1288,-1065,-831,7,188
1731314783.7378433,RIGHT_LEG,16712,1212,-1592,-954,-1038,132,189
1731314783.8271103,RIGHT_LEG,16556,1224,-1744,-406,-1250,18,190
1731314783.8277836,RIGHT_LEG,16488,1232,-2448,-369,-1086,-3,191
1731314783.872169,RIGHT_LEG,16524,1300,-2392,-302,-673,-52,192
1731314783.8728325,RIGHT_LEG,16616,1356,-2524,-267,-270,-112,193
1731314783.8735518,RIGHT_LEG,16596,1416,-2036,-426,-101,-26,194
1731314783.9621172,RIGHT_LEG,16676,1332,-1984,-423,-12,50,195
1731314783.9627883,RIGHT_LEG,16544,1280,-1972,-530,-61,32,196
1731314784.007107,RIGHT_LEG,16636,1264,-1884,-550,-74,37,197
1731314784.0077617,RIGHT_LEG,16608,1204,-1696,-559,-171,-2,198
1731314784.0084252,RIGHT_LEG,16808,1140,-1396,-441,-371,-24,199
1731314784.0518537,RIGHT_LEG,16888,1236,-1352,-395,-638,-29,200
1731314784.052212,RIGHT_LEG,16760,1420,-1508,-279,-1078,74,201
1731314784.0973954,RIGHT_LEG,16760,1292,-1980,-405,-1218,233,202
1731314784.1421165,RIGHT_LEG,16328,1128,-2740,-12,-685,210,203
1731314784.2322361,RIGHT_LEG,16000,1220,-3132,400,6,9,204
1731314784.2329369,RIGHT_LEG,15372,1544,-2884,442,742,-293,205
1731314784.2774332,RIGHT_LEG,17568,640,-1952,-549,766,-233,206
1731314784.2781262,RIGHT_LEG,17592,1268,-896,-827,605,-95,207
1731314784.27883,RIGHT_LEG,16732,1508,-892,-798,-322,194,208
1731314784.3222525,RIGHT_LEG,16020,1628,-1780,-462,-813,268,209
1731314784.3671508,RIGHT_LEG,16564,1248,-2204,-458,-901,163,210
1731314784.3678346,RIGHT_LEG,16776,920,-2372,-719,-503,49,211
1731314784.4121234,RIGHT_LEG,16888,1072,-1968,-549,-133,-100,212
1731314784.502141,RIGHT_LEG,16464,1408,-1960,-462,-246,-91,213
1731314784.5028036,RIGHT_LEG,16412,1396,-1956,-497,-371,-53,214
1731314784.5034618,RIGHT_LEG,16684,1256,-2052,-489,-452,27,215
1731314784.5471463,RIGHT_LEG,16656,1348,-1924,-531,-447,69,216
1731314784.592093,RIGHT_LEG,16672,1296,-1912,-454,-389,75,217
1731314784.5927713,RIGHT_LEG,16676,1268,-1932,-255,-359,63,218
1731314784.637196,RIGHT_LEG,16728,1276,-2040,-304,-429,67,219
1731314784.7270858,RIGHT_LEG,16600,1368,-2040,7,-341,62,220
1731314784.7278183,RIGHT_LEG,16648,1312,-2104,23,-387,58,221
1731314784.7721727,RIGHT_LEG,16488,1468,-2184,-151,-316,140,222
1731314784.7728453,RIGHT_LEG,16476,1308,-2320,-234,-152,217,223
1731314784.7735133,RIGHT_LEG,16412,1376,-2160,-306,-23,293,224
1731314784.8173983,RIGHT_LEG,16504,1408,-2188,-524,75,313,225
1731314784.8620827,RIGHT_LEG,16616,1376,-1892,-662,70,385,226
1731314784.8627486,RIGHT_LEG,16596,1160,-1704,-717,-57,439,227
1731314784.9070988,RIGHT_LEG,16596,1216,-1732,-773,-242,452,228
1731314784.9522138,RIGHT_LEG,16744,1116,-1712,-839,-401,508,229
1731314784.9529104,RIGHT_LEG,16588,1148,-1632,-961,-575,485,230
1731314785.0422082,RIGHT_LEG,16756,1104,-1760,-1030,-734,499,231
1731314785.0880976,RIGHT_LEG,16772,984,-1868,-1090,-844,459,232
1731314785.088758,RIGHT_LEG,16664,1120,-1636,-1060,-996,474,233
1731314785.1321378,RIGHT_LEG,16620,1012,-2052,-949,-1039,450,234
1731314785.13282,RIGHT_LEG,16580,776,-2068,-947,-1057,323,235
1731314785.1335077,RIGHT_LEG,16824,884,-2140,-862,-1004,259,236
