time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314945.690482,RIGHT_HAND,-15908,14732,3776,-3962,15814,-6412,199
1731314945.7352123,RIGHT_HAND,-22084,16892,5884,-171,8386,-28793,201
1731314945.7813516,RIGHT_HAND,-25796,17216,11560,-14454,4866,-32768,203
1731314945.8704846,RIGHT_HAND,-23900,19220,18120,-23786,-7591,-32768,205
1731314945.9608376,RIGHT_HAND,-15984,15264,17200,-32768,-15527,-32768,207
1731314946.0494177,RIGHT_HAND,-15344,17804,8580,-32768,506,-31138,209
1731314946.0501633,RIGHT_HAND,11148,24596,-13852,-32768,32767,-18313,210
1731314946.0956984,RIGHT_HAND,11144,20824,-19104,-18459,15649,3381,211
1731314946.1393151,RIGHT_HAND,1068,4996,5360,12166,22631,4610,212
1731314946.140093,RIGHT_HAND,-8724,-14116,7232,32767,-11522,5406,213
1731314946.184277,RIGHT_HAND,-5640,-13420,7776,31604,-32768,775,214
1731314946.2304523,RIGHT_HAND,-19788,-18512,1276,-5588,-15173,-832,215
1731314946.231195,RIGHT_HAND,-16940,-9816,276,-13690,5520,-909,216
1731314946.2757282,RIGHT_HAND,-13436,-9404,2816,-817,7892,-420,217
1731314946.3197608,RIGHT_HAND,-10084,-10844,2272,6017,5153,373,218
1731314946.3205407,RIGHT_HAND,-11084,-11556,2520,-1063,2973,714,219
1731314946.3654385,RIGHT_HAND,-10960,-10208,2108,-4532,3801,303,220
1731314946.4107354,RIGHT_HAND,-10088,-9308,2212,-213,4502,524,221
1731314946.4115047,RIGHT_HAND,-10588,-10148,2608,3311,-4240,631,222
1731314946.4557383,RIGHT_HAND,-11980,-11748,1092,1880,-3112,887,223
1731314946.5015042,RIGHT_HAND,-12208,-11964,2196,-633,3132,821,224
1731314946.5022185,RIGHT_HAND,-12248,-10648,2120,-2351,-440,398,225
1731314946.545349,RIGHT_HAND,-11268,-10076,1168,-1580,2637,682,226
1731314946.5893052,RIGHT_HAND,-11584,-9392,900,-329,-294,990,227
1731314946.590083,RIGHT_HAND,-10984,-8776,468,-823,2646,1154,228
1731314946.634264,RIGHT_HAND,-9988,-8308,608,1393,2518,2014,229
1731314946.680705,RIGHT_HAND,-8308,-7092,-760,2293,1933,4115,230
1731314946.681485,RIGHT_HAND,-6940,-5228,-996,2761,4020,9414,231
1731314946.7252965,RIGHT_HAND,-7788,-3152,-1528,2740,4817,17013,232
1731314946.770553,RIGHT_HAND,-7428,-628,-4792,2983,17055,23588,233
1731314946.8154783,RIGHT_HAND,-6296,2424,-2536,-674,17260,30308,234
1731314946.8162315,RIGHT_HAND,-8432,1840,-260,929,15408,32767,235
1731314946.8604157,RIGHT_HAND,-8176,5444,744,6020,1786,32767,236
1731314946.9057412,RIGHT_HAND,-12840,8636,-904,5111,-3178,32767,237
1731314946.9065108,RIGHT_HAND,-15548,15148,168,-278,-296,32767,238
1731314946.950409,RIGHT_HAND,-16968,19596,1648,-4205,5584,32767,239
1731314946.9957273,RIGHT_HAND,-14268,23076,3016,-4039,13776,32767,240
1731314946.9965515,RIGHT_HAND,-12928,23940,3652,-7422,8809,32767,241
1731314947.0403943,RIGHT_HAND,-10364,23952,3108,-13914,935,32767,242
1731314947.084445,RIGHT_HAND,-9100,23432,3892,-12723,-7527,28838,243
1731314947.0852172,RIGHT_HAND,-8948,20676,5432,-5823,-14683,14948,244
1731314947.1304448,RIGHT_HAND,-10016,18780,3912,-3914,-17206,5834,245
1731314947.1754131,RIGHT_HAND,-10172,17428,4368,-2556,-16155,241,246
1731314947.176183,RIGHT_HAND,-9536,16512,5140,-2949,-15306,-1525,247
1731314947.2188957,RIGHT_HAND,-9324,15232,2680,-3527,-17321,183,248
1731314947.2654054,RIGHT_HAND,-7604,12776,1012,-5057,-18641,-2836,249
1731314947.2661583,RIGHT_HAND,-6872,17456,-4120,2966,-32768,-10533,250
1731314947.309456,RIGHT_HAND,-13736,18164,-8216,13135,-32768,-10732,251
1731314947.3554602,RIGHT_HAND,-12212,15624,-7976,10559,-15483,-6533,252
1731314947.3562088,RIGHT_HAND,-9048,13560,180,-2528,9829,1583,253
1731314947.4004204,RIGHT_HAND,-5336,14288,4624,-2560,8242,2437,254
1731314947.4460027,RIGHT_HAND,-2364,15408,3484,2010,4577,374,255
1731314947.4467626,RIGHT_HAND,-456,14636,632,1691,1370,-444,1
1731314947.4904442,RIGHT_HAND,-408,14828,740,-1306,-2534,-686,2
1731314947.5344741,RIGHT_HAND,-1892,16004,1464,-1010,-8837,-1388,3
1731314947.5804925,RIGHT_HAND,-4032,15988,1624,1506,-11171,-2226,4
1731314947.624286,RIGHT_HAND,-5464,15200,696,1440,-8631,-2226,5
1731314947.6250656,RIGHT_HAND,-5788,15200,228,-257,-4880,-1649,6
1731314947.6705072,RIGHT_HAND,-5756,15768,212,-1259,-2008,-799,7
1731314947.671269,RIGHT_HAND,-5312,16076,96,-1280,1511,93,8
1731314947.7154076,RIGHT_HAND,-4332,15792,972,-617,3341,535,9
1731314947.7602856,RIGHT_HAND,-3788,15460,820,-1162,3349,451,10
1731314947.7610507,RIGHT_HAND,-3304,15808,1280,-1626,2951,591,11
1731314947.8065524,RIGHT_HAND,-2864,15912,1520,-629,1857,228,12
1731314947.8493063,RIGHT_HAND,-2652,15780,1388,-583,164,-162,13
1731314947.8500865,RIGHT_HAND,-2864,16000,1072,-1165,-1003,-298,14
1731314947.8956313,RIGHT_HAND,-3444,16180,856,-502,-2341,-378,15
1731314947.939382,RIGHT_HAND,-3920,15952,708,-204,-1104,-156,16
1731314947.9401689,RIGHT_HAND,-3964,15628,940,-559,164,103,17
1731314947.984431,RIGHT_HAND,-3704,15764,976,-941,658,141,18
1731314948.0294323,RIGHT_HAND,-3448,16064,1164,-728,23,27,19
1731314948.0302482,RIGHT_HAND,-3352,15900,888,-610,166,16,20
1731314948.0754437,RIGHT_HAND,-3336,15756,1004,-297,-598,-62,21
1731314948.1192791,RIGHT_HAND,-3456,15836,1124,-509,-688,-134,22
1731314948.1200204,RIGHT_HAND,-3704,15700,1164,-427,-1005,-177,23
1731314948.1655462,RIGHT_HAND,-3828,15840,692,-621,-1046,-105,24
1731314948.2093318,RIGHT_HAND,-3912,15776,700,-445,-693,-91,25
1731314948.2104182,RIGHT_HAND,-3956,15756,1056,-591,-316,-62,26
1731314948.2544472,RIGHT_HAND,-3740,15668,1136,-623,-324,-56,27
1731314948.2995284,RIGHT_HAND,-3588,15516,924,-450,-71,-137,28
