time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731314880.9380934,RIGHT_LEG,16520,1304,-2816,-1298,-866,259,101
1731314881.0271556,RIGHT_LEG,16580,1376,-3372,-493,-857,-113,103
1731314881.0729423,RIGHT_LEG,16280,1492,-3408,174,-574,-462,105
1731314881.1621091,RIGHT_LEG,16312,1596,-3424,150,-359,-364,107
1731314881.2085226,RIGHT_LEG,16276,1708,-3776,150,58,-111,109
1731314881.2521546,RIGHT_LEG,16188,1684,-3496,144,362,3,110
1731314881.2972534,RIGHT_LEG,16320,1740,-3416,113,455,212,111
1731314881.29799,RIGHT_LEG,16072,1688,-2816,220,337,384,112
1731314881.3420992,RIGHT_LEG,16432,1232,-2880,290,371,404,113
1731314881.3428516,RIGHT_LEG,16536,1312,-3140,349,513,207,114
1731314881.3871253,RIGHT_LEG,16684,1484,-3172,258,699,78,115
1731314881.4321952,RIGHT_LEG,16744,808,-2708,-1246,277,80,116
1731314881.4329178,RIGHT_LEG,16700,1404,-2360,-1039,-169,-19,117
1731314881.5224364,RIGHT_LEG,16592,1728,-2540,-859,-578,38,118
1731314881.5671337,RIGHT_LEG,16484,1608,-2856,-306,-666,125,119
1731314881.56779,RIGHT_LEG,16460,1464,-3192,-453,-669,161,120
1731314881.568448,RIGHT_LEG,16332,1276,-3184,-710,-440,119,121
1731314881.612112,RIGHT_LEG,16460,1372,-2752,-688,-508,-40,122
1731314881.6571004,RIGHT_LEG,16192,1728,-3084,-391,-481,-116,123
1731314881.6577816,RIGHT_LEG,16380,1464,-3056,-477,-366,-91,124
1731314881.702277,RIGHT_LEG,16592,1252,-2992,-484,-381,-127,125
1731314881.7472236,RIGHT_LEG,16436,1464,-3200,-328,-357,-261,126
1731314881.7921953,RIGHT_LEG,16376,1676,-3084,-344,-358,-243,127
1731314881.8371966,RIGHT_LEG,16460,1588,-3060,-489,-403,-145,128
1731314881.8379133,RIGHT_LEG,16388,1516,-3100,-493,-424,-122,129
1731314881.8386893,RIGHT_LEG,16456,1500,-3128,-403,-364,-159,130
1731314881.8821304,RIGHT_LEG,16388,1636,-3152,-329,-241,-158,131
1731314881.9272127,RIGHT_LEG,16448,1696,-3136,-332,-125,-120,132
1731314881.927905,RIGHT_LEG,16360,1528,-3132,-384,-145,-97,133
1731314881.972147,RIGHT_LEG,16300,1640,-3084,-313,-83,-109,134
1731314882.0171783,RIGHT_LEG,16388,1704,-2908,-342,-87,-68,135
1731314882.017855,RIGHT_LEG,16376,1608,-3100,-304,-174,-15,136
1731314882.0622318,RIGHT_LEG,16476,1604,-2852,-329,-250,28,137
1731314882.1071389,RIGHT_LEG,16384,1600,-2960,-346,-273,56,138
1731314882.107842,RIGHT_LEG,16280,1668,-2916,-412,-322,33,139
1731314882.1518111,RIGHT_LEG,16452,1668,-2908,-412,-334,72,140
1731314882.197231,RIGHT_LEG,16540,1592,-2844,-441,-383,82,141
1731314882.242176,RIGHT_LEG,16384,1592,-3008,-429,-405,118,142
1731314882.2428825,RIGHT_LEG,16412,1560,-2992,-388,-379,99,143
1731314882.3322206,RIGHT_LEG,16340,1600,-2812,-455,-368,132,144
1731314882.377178,RIGHT_LEG,16456,1652,-2728,-400,-431,194,145
1731314882.3779106,RIGHT_LEG,16460,1588,-3080,-282,-494,245,146
1731314882.4218662,RIGHT_LEG,16372,1608,-3276,-166,-453,228,147
1731314882.422221,RIGHT_LEG,16400,1328,-3084,-185,-392,179,148
1731314882.4676783,RIGHT_LEG,16376,1452,-3216,-439,-336,165,149
1731314882.5121634,RIGHT_LEG,16336,1408,-3116,-335,-275,120,150
1731314882.557105,RIGHT_LEG,16592,1532,-3020,-291,-343,69,151
1731314882.5577695,RIGHT_LEG,16456,1520,-2756,-147,-417,65,152
1731314882.6021292,RIGHT_LEG,16404,1548,-3004,-252,-525,98,153
1731314882.6471324,RIGHT_LEG,16400,1448,-3176,-273,-554,98,154
1731314882.6921797,RIGHT_LEG,16384,1444,-3212,-135,-479,47,155
1731314882.692873,RIGHT_LEG,16364,1468,-3224,-237,-408,100,156
1731314882.7371008,RIGHT_LEG,16372,1596,-3332,-376,-241,118,157
1731314882.73777,RIGHT_LEG,16396,1464,-3344,-295,-98,130,158
1731314882.7821665,RIGHT_LEG,16264,1516,-3160,-166,51,120,159
1731314882.8270981,RIGHT_LEG,16484,1444,-3008,-262,122,160,160
1731314882.8277726,RIGHT_LEG,16528,1428,-3012,-283,109,195,161
1731314882.8725102,RIGHT_LEG,16392,1420,-3064,-264,64,202,162
1731314882.9170954,RIGHT_LEG,16488,1368,-3004,-256,134,151,163
1731314882.9177582,RIGHT_LEG,16592,1312,-2868,-276,154,88,164
1731314882.9626114,RIGHT_LEG,16444,1388,-2924,-451,83,67,165
1731314883.0071003,RIGHT_LEG,16544,1308,-2916,-638,80,5,166
1731314883.0078154,RIGHT_LEG,16572,1368,-2928,-549,84,-167,167
1731314883.052211,RIGHT_LEG,16544,1408,-2632,-594,-18,-218,168
1731314883.0972037,RIGHT_LEG,16356,1528,-2496,-802,-235,-128,169
1731314883.142228,RIGHT_LEG,16368,1504,-2844,-629,-349,-51,170
1731314883.1429627,RIGHT_LEG,16384,1556,-3060,-707,-334,-72,171
1731314883.1872418,RIGHT_LEG,16488,1512,-2892,-562,-103,-88,172
1731314883.2769153,RIGHT_LEG,16492,1532,-2948,-759,-125,-25,173
1731314883.2774003,RIGHT_LEG,16564,1648,-2760,-447,-125,0,174
1731314883.3218946,RIGHT_LEG,16484,1648,-2748,-451,-213,53,175
1731314883.3223293,RIGHT_LEG,16428,1456,-2836,-372,-244,58,176
1731314883.3226995,RIGHT_LEG,16504,1556,-2716,-445,-273,30,177
1731314883.3672287,RIGHT_LEG,16480,1540,-2644,-476,-306,57,178
1731314883.4568818,RIGHT_LEG,16472,1656,-2672,-430,-360,77,179
1731314883.4572892,RIGHT_LEG,16468,1496,-2712,-381,-329,125,180
1731314883.5024822,RIGHT_LEG,16340,1500,-2820,-383,-340,108,181
1731314883.5035965,RIGHT_LEG,16496,1452,-2788,-370,-305,85,182
1731314883.54746,RIGHT_LEG,16508,1384,-2800,-299,-310,78,183
1731314883.5483372,RIGHT_LEG,16400,1568,-2860,-242,-345,45,184
