time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731315043.7028072,RIGHT_HAND,-2360,6520,-3124,-4785,6301,-19540,81
1731315043.8372362,RIGHT_HAND,-792,8932,-7272,-458,6299,-4184,83
1731315043.8390892,RIGHT_HAND,424,14180,-6124,5017,9335,14667,85
1731315043.8821275,RIGHT_HAND,396,23868,1868,6962,4622,32767,87
1731315043.972519,RIGHT_HAND,-3836,32767,13036,19940,-18347,32767,89
1731315044.01715,RIGHT_HAND,-8928,32767,23100,18902,-32768,32767,91
1731315044.0622869,RIGHT_HAND,-11536,32767,31336,23080,-32768,32767,92
1731315044.1071806,RIGHT_HAND,-14492,32767,32767,26405,-32768,32767,93
1731315044.1090791,RIGHT_HAND,-16284,32767,32767,29376,-32768,32767,94
1731315044.1097593,RIGHT_HAND,-16880,32767,32767,26406,-32768,32767,95
1731315044.1521235,RIGHT_HAND,-16068,32767,31480,24964,-32768,32767,96
1731315044.1971264,RIGHT_HAND,-15312,32767,25056,23792,-28676,32767,97
1731315044.242323,RIGHT_HAND,-16144,32560,15912,17803,-22387,32008,98
1731315044.2871435,RIGHT_HAND,-17656,25508,12192,13556,-13035,29045,99
1731315044.3771253,RIGHT_HAND,-18516,19548,9552,12519,-6600,27005,100
1731315044.377808,RIGHT_HAND,-21720,12916,9072,10768,-12222,22754,101
1731315044.4224727,RIGHT_HAND,-24552,4140,10552,12986,-24167,8068,102
1731315044.4232225,RIGHT_HAND,-23336,2276,3600,10979,-27962,-6642,103
1731315044.4671347,RIGHT_HAND,-19504,3536,2916,-10262,-6117,-12247,104
1731315044.5121114,RIGHT_HAND,-15900,7232,4624,-29725,10916,-16271,105
1731315044.5127933,RIGHT_HAND,-14964,15248,5188,-32768,16669,-18478,106
1731315044.5571387,RIGHT_HAND,-10588,22288,7180,-28052,16899,-23839,107
1731315044.6021142,RIGHT_HAND,-9372,24428,7840,-29573,17419,-28633,108
1731315044.602803,RIGHT_HAND,-8992,28356,9916,-31925,19508,-30645,109
1731315044.6486697,RIGHT_HAND,-8536,32456,11712,-29123,23376,-31613,110
1731315044.6921148,RIGHT_HAND,-7588,32767,12572,-23372,26554,-31163,111
1731315044.6927984,RIGHT_HAND,-6484,32767,12260,-20490,29179,-29078,112
1731315044.737833,RIGHT_HAND,-5664,32767,11108,-19444,30308,-26013,113
1731315044.7821038,RIGHT_HAND,-5364,32767,9440,-18357,32109,-23131,114
1731315044.7827964,RIGHT_HAND,-4064,30204,9108,-15115,32767,-21895,115
1731315044.8274822,RIGHT_HAND,-3008,27876,6240,-13389,32767,-20607,116
1731315044.8721094,RIGHT_HAND,-2164,25280,3988,-10421,32767,-19821,117
1731315044.8727925,RIGHT_HAND,-272,23120,4684,-6949,32767,-18489,118
1731315044.9174707,RIGHT_HAND,1512,21388,5020,-2357,30178,-16102,119
1731315044.962115,RIGHT_HAND,2704,18820,3304,2228,22990,-12881,120
1731315044.9628036,RIGHT_HAND,3636,15444,1692,4329,16161,-9796,121
1731315045.0071394,RIGHT_HAND,3844,13144,844,4295,7383,-5858,122
1731315045.0521119,RIGHT_HAND,3460,11232,788,2853,-2331,-2142,123
1731315045.0527992,RIGHT_HAND,2164,10732,-148,-1266,-11946,2025,124
1731315045.0974355,RIGHT_HAND,-108,10212,-1232,-3436,-18765,6094,125
1731315045.1420772,RIGHT_HAND,-2884,9556,-1768,-5276,-23685,11071,126
1731315045.1435766,RIGHT_HAND,-7460,10736,-1044,-8256,-27141,18049,127
1731315045.1872337,RIGHT_HAND,-12628,15276,440,-9301,-25028,26113,128
1731315045.232245,RIGHT_HAND,-15172,17752,2904,-4695,-13155,31628,129
1731315045.2776873,RIGHT_HAND,-14344,18620,2452,-1248,-4992,32767,130
1731315045.278438,RIGHT_HAND,-11624,18864,3088,-1987,-2526,32767,131
1731315045.3225722,RIGHT_HAND,-8852,18220,4400,-4272,-5386,32767,132
1731315045.3671029,RIGHT_HAND,-6604,19432,5032,-9232,-13025,32546,133
1731315045.3678064,RIGHT_HAND,-6452,23268,5516,-11408,-21021,29190,134
1731315045.5034208,RIGHT_HAND,-7104,26228,7324,-9999,-23356,25424,135
1731315045.5471046,RIGHT_HAND,-7164,25452,9444,-3472,-21151,20214,136
1731315045.5478027,RIGHT_HAND,-6496,21024,8148,3594,-18588,13654,137
1731315045.548476,RIGHT_HAND,-6016,16596,5884,5103,-17344,7535,138
1731315045.549148,RIGHT_HAND,-5828,13808,3868,3748,-16394,2608,139
1731315045.5920994,RIGHT_HAND,-6020,13044,3644,1234,-14726,-1082,140
1731315045.592771,RIGHT_HAND,-6228,14244,4332,342,-12257,-3657,141
1731315045.636862,RIGHT_HAND,-6396,16280,5344,-628,-8714,-5053,142
1731315045.6373136,RIGHT_HAND,-5940,17012,5968,-711,-4379,-6302,143
1731315045.682122,RIGHT_HAND,-4792,13392,4648,1851,-2425,-9131,144
1731315045.772418,RIGHT_HAND,-4212,10932,2156,-1924,-1838,-11009,145
1731315045.7740722,RIGHT_HAND,-4836,13016,1648,-9681,864,-10987,146
1731315045.77474,RIGHT_HAND,-5932,18212,3556,-12415,7145,-10321,147
1731315045.8171313,RIGHT_HAND,-6004,20600,4828,-9322,14394,-10173,148
1731315045.8177948,RIGHT_HAND,-5184,18624,3412,-6278,19994,-10451,149
1731315045.8626103,RIGHT_HAND,-4236,17916,2996,-7726,26085,-11119,150
1731315045.9071155,RIGHT_HAND,-3276,19448,4824,-7539,30284,-11774,151
1731315045.9520938,RIGHT_HAND,-1872,20152,6480,-4466,31014,-11870,152
1731315045.9527564,RIGHT_HAND,-616,19688,6560,-2226,27565,-10741,153
1731315045.9971437,RIGHT_HAND,248,17968,6280,-138,21642,-9126,154
1731315046.0422215,RIGHT_HAND,996,15580,5444,892,13104,-7774,155
1731315046.0871272,RIGHT_HAND,796,14288,4464,-247,5253,-6242,156
1731315046.0878322,RIGHT_HAND,-144,14300,3876,-1962,44,-4066,157
1731315046.1321247,RIGHT_HAND,-1464,14772,3544,-3045,-2203,-1454,158
1731315046.1328466,RIGHT_HAND,-2364,15248,3192,-4383,-1964,1632,159
1731315046.1771314,RIGHT_HAND,-3076,15624,3464,-5450,195,4221,160
1731315046.2218912,RIGHT_HAND,-3428,15440,3692,-6063,1754,5742,161
1731315046.2223186,RIGHT_HAND,-3620,15160,3120,-6963,907,6535,162
1731315046.2681231,RIGHT_HAND,-4180,15640,3496,-7921,109,6878,163
1731315046.3121986,RIGHT_HAND,-4472,16056,3548,-7185,-1482,6929,164
1731315046.3570874,RIGHT_HAND,-4784,16096,3208,-5638,-3268,6366,165
