time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317076.9893985,RIGHT_LEG,16268,-4168,-60,-180,138,77,114
1731317076.9910543,RIGHT_LEG,16168,-4288,-52,-177,229,-1,116
1731317077.0352616,RIGHT_LEG,16404,-4244,500,-352,-155,-76,118
1731317077.124427,RIGHT_LEG,16340,-4160,-124,-490,-661,-63,120
1731317077.169328,RIGHT_LEG,16396,-4140,-84,-534,-533,-174,122
1731317077.2143037,RIGHT_LEG,16280,-4148,-128,-452,-425,-172,123
1731317077.2151146,RIGHT_LEG,16368,-4104,-280,-367,-343,-122,124
1731317077.2594855,RIGHT_LEG,16404,-4076,-12,-358,-275,-81,125
1731317077.3044856,RIGHT_LEG,16412,-4104,80,-394,-310,1,126
1731317077.3492596,RIGHT_LEG,16340,-4148,-96,-324,-352,53,127
1731317077.3943586,RIGHT_LEG,16332,-4252,-196,-295,-331,49,128
1731317077.4392443,RIGHT_LEG,16240,-4160,-76,-220,-283,47,129
1731317077.4398277,RIGHT_LEG,16364,-4060,4,-262,-334,55,130
1731317077.4842355,RIGHT_LEG,16392,-4056,28,-306,-386,79,131
1731317077.5739787,RIGHT_LEG,16336,-4148,-212,-400,-339,60,132
1731317077.5744767,RIGHT_LEG,16304,-4200,-224,-313,-278,27,133
1731317077.6189332,RIGHT_LEG,16224,-4240,-136,-333,-90,-3,134
1731317077.6194406,RIGHT_LEG,16312,-4180,-144,-344,-38,-53,135
1731317077.6198447,RIGHT_LEG,16316,-4144,28,-245,15,-69,136
1731317077.6642392,RIGHT_LEG,16304,-4152,-36,-297,-11,-56,137
1731317077.7093403,RIGHT_LEG,16384,-4116,156,-373,-32,-51,138
1731317077.710192,RIGHT_LEG,16400,-4184,16,-431,-51,-60,139
1731317077.7989726,RIGHT_LEG,16332,-4204,-76,-464,-26,-135,140
1731317077.843909,RIGHT_LEG,16324,-4064,-16,-377,-24,-98,141
1731317077.844373,RIGHT_LEG,16356,-4156,100,-372,-61,-83,142
1731317077.889447,RIGHT_LEG,16364,-4060,160,-390,-156,-21,143
1731317077.890303,RIGHT_LEG,16304,-4040,84,-442,-163,-13,144
1731317077.9344227,RIGHT_LEG,16288,-4160,88,-336,-160,1,145
