time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317743.2741764,RIGHT_HAND,-1472,30196,-5004,10847,5047,3822,244
1731317743.3198292,RIGHT_HAND,-88,32767,-3244,24489,-6007,-2610,246
1731317743.4091735,RIGHT_HAND,-1212,32767,2892,30362,-10264,-6974,248
1731317743.454796,RIGHT_HAND,-3616,29516,4140,32767,-7999,-10459,250
1731317743.5441134,RIGHT_HAND,-6520,24284,660,32767,-5202,-9870,252
1731317743.589571,RIGHT_HAND,-2556,17508,4692,32767,9880,-8450,254
1731317743.6342933,RIGHT_HAND,-1460,12128,2180,32767,4038,-8514,255
1731317743.6352625,RIGHT_HAND,-712,6592,732,32767,2033,-10069,1
1731317743.6792238,RIGHT_HAND,-996,2496,1056,32767,-3451,-9986,2
1731317743.723235,RIGHT_HAND,-1152,788,2128,30526,-3975,-9014,3
1731317743.7240376,RIGHT_HAND,-416,-5224,4088,27729,163,-10309,4
1731317743.7691686,RIGHT_HAND,1984,-9272,4532,21891,4060,-8879,5
1731317743.814205,RIGHT_HAND,3664,-11588,5760,11103,5278,-5757,6
1731317743.815063,RIGHT_HAND,3120,-11060,5328,-308,307,-1518,7
1731317743.8593502,RIGHT_HAND,2284,-9968,2832,-10002,-3704,1146,8
1731317743.904779,RIGHT_HAND,1472,-8432,-868,-13677,829,3181,9
1731317743.9056532,RIGHT_HAND,152,-5304,-3008,-16883,2364,5366,10
1731317743.9491599,RIGHT_HAND,-692,-3548,-4868,-20512,3631,6591,11
1731317743.994323,RIGHT_HAND,-1276,-1500,-6480,-19742,2133,5247,12
1731317743.9951344,RIGHT_HAND,-1028,1656,-4952,-22918,4462,4652,13
1731317744.0395663,RIGHT_HAND,-580,1852,-5192,-24064,411,4668,14
1731317744.0861921,RIGHT_HAND,-1364,5396,-9008,-27389,-7761,4436,15
1731317744.0871093,RIGHT_HAND,-2464,8400,-7704,-32768,-6650,6113,16
1731317744.1292133,RIGHT_HAND,-3212,11852,-6228,-32768,-5375,5838,17
1731317744.1744137,RIGHT_HAND,-5212,16452,-10148,-32768,-11169,8366,18
1731317744.219612,RIGHT_HAND,-5668,18444,-8712,-32768,-4510,9175,19
1731317744.220408,RIGHT_HAND,-5864,20780,-7588,-30950,2698,8430,20
1731317744.264865,RIGHT_HAND,-5336,22144,-8136,-25136,4477,7282,21
1731317744.2652593,RIGHT_HAND,-3660,23776,-8348,-23170,4500,6300,22
1731317744.3088198,RIGHT_HAND,-3416,23252,-7800,-20327,3396,5380,23
1731317744.3545253,RIGHT_HAND,-2384,21936,-5472,-16718,6128,3415,24
1731317744.3992336,RIGHT_HAND,-1576,21996,-6360,-17354,4234,2477,25
1731317744.3999174,RIGHT_HAND,-1896,22932,-7608,-16967,-456,2947,26
1731317744.4443576,RIGHT_HAND,-1592,20632,-1844,-12882,2582,1051,27
1731317744.489302,RIGHT_HAND,-752,19684,908,-11198,-2906,-1163,28
1731317744.490063,RIGHT_HAND,-2816,20620,-3476,-13321,-9011,314,29
1731317744.5342243,RIGHT_HAND,-2960,19036,512,-12497,-3234,-301,30
1731317744.5791838,RIGHT_HAND,-2348,17844,2020,-8674,-4496,-1934,31
1731317744.5798717,RIGHT_HAND,-3764,19264,-1516,-13931,-5961,834,32
1731317744.6241875,RIGHT_HAND,-3112,20112,1272,-13114,1676,1040,33
1731317744.6691236,RIGHT_HAND,-2444,19672,944,-6869,1545,397,34
1731317744.6698215,RIGHT_HAND,-2208,17392,316,-6990,2772,1212,35
1731317744.7141612,RIGHT_HAND,-1496,17376,2560,-9281,5003,1949,36
1731317744.7591183,RIGHT_HAND,-844,18384,2988,-7190,2076,1476,37
1731317744.75981,RIGHT_HAND,-1184,18340,2400,-6012,1424,1841,38
1731317744.8041518,RIGHT_HAND,-1056,17696,3088,-5795,3713,1344,39
1731317744.849421,RIGHT_HAND,-100,17240,5528,-3682,4188,973,40
1731317744.9400032,RIGHT_HAND,520,15984,6828,-1257,380,348,41
1731317744.9407234,RIGHT_HAND,300,15460,6032,-2075,-2564,-59,42
1731317744.984226,RIGHT_HAND,1212,17132,4684,-3207,-4875,-859,43
1731317744.984947,RIGHT_HAND,1596,18064,4288,1312,-9210,-2082,44
1731317745.0291464,RIGHT_HAND,-312,16620,4236,1993,-15003,-2793,45
1731317745.0741487,RIGHT_HAND,-3644,15936,3608,-1266,-15931,-1715,46
1731317745.0748749,RIGHT_HAND,-4588,16400,4388,-2220,-4652,-1078,47
1731317745.119145,RIGHT_HAND,-3556,16180,5632,-634,3761,846,48
1731317745.164183,RIGHT_HAND,-1980,15192,6064,905,5371,890,49
1731317745.164878,RIGHT_HAND,-920,14884,5476,-177,3307,1112,50
1731317745.2092109,RIGHT_HAND,-308,15596,5360,-1604,3593,1259,51
1731317745.2544696,RIGHT_HAND,-592,16068,6684,-932,1436,1207,52
1731317745.2991843,RIGHT_HAND,-648,15820,6500,74,1267,956,53
1731317745.2999113,RIGHT_HAND,-148,15452,6548,-186,2772,1302,54
1731317745.3441472,RIGHT_HAND,-256,15152,6168,-763,-42,900,55
1731317745.3448653,RIGHT_HAND,-388,15556,5688,-553,190,410,56
1731317745.389219,RIGHT_HAND,-484,15412,5904,-654,492,286,57
1731317745.434245,RIGHT_HAND,-380,15600,5768,-811,-454,-63,58
1731317745.4791768,RIGHT_HAND,-720,15696,6008,-554,-908,-336,59
1731317745.4798675,RIGHT_HAND,-400,15636,6076,-657,275,-338,60
1731317745.5241797,RIGHT_HAND,-464,15612,5968,-768,-235,8,61
1731317745.5691063,RIGHT_HAND,-992,15720,5920,-673,-1085,100,62
1731317745.5697937,RIGHT_HAND,-1456,15704,5792,-591,165,343,63
1731317745.6141274,RIGHT_HAND,-1260,15756,5900,-494,1022,623,64
1731317745.660248,RIGHT_HAND,-944,15728,5692,-345,2068,662,65
1731317745.6611078,RIGHT_HAND,-584,15724,5628,-323,2517,809,66
1731317745.7044368,RIGHT_HAND,-628,15624,5868,-707,2146,725,67
1731317745.7491713,RIGHT_HAND,-492,15824,5840,-539,2245,320,68
1731317745.7499082,RIGHT_HAND,-100,15644,5880,-163,2583,79,69
1731317745.7939832,RIGHT_HAND,84,15612,6268,-321,2007,86,70
1731317745.8393238,RIGHT_HAND,-228,15352,6148,-424,-480,-272,71
1731317745.8400419,RIGHT_HAND,-436,15164,5872,-466,-777,-593,72
1731317745.883864,RIGHT_HAND,-812,15508,5848,-803,-231,-460,73
