time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731317892.5411906,RIGHT_HAND,-7592,17376,3096,-2373,-5827,-7610,236
1731317892.63019,RIGHT_HAND,-13992,22772,3000,-3865,-14888,-28848,238
1731317892.6752925,RIGHT_HAND,-24816,26344,5172,5269,-24380,-32768,240
1731317892.720872,RIGHT_HAND,-28776,22692,16152,-42,-8653,-32768,242
1731317892.810196,RIGHT_HAND,-22368,21520,14012,-9611,23678,-32768,244
1731317892.856035,RIGHT_HAND,-15028,18308,14216,3992,32767,-32768,246
1731317892.900155,RIGHT_HAND,-10824,14340,14228,8141,32767,-32768,247
1731317892.945113,RIGHT_HAND,-7356,12332,14088,12847,32767,-32768,248
1731317892.9458475,RIGHT_HAND,-4168,11532,16652,21199,32767,-32768,249
1731317892.990833,RIGHT_HAND,-1440,7496,16336,29131,32767,-32768,250
1731317892.9912271,RIGHT_HAND,4440,1332,19312,24252,32767,-32768,251
1731317893.0354872,RIGHT_HAND,8960,-4472,22900,20279,32767,-30669,252
1731317893.0801866,RIGHT_HAND,16152,-11380,22032,20302,32767,-25454,253
1731317893.0809798,RIGHT_HAND,17524,-11664,19372,8528,32767,-22375,254
1731317893.125342,RIGHT_HAND,20836,-13708,24696,10341,19791,-11533,255
1731317893.1700788,RIGHT_HAND,14956,-16036,26648,16350,1167,-1218,1
1731317893.2151928,RIGHT_HAND,8344,-18084,23940,11181,-10279,4057,2
1731317893.2159376,RIGHT_HAND,8324,-19440,22444,5009,-9685,5847,3
1731317893.2602026,RIGHT_HAND,4716,-18512,20468,-823,-7637,10047,4
1731317893.3059735,RIGHT_HAND,3808,-20120,24188,-4830,-13277,9292,5
1731317893.306395,RIGHT_HAND,840,-19740,23356,-12694,-28300,8935,6
1731317893.3502858,RIGHT_HAND,388,-18052,18116,-24809,-32768,11059,7
1731317893.3952107,RIGHT_HAND,1256,-16408,13828,-32768,-29132,14412,8
1731317893.3959422,RIGHT_HAND,-740,-8704,6324,-32768,-21244,22521,9
1731317893.4861004,RIGHT_HAND,-3412,-1724,-492,-32768,-7794,30287,10
1731317893.5302076,RIGHT_HAND,-1700,7616,-5188,-32768,4279,32767,11
