time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318068.6701186,RIGHT_HAND,-25104,12588,7308,2132,-2566,-18605,236
1731318068.7151928,RIGHT_HAND,-22768,13804,10996,-6900,21281,-19654,238
1731318068.7609246,RIGHT_HAND,-17764,14564,11608,-3771,32767,-16109,240
1731318068.8524573,RIGHT_HAND,-12632,14204,7368,-673,32767,-13641,242
1731318068.8951085,RIGHT_HAND,-6696,14176,3220,2795,32767,-6223,244
1731318068.9408813,RIGHT_HAND,1920,11308,2584,5283,32767,3087,246
1731318068.984852,RIGHT_HAND,4764,8072,-224,6350,32767,1333,247
1731318069.0301309,RIGHT_HAND,7284,8552,-5108,1426,26250,-4451,248
1731318069.0750928,RIGHT_HAND,7232,10444,-5532,-3010,10994,-1656,249
1731318069.0758562,RIGHT_HAND,4908,10524,-3816,597,6615,-5480,250
1731318069.121114,RIGHT_HAND,80,14640,-7132,-3432,-6350,-6570,251
1731318069.1662736,RIGHT_HAND,-5812,19764,-3984,-8244,-3879,-9489,252
1731318069.1670074,RIGHT_HAND,-8380,30408,104,-2204,91,-19035,253
1731318069.210217,RIGHT_HAND,-11060,27724,-3516,15942,2866,-21685,254
1731318069.2550907,RIGHT_HAND,-9732,19416,-8132,17146,17608,-19101,255
1731318069.255786,RIGHT_HAND,-4864,7564,-7556,29574,16158,-9234,1
1731318069.300063,RIGHT_HAND,160,-3812,-17204,32767,915,-2919,2
1731318069.3448732,RIGHT_HAND,19076,-32768,-29608,32767,-13449,-18030,3
1731318069.3456922,RIGHT_HAND,32767,-32768,21268,25439,18122,-6002,4
1731318069.3901448,RIGHT_HAND,21392,-32768,1404,-13901,19909,11378,5
1731318069.4348106,RIGHT_HAND,4612,-32768,388,16802,15859,1409,6
1731318069.4351916,RIGHT_HAND,4964,-32768,2000,13061,-6775,-6410,7
1731318069.4801993,RIGHT_HAND,-4496,-31140,4000,-16086,-23116,-3205,8
1731318069.525201,RIGHT_HAND,-7388,-15728,-5408,-23987,-28317,4923,9
1731318069.526054,RIGHT_HAND,-3756,-1072,-11184,-32768,2300,18474,10
1731318069.5701783,RIGHT_HAND,-3364,10580,-7600,-32768,32767,27675,11
1731318069.6152592,RIGHT_HAND,-2696,15620,-6604,-32768,25916,28657,12
1731318069.6161528,RIGHT_HAND,4336,22180,8756,-32768,25920,3865,13
1731318069.6603296,RIGHT_HAND,9864,32767,10080,-32768,-28220,11093,14
1731318069.705194,RIGHT_HAND,-6060,28288,-19344,32767,-32768,-11352,15
1731318069.7060058,RIGHT_HAND,-4400,10976,-11992,30891,-11768,-10987,16
1731318069.7502558,RIGHT_HAND,1952,4488,-14764,18768,26870,-2185,17
1731318069.795217,RIGHT_HAND,3940,-5264,-10072,14563,7872,5243,18
1731318069.795943,RIGHT_HAND,7320,-872,-18072,-2478,2888,-1647,19
1731318069.8411765,RIGHT_HAND,5024,1512,-16896,-6918,-3712,-597,20
1731318069.885146,RIGHT_HAND,1400,2892,-13788,-6429,-684,1178,21
1731318069.9302177,RIGHT_HAND,696,3196,-13868,-1838,-1495,745,22
1731318069.9309847,RIGHT_HAND,1836,3484,-14640,1612,1849,-261,23
1731318069.9751322,RIGHT_HAND,3512,3520,-14056,-1840,4448,1312,24
