time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318578.4771523,RIGHT_LEG,21780,-3576,-15400,9478,-803,3428,145
1731318578.523195,RIGHT_LEG,27552,-2572,-15396,4281,-15934,8514,147
1731318578.5679097,RIGHT_LEG,32767,-1344,-14892,15555,-32768,14556,149
1731318578.6571262,RIGHT_LEG,32767,-3504,-15920,5482,-32768,19787,151
1731318578.7032292,RIGHT_LEG,32767,-9424,1196,-21782,-32768,12842,153
1731318578.7471907,RIGHT_LEG,32767,-5548,-2408,-28993,-32768,3997,154
1731318578.7479317,RIGHT_LEG,32767,-6748,-1752,-14857,-32768,3980,155
1731318578.7921937,RIGHT_LEG,32767,-8848,3400,-1546,-32768,2170,156
1731318578.8370755,RIGHT_LEG,25852,-6712,8752,7779,-28394,1662,157
1731318578.8377342,RIGHT_LEG,22120,296,9844,4916,-24274,1991,158
1731318578.8821013,RIGHT_LEG,16840,420,13844,2809,-19728,1978,159
1731318578.9270873,RIGHT_LEG,11012,1648,17196,-4936,-13032,1307,160
1731318578.92774,RIGHT_LEG,6256,3728,20412,-1608,-7007,-56,161
1731318578.9731264,RIGHT_LEG,2688,2312,22108,3448,176,-1908,162
1731318579.0170996,RIGHT_LEG,3368,2508,19044,1555,8389,-2861,163
1731318579.0177677,RIGHT_LEG,6400,736,13064,1113,15321,-4134,164
1731318579.0622084,RIGHT_LEG,10288,-1544,7044,598,18885,-4598,165
1731318579.1071532,RIGHT_LEG,13528,-3388,2060,2802,21159,-4907,166
1731318579.1078234,RIGHT_LEG,18744,-4888,-3308,1100,24917,-5351,167
1731318579.1522584,RIGHT_LEG,19296,-6504,-6296,-985,26328,-4954,168
1731318579.1972046,RIGHT_LEG,25244,-8776,-10248,-4800,26504,-4004,169
1731318579.1979465,RIGHT_LEG,25928,-6784,-11884,-1449,28002,-3054,170
1731318579.2421825,RIGHT_LEG,24476,-9156,-9988,-3131,28603,-2674,171
1731318579.2886772,RIGHT_LEG,30960,-7396,-12668,-5378,27776,-1374,172
1731318579.3321338,RIGHT_LEG,30904,-6928,-15684,-114,28761,-1235,173
1731318579.3328507,RIGHT_LEG,25516,-5876,-13308,567,25929,-1986,174
1731318579.3781478,RIGHT_LEG,27836,-4540,-13136,-7066,21056,-493,175
1731318579.4221222,RIGHT_LEG,26752,-200,-13556,-4956,20940,-327,176
1731318579.4228604,RIGHT_LEG,17752,-5572,-10724,-10023,17425,-2018,177
1731318579.4675891,RIGHT_LEG,26936,3708,-12832,-18255,13567,890,178
1731318579.512131,RIGHT_LEG,17300,-2012,-10376,-4322,8597,944,179
1731318579.5128746,RIGHT_LEG,16872,-2268,-7384,-19985,5519,-1806,180
1731318579.557147,RIGHT_LEG,20368,6936,-8924,-18518,5316,-541,181
1731318579.6021202,RIGHT_LEG,16112,24,-7152,-7581,3259,-1069,182
1731318579.6028395,RIGHT_LEG,17040,-1828,-7348,-13828,3275,-4545,183
1731318579.6471565,RIGHT_LEG,18964,-15032,-23040,-9446,-3244,1166,184
1731318579.692126,RIGHT_LEG,23360,3920,-2152,-511,-6973,-1139,185
1731318579.6928341,RIGHT_LEG,15192,-7156,-2356,2258,-2032,-1525,186
1731318579.7371755,RIGHT_LEG,17244,-1156,2820,-526,-1629,-1830,187
1731318579.7822645,RIGHT_LEG,15860,-1836,72,-1417,-1713,-1370,188
1731318579.782981,RIGHT_LEG,16880,-2676,-1212,1930,-2139,-1354,189
1731318579.8271465,RIGHT_LEG,16388,-2924,-2448,1065,-1680,-1525,190
1731318579.872139,RIGHT_LEG,16156,-2668,-1820,2836,-526,-1919,191
1731318579.872857,RIGHT_LEG,16132,-3032,-332,2752,154,-2187,192
1731318579.9171357,RIGHT_LEG,17080,-1688,-88,1681,338,-2048,193
1731318579.962432,RIGHT_LEG,17268,-1108,92,1353,-47,-1532,194
1731318579.963089,RIGHT_LEG,17364,-1284,-308,1069,-305,-836,195
1731318580.0071664,RIGHT_LEG,16956,-1428,-1120,138,-7,-385,196
1731318580.0524845,RIGHT_LEG,16736,-1688,-336,27,408,-13,197
1731318580.0971115,RIGHT_LEG,16808,-1612,-196,-496,577,209,198
1731318580.0977898,RIGHT_LEG,17476,-1908,-276,-1046,-141,797,199
1731318580.1431408,RIGHT_LEG,16952,-2056,84,-826,-104,1210,200
1731318580.1870973,RIGHT_LEG,16700,-2072,420,-1866,107,1163,201
1731318580.1877723,RIGHT_LEG,16588,-2704,4,-1734,318,884,202
1731318580.2321289,RIGHT_LEG,16228,-2192,-576,-1705,519,631,203
1731318580.2770975,RIGHT_LEG,16368,-2216,-792,-696,1114,497,204
1731318580.277762,RIGHT_LEG,16656,-1936,-68,-494,1123,480,205
1731318580.3221226,RIGHT_LEG,16536,-2916,1244,-280,830,494,206
1731318580.3671286,RIGHT_LEG,16552,-2664,276,-813,905,283,207
1731318580.3678336,RIGHT_LEG,16704,-2212,52,-187,825,203,208
1731318580.41212,RIGHT_LEG,16900,-2404,688,-328,554,252,209
1731318580.4570918,RIGHT_LEG,16408,-2480,868,-282,363,316,210
1731318580.4577668,RIGHT_LEG,16600,-2400,676,-543,224,278,211
1731318580.5021226,RIGHT_LEG,16416,-2192,800,-982,125,325,212
1731318580.5027897,RIGHT_LEG,16764,-2740,788,-1510,36,294,213
1731318580.547131,RIGHT_LEG,16680,-3016,416,-2020,75,47,214
1731318580.5921211,RIGHT_LEG,16504,-2416,864,-1300,-67,4,215
1731318580.6370945,RIGHT_LEG,16636,-2568,428,-1260,-173,-111,216
1731318580.6378117,RIGHT_LEG,16688,-2552,936,-1196,-331,-202,217
1731318580.682245,RIGHT_LEG,16672,-2552,576,-1079,-361,-245,218
1731318580.6830945,RIGHT_LEG,16660,-2596,596,-1112,-449,-265,219
1731318580.7272289,RIGHT_LEG,16700,-2260,364,-821,-433,-312,220
1731318580.7721603,RIGHT_LEG,16316,-2348,344,-611,-239,-366,221
1731318580.8171496,RIGHT_LEG,16740,-2208,392,-145,-141,-370,222
1731318580.8179228,RIGHT_LEG,16504,-2280,456,134,-76,-405,223
1731318580.8621504,RIGHT_LEG,16640,-2008,832,122,-52,-341,224
1731318580.907156,RIGHT_LEG,16512,-2204,804,-140,-6,-286,225
1731318580.952188,RIGHT_LEG,16816,-2200,540,133,-149,-310,226
1731318580.9528782,RIGHT_LEG,16652,-2496,860,299,-253,-350,227
1731318580.9971526,RIGHT_LEG,16708,-2132,560,-180,-243,-475,228
