time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318818.2827983,RIGHT_HAND,3288,9324,10560,-14531,-3303,-18315,167
1731318818.461937,RIGHT_HAND,7996,19124,8360,-19981,-7794,-2114,169
1731318818.463383,RIGHT_HAND,11704,32767,-5696,-10671,-32768,6531,171
1731318818.5077376,RIGHT_HAND,1848,19284,20980,-16298,-32768,32767,173
1731318818.5967832,RIGHT_HAND,-16604,31048,32767,-223,-32768,27118,175
1731318818.6414735,RIGHT_HAND,-25968,20668,16920,7900,-32768,12978,177
1731318818.686772,RIGHT_HAND,-25480,21552,9440,3508,-21898,6677,178
1731318818.6875646,RIGHT_HAND,-23536,19432,12928,929,3506,5034,179
1731318818.7314243,RIGHT_HAND,-21604,17676,18500,-2704,8819,-925,180
1731318818.7764843,RIGHT_HAND,-20492,19908,18428,-5591,5958,-8031,181
1731318818.777241,RIGHT_HAND,-19832,23784,19520,-5626,7824,-15293,182
1731318818.8215394,RIGHT_HAND,-20832,26288,20232,-5222,10052,-19639,183
1731318818.8663294,RIGHT_HAND,-20644,27348,23696,-9154,13176,-24291,184
1731318818.867168,RIGHT_HAND,-20944,29572,26580,-9820,15633,-27880,185
1731318818.9118433,RIGHT_HAND,-22224,30604,30356,-7050,18918,-28898,186
1731318818.956491,RIGHT_HAND,-23408,29172,30456,-5807,19613,-32035,187
1731318818.9572418,RIGHT_HAND,-21772,28960,29128,-9178,24513,-32768,188
1731318819.0018466,RIGHT_HAND,-21036,28928,27052,-9344,31505,-32768,189
1731318819.0464694,RIGHT_HAND,-19192,27188,24028,-6694,32767,-32768,190
1731318819.0472765,RIGHT_HAND,-16152,25208,22872,-7956,32767,-32768,191
1731318819.0915034,RIGHT_HAND,-13616,23912,22480,-6233,32767,-32768,192
1731318819.1363566,RIGHT_HAND,-9868,23024,18220,-5215,32767,-32768,193
1731318819.1373327,RIGHT_HAND,-4608,22532,16000,-4124,32767,-32768,194
1731318819.1813822,RIGHT_HAND,-36,20676,16792,2742,32767,-29690,195
1731318819.2261848,RIGHT_HAND,5592,15972,15972,8187,32767,-26291,196
1731318819.2268853,RIGHT_HAND,9348,10236,14100,9286,29020,-22950,197
1731318819.2711725,RIGHT_HAND,12140,5652,11256,10340,21899,-21581,198
1731318819.3164358,RIGHT_HAND,13968,532,6672,12597,16878,-17064,199
1731318819.3613896,RIGHT_HAND,15956,-4408,2468,12374,16833,-14122,200
1731318819.3621886,RIGHT_HAND,16208,-9352,1632,14062,18167,-10774,201
1731318819.4068432,RIGHT_HAND,15460,-10032,-376,9069,-513,-7147,202
1731318819.451767,RIGHT_HAND,15348,-12696,-7332,-390,-6506,-4267,203
1731318819.4525363,RIGHT_HAND,7612,-10720,-5668,-4477,-15135,-380,204
1731318819.4964893,RIGHT_HAND,4160,-11340,-3580,1812,-18715,2080,205
1731318819.5417438,RIGHT_HAND,2516,-14880,-8160,6319,-4593,4100,206
1731318819.542514,RIGHT_HAND,88,-16008,-6136,-350,-3673,5160,207
1731318819.586921,RIGHT_HAND,-2176,-14504,-4276,-2178,-6352,5576,208
1731318819.6314108,RIGHT_HAND,-2852,-12864,-6536,75,-7325,4223,209
1731318819.6321893,RIGHT_HAND,-1852,-10796,-6860,-1394,-2465,3522,210
1731318819.6765358,RIGHT_HAND,300,-9668,-4584,-2999,2670,4127,211
1731318819.7666378,RIGHT_HAND,3280,-9656,-9424,-3000,7915,8383,212
1731318819.7676198,RIGHT_HAND,2604,-9432,-6540,-3556,15028,10275,213
1731318819.811441,RIGHT_HAND,3424,-9256,-3056,-6068,12750,11575,214
1731318819.8121269,RIGHT_HAND,1012,-7408,-5620,-5188,1004,12987,215
1731318819.8127992,RIGHT_HAND,1216,-6164,-5080,-6805,14267,14245,216
1731318819.856485,RIGHT_HAND,-32,-4768,-2260,-9037,1534,16532,217
1731318819.9014978,RIGHT_HAND,-2060,-1924,-4016,-8925,-3766,19295,218
1731318819.9022672,RIGHT_HAND,-2200,-1524,-396,-8323,-4477,18885,219
1731318819.9469748,RIGHT_HAND,-5584,172,-1016,-6824,-24245,19722,220
1731318819.991447,RIGHT_HAND,-10464,2960,-2256,-10327,-21604,22024,221
1731318819.9922004,RIGHT_HAND,-8600,-4368,-736,-12747,-12718,22697,222
1731318820.037041,RIGHT_HAND,-13928,5708,-2512,-10334,-14502,26826,223
1731318820.0813873,RIGHT_HAND,-17060,5980,808,-5509,-18548,27347,224
1731318820.0821168,RIGHT_HAND,-17548,9060,-1336,-7498,-20238,29488,225
1731318820.1263611,RIGHT_HAND,-19692,9604,2768,-11880,-16103,29124,226
