time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1731318812.7931256,RIGHT_LEG,14444,-2428,4536,-136,4820,-4032,159
1731318812.8381724,RIGHT_LEG,17308,-1956,3512,777,5434,-4353,161
1731318812.928139,RIGHT_LEG,19580,-1360,3324,-1024,6267,-6622,163
1731318813.0181596,RIGHT_LEG,15820,1628,7344,-146,4330,-4957,165
1731318813.0643914,RIGHT_LEG,13320,1344,7180,74,1819,-1950,167
1731318813.1081538,RIGHT_LEG,15436,172,7272,-73,2125,-1016,168
1731318813.1090312,RIGHT_LEG,16964,196,6964,434,1187,-774,169
1731318813.1534095,RIGHT_LEG,14056,976,7224,203,1003,-632,170
1731318813.198459,RIGHT_LEG,15836,-60,7332,-269,700,-286,171
1731318813.1991615,RIGHT_LEG,16044,772,7108,71,-212,380,172
1731318813.2439585,RIGHT_LEG,15364,1076,7976,44,-876,1108,173
1731318813.2883976,RIGHT_LEG,15296,216,7788,-85,-1927,1522,174
1731318813.2891521,RIGHT_LEG,15512,792,7840,193,-2671,1973,175
1731318813.3332453,RIGHT_LEG,15164,464,7844,55,-3491,2599,176
1731318813.3787904,RIGHT_LEG,16012,632,7240,-365,-4304,3368,177
1731318813.4232876,RIGHT_LEG,15188,276,6700,-385,-4942,3969,178
1731318813.4240198,RIGHT_LEG,16012,-852,6424,-868,-5145,4292,179
1731318813.4681377,RIGHT_LEG,16696,-1012,5888,-869,-5838,4504,180
1731318813.5131118,RIGHT_LEG,15460,-836,6228,-1241,-6648,4576,181
1731318813.513837,RIGHT_LEG,16196,-776,5420,-2135,-6713,5320,182
1731318813.558138,RIGHT_LEG,15656,-1832,5448,-2146,-7357,6140,183
1731318813.60311,RIGHT_LEG,15872,-1100,4708,-1683,-7936,6348,184
1731318813.603861,RIGHT_LEG,15932,-3832,4380,-702,-8461,6535,185
1731318813.6481328,RIGHT_LEG,15896,-3504,3344,-748,-8513,6157,186
1731318813.6932366,RIGHT_LEG,15892,-2552,1848,-1394,-8395,5788,187
1731318813.693973,RIGHT_LEG,15172,-6528,-192,-2635,-6917,4385,188
1731318813.738204,RIGHT_LEG,15024,-5692,-232,-1419,-5627,2925,189
1731318813.7831783,RIGHT_LEG,15456,-4676,-348,-708,-4174,2013,190
1731318813.7839224,RIGHT_LEG,16604,-4616,-348,-1928,-3004,1465,191
1731318813.8281496,RIGHT_LEG,16188,-4160,-892,-1969,-1997,1109,192
1731318813.8722749,RIGHT_LEG,15704,-4892,-860,-1155,-1041,787,193
1731318813.8738606,RIGHT_LEG,15868,-4680,-228,-976,-241,358,194
1731318813.918238,RIGHT_LEG,15956,-5540,748,-740,102,1,195
1731318813.9631333,RIGHT_LEG,15824,-4544,736,-751,57,-59,196
1731318813.963865,RIGHT_LEG,16732,-4188,480,-403,-289,225,197
1731318814.0081415,RIGHT_LEG,16580,-4836,832,-1090,-955,388,198
1731318814.0532403,RIGHT_LEG,15700,-5040,612,-1224,-1132,255,199
1731318814.0539858,RIGHT_LEG,15684,-5016,48,-695,-818,-32,200
1731318814.0998018,RIGHT_LEG,16948,-4960,8,-489,-1265,-45,201
1731318814.1444788,RIGHT_LEG,16304,-4924,396,-852,-1526,128,202
1731318814.1890182,RIGHT_LEG,15188,-4528,172,-1136,-1148,9,203
1731318814.1897008,RIGHT_LEG,16244,-5340,0,-658,-1024,-225,204
1731318814.233228,RIGHT_LEG,15944,-4956,496,-866,-1036,-143,205
1731318814.2781188,RIGHT_LEG,16624,-4444,-300,-1481,-1181,34,206
1731318814.2788422,RIGHT_LEG,16200,-4712,-268,-1614,-1325,-1,207
1731318814.3232367,RIGHT_LEG,15368,-4616,-52,-1330,-1142,-83,208
1731318814.3681843,RIGHT_LEG,16576,-4876,-580,-745,-1247,-107,209
1731318814.368911,RIGHT_LEG,16216,-4472,-428,-1142,-1137,51,210
1731318814.4134195,RIGHT_LEG,15932,-4304,-724,-540,-1067,-9,211
1731318814.4581237,RIGHT_LEG,16116,-5012,-552,-842,-879,-83,212
1731318814.4588056,RIGHT_LEG,16252,-4260,-656,-361,-885,74,213
1731318814.503853,RIGHT_LEG,16288,-4772,-776,-216,-833,-23,214
1731318814.548117,RIGHT_LEG,16084,-4416,-408,-309,-716,71,215
1731318814.5488105,RIGHT_LEG,16124,-4692,-392,-188,-653,296,216
1731318814.593432,RIGHT_LEG,16252,-4568,-1004,-828,-646,249,217
1731318814.638116,RIGHT_LEG,15840,-4304,-656,45,-607,316,218
1731318814.63886,RIGHT_LEG,16224,-4928,-808,-121,-611,310,219
1731318814.6834574,RIGHT_LEG,16236,-5096,-772,-588,-653,311,220
1731318814.7732532,RIGHT_LEG,15972,-4520,-756,-456,-572,359,221
1731318814.7739763,RIGHT_LEG,16080,-4988,-932,-511,-401,278,222
1731318814.8181872,RIGHT_LEG,16084,-4828,-680,-250,-408,201,223
1731318814.8188949,RIGHT_LEG,16112,-4784,-712,-19,-479,282,224
1731318814.8195927,RIGHT_LEG,16276,-5148,-1064,-420,-365,233,225
1731318814.863213,RIGHT_LEG,16024,-4844,-864,-260,-188,118,226
1731318814.9082298,RIGHT_LEG,15936,-4668,-780,-374,-122,75,227
1731318814.9532857,RIGHT_LEG,16200,-4936,-564,-425,-253,126,228
1731318814.9540105,RIGHT_LEG,16092,-4788,-604,-540,-329,163,229
1731318814.9982157,RIGHT_LEG,16044,-5008,-904,-599,-314,114,230
1731318815.0432045,RIGHT_LEG,16144,-4924,-640,-504,-341,147,231
1731318815.043889,RIGHT_LEG,15932,-4876,-768,-403,-365,121,232
1731318815.0882251,RIGHT_LEG,15920,-5012,-592,-374,-412,103,233
1731318815.088936,RIGHT_LEG,16016,-5064,-776,-330,-360,52,234
1731318815.1331139,RIGHT_LEG,16032,-4800,-880,-227,-296,44,235
1731318815.1781187,RIGHT_LEG,16088,-4936,-808,-409,-237,-16,236
1731318815.2231905,RIGHT_LEG,15884,-4888,-508,-171,-260,-103,237
1731318815.223919,RIGHT_LEG,16180,-4756,-820,-39,-273,-85,238
1731318815.2681098,RIGHT_LEG,16184,-4748,-652,-84,-354,6,239
1731318815.3131075,RIGHT_LEG,16080,-4852,-740,-285,-335,37,240
1731318815.313783,RIGHT_LEG,15736,-4956,-648,-181,-188,6,241
1731318815.358112,RIGHT_LEG,16428,-4884,-824,-295,-391,60,242
