time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589524.2471108,RIGHT_HAND,-3044,16216,-5152,-805,513,175,78
1729589524.2923791,RIGHT_HAND,-8728,18744,-9772,3580,15052,6168,80
1729589524.3387048,RIGHT_HAND,876,20056,-7824,6185,32767,3699,82
1729589524.4276557,RIGHT_HAND,3880,21672,-9668,20675,-4827,52,84
1729589524.4725516,RIGHT_HAND,-4696,20124,-21236,23702,-15092,-4933,86
1729589524.518069,RIGHT_HAND,-7016,21576,-16980,29467,6624,-7044,88
1729589524.5627291,RIGHT_HAND,-5352,19992,-16352,32767,7648,-8977,89
1729589524.6074755,RIGHT_HAND,-3904,15900,-14564,32767,6739,-10749,90
1729589524.6522164,RIGHT_HAND,-3536,11928,-13052,32767,5974,-12386,91
1729589524.6526403,RIGHT_HAND,-2456,8472,-9568,32767,7619,-13314,92
1729589524.7432728,RIGHT_HAND,-1224,4824,-2964,32767,12638,-11296,93
1729589524.7875445,RIGHT_HAND,-132,1440,1584,32767,14419,-6515,94
1729589524.7884245,RIGHT_HAND,1384,-9928,1096,32767,11948,-7389,95
1729589524.7892241,RIGHT_HAND,1924,-8640,1304,18374,4836,-9231,96
1729589524.8362808,RIGHT_HAND,664,-3700,8640,-7660,-6190,-9471,97
1729589524.8771489,RIGHT_HAND,-200,-2020,15304,-10027,-14962,-9138,98
1729589524.8776593,RIGHT_HAND,844,-2964,14624,-21224,-8299,-5147,99
1729589524.9222877,RIGHT_HAND,-312,156,13512,-32768,-6498,-4921,100
1729589524.9230714,RIGHT_HAND,660,6104,10400,-32768,-12605,-4165,101
1729589524.968101,RIGHT_HAND,-1732,18040,-4116,-32768,-23337,-5313,102
1729589525.0123415,RIGHT_HAND,-2432,32052,-11088,-32768,-24899,-2786,103
1729589525.0128686,RIGHT_HAND,-9776,32767,-6268,-32768,-20960,3764,104
1729589525.0572586,RIGHT_HAND,-9652,32767,-6384,-32768,-11018,89,105
1729589525.1022174,RIGHT_HAND,-8216,32767,-23472,-10860,-3648,3082,106
1729589525.1026373,RIGHT_HAND,-3400,32056,-27264,1105,2416,1917,107
1729589525.1475916,RIGHT_HAND,-2048,24172,-20816,9595,-4515,106,108
1729589525.1930306,RIGHT_HAND,-5688,19880,-15292,14467,-10096,-1551,109
1729589525.2382658,RIGHT_HAND,-8872,18496,-15412,17886,-4980,-2238,110
1729589525.2394657,RIGHT_HAND,-6824,19248,-14724,17745,3777,-3557,111
1729589525.2822502,RIGHT_HAND,-6556,19564,-11280,21394,548,-3581,112
1729589525.2828462,RIGHT_HAND,-7612,18552,-11544,28136,-1495,-5047,113
1729589525.3275108,RIGHT_HAND,-7424,16340,-14456,31484,1396,-6914,114
1729589525.3745656,RIGHT_HAND,-7096,14036,-15544,31976,3093,-7705,115
1729589525.4178946,RIGHT_HAND,-6488,12964,-17476,32577,6400,-7644,116
1729589525.4190266,RIGHT_HAND,-6500,11668,-18036,32767,8439,-7418,117
1729589525.462197,RIGHT_HAND,-5212,9800,-18984,32767,11567,-6946,118
1729589525.5072708,RIGHT_HAND,-4884,7796,-18440,32767,13756,-6815,119
1729589525.5078363,RIGHT_HAND,-3596,4796,-16472,32767,14271,-6354,120
1729589525.5548773,RIGHT_HAND,-4224,2248,-16356,32767,15391,-5631,121
1729589525.597205,RIGHT_HAND,-2612,-352,-13600,32767,22293,-5542,122
1729589525.5977242,RIGHT_HAND,-1308,-4968,-8048,32767,25624,-3713,123
1729589525.64307,RIGHT_HAND,-196,-8796,-5764,32767,24257,-6001,124
1729589525.6884973,RIGHT_HAND,2408,-13128,-3960,32767,25445,-5995,125
1729589525.6907027,RIGHT_HAND,3156,-15696,960,32767,23342,-5067,126
1729589525.7325075,RIGHT_HAND,4532,-16684,556,31590,16154,-4051,127
1729589525.8225894,RIGHT_HAND,3928,-18236,3572,28528,15524,-4882,128
1729589525.8234773,RIGHT_HAND,3400,-19148,6368,25903,12027,-5016,129
1729589525.8672547,RIGHT_HAND,2816,-19248,8736,20410,11375,-5374,130
