time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589439.1107738,RIGHT_LEG,15172,-3136,5872,-443,-257,18,236
1729589439.1997795,RIGHT_LEG,15428,-2900,6112,-385,-295,34,238
1729589439.2447462,RIGHT_LEG,15704,-3116,6172,-387,-369,-10,240
1729589439.2899976,RIGHT_LEG,15460,-2948,6116,-513,-383,57,242
1729589439.3833938,RIGHT_LEG,15520,-2948,6040,-441,-338,168,244
1729589439.423508,RIGHT_LEG,15436,-3204,5956,-450,-336,168,245
1729589439.4699194,RIGHT_LEG,15560,-3008,5964,-458,-310,143,246
1729589439.5142887,RIGHT_LEG,15452,-3088,5856,-397,-284,180,247
1729589439.514969,RIGHT_LEG,15412,-3144,5896,-452,-250,145,248
1729589439.5592554,RIGHT_LEG,15472,-3232,6040,-440,-322,116,249
1729589439.6058493,RIGHT_LEG,15508,-3052,5896,-512,-335,52,250
1729589439.6074777,RIGHT_LEG,15400,-3212,5984,-401,-280,40,251
1729589439.6493518,RIGHT_LEG,15588,-3256,5884,-328,-276,3,252
1729589439.7003884,RIGHT_LEG,15328,-3100,6088,-415,-319,-99,253
1729589439.7013006,RIGHT_LEG,15584,-3204,5824,-462,-345,-124,254
1729589439.7415311,RIGHT_LEG,15544,-3188,5928,-406,-292,-158,255
1729589439.7839851,RIGHT_LEG,15336,-3032,5908,-338,-180,-192,1
1729589439.7843077,RIGHT_LEG,15352,-3104,5996,-308,-125,-192,2
1729589439.8292627,RIGHT_LEG,15504,-2992,6120,-312,-118,-248,3
1729589439.8736699,RIGHT_LEG,15520,-3128,6012,-312,-86,-263,4
1729589439.875645,RIGHT_LEG,15384,-2780,6096,-358,-118,-250,5
1729589439.9200642,RIGHT_LEG,15500,-2820,6172,-425,-144,-155,6
1729589439.9647286,RIGHT_LEG,15416,-2896,6316,-465,-271,-38,7
1729589440.0084782,RIGHT_LEG,15440,-3064,6040,-406,-428,7,8
1729589440.009008,RIGHT_LEG,15684,-2836,6104,-309,-476,125,9
1729589440.0540488,RIGHT_LEG,15512,-2664,6140,-418,-526,231,10
1729589440.0993285,RIGHT_LEG,15364,-2844,6052,-401,-501,354,11
1729589440.1001074,RIGHT_LEG,15428,-3188,5980,-527,-583,189,12
1729589440.1443884,RIGHT_LEG,15348,-3248,5860,-547,-594,33,13
1729589440.1450884,RIGHT_LEG,15588,-3192,5900,-510,-627,-83,14
1729589440.1893644,RIGHT_LEG,15604,-3044,5696,-431,-554,-76,15
1729589440.2345855,RIGHT_LEG,15644,-2856,5904,-504,-445,-73,16
1729589440.2815673,RIGHT_LEG,15536,-2932,5796,-578,-334,-17,17
1729589440.2822933,RIGHT_LEG,15544,-3052,5848,-645,-291,45,18
1729589440.3243883,RIGHT_LEG,15560,-2976,5848,-579,-186,121,19
1729589440.3693192,RIGHT_LEG,15500,-3040,5972,-529,-144,171,20
1729589440.3700352,RIGHT_LEG,15616,-3136,5868,-538,-113,248,21
1729589440.4143698,RIGHT_LEG,15432,-3008,6068,-598,-76,255,22
1729589440.415083,RIGHT_LEG,15288,-2980,5936,-599,-24,302,23
1729589440.4593563,RIGHT_LEG,15564,-3196,6004,-591,-5,233,24
1729589440.505364,RIGHT_LEG,15476,-3112,5908,-560,34,252,25
1729589440.5507336,RIGHT_LEG,15396,-3012,5856,-451,82,320,26
1729589440.552898,RIGHT_LEG,15548,-3132,6128,-383,89,386,27
1729589440.5941086,RIGHT_LEG,15224,-3352,6172,-452,20,374,28
1729589440.63989,RIGHT_LEG,15336,-3324,6032,-536,-71,325,29
1729589440.68429,RIGHT_LEG,15388,-3536,5996,-469,-136,185,30
1729589440.6849728,RIGHT_LEG,15364,-3108,6096,-615,-189,72,31
1729589440.729492,RIGHT_LEG,15336,-3328,6132,-525,-225,78,32
1729589440.7754579,RIGHT_LEG,15312,-3128,6344,-576,-314,48,33
1729589440.7766597,RIGHT_LEG,15372,-3208,6220,-635,-388,39,34
1729589440.8210962,RIGHT_LEG,15612,-3480,6044,-504,-431,-12,35
1729589440.8214097,RIGHT_LEG,15240,-3484,6080,-447,-563,-93,36
1729589440.864102,RIGHT_LEG,15560,-3340,6076,-571,-708,-272,37
1729589440.9090724,RIGHT_LEG,15568,-3440,5804,-247,-633,-304,38
1729589440.955898,RIGHT_LEG,15452,-2940,5916,-285,-573,-270,39
1729589440.957045,RIGHT_LEG,15364,-3044,6112,-387,-598,-253,40
1729589440.9992461,RIGHT_LEG,15528,-3188,5804,-370,-532,-197,41
1729589440.9998405,RIGHT_LEG,15428,-3244,5684,-250,-363,-152,42
1729589441.0454552,RIGHT_LEG,15340,-3240,5744,-132,-121,-108,43
1729589441.090105,RIGHT_LEG,15436,-3236,5492,75,152,-113,44
1729589441.1342225,RIGHT_LEG,15456,-2972,5576,370,593,-19,45
1729589441.1347973,RIGHT_LEG,15536,-2816,5804,498,932,165,46
1729589441.1785629,RIGHT_LEG,15568,-2916,6408,135,914,220,47
1729589441.1815786,RIGHT_LEG,15612,-2864,6812,-272,762,171,48
1729589441.2245512,RIGHT_LEG,15084,-2908,6876,-529,458,173,49
1729589441.269383,RIGHT_LEG,14628,-3140,6948,-595,57,80,50
1729589441.315499,RIGHT_LEG,15096,-3184,6636,-512,-301,93,51
1729589441.316291,RIGHT_LEG,15448,-2992,6136,-418,-390,120,52
1729589441.3609383,RIGHT_LEG,15752,-3008,6024,-248,-194,256,53
1729589441.40441,RIGHT_LEG,15604,-3004,6032,-183,-13,410,54
1729589441.4502168,RIGHT_LEG,15072,-3040,6324,-305,34,440,55
1729589441.4510727,RIGHT_LEG,15032,-3188,6868,-477,-75,342,56
1729589441.494723,RIGHT_LEG,15488,-3364,6412,-623,-155,239,57
1729589441.5394716,RIGHT_LEG,15136,-3296,6272,-487,-57,286,58
1729589441.5402045,RIGHT_LEG,15212,-2988,6528,-558,-98,345,59
1729589441.5845609,RIGHT_LEG,15104,-3152,6604,-673,-116,345,60
1729589441.629659,RIGHT_LEG,15140,-3272,6548,-761,-203,330,61
1729589441.630291,RIGHT_LEG,15044,-3556,6536,-696,-291,141,62
1729589441.6744788,RIGHT_LEG,15248,-3564,6568,-688,-495,22,63
1729589441.7198396,RIGHT_LEG,15184,-3368,6384,-652,-468,-42,64
