time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590529.1981816,RIGHT_HAND,-6044,14788,-3976,-2100,3473,829,176
1729590529.2863045,RIGHT_HAND,-9396,16776,-2804,900,-2460,-4591,178
1729590529.3317583,RIGHT_HAND,-12740,16028,196,6460,-7662,-15193,180
1729590529.4226556,RIGHT_HAND,-19004,13924,1964,4910,-22427,-29784,182
1729590529.4667947,RIGHT_HAND,-24072,14952,10412,-9164,-17703,-32768,184
1729590529.512443,RIGHT_HAND,-28336,14672,15544,-19568,-14263,-32768,186
1729590529.5588617,RIGHT_HAND,-26128,13356,16616,-25735,-11456,-32768,187
1729590529.6014621,RIGHT_HAND,-22140,10772,10832,-30181,-6401,-32768,188
1729590529.6022494,RIGHT_HAND,-18340,8068,8556,-30505,3986,-32768,189
1729590529.6465347,RIGHT_HAND,-13580,6572,5824,-30182,8323,-32768,190
1729590529.691569,RIGHT_HAND,-9296,5448,2172,-26414,15072,-29782,191
1729590529.6924534,RIGHT_HAND,-6348,4884,660,-19422,16332,-24716,192
1729590529.7363968,RIGHT_HAND,-3328,3808,-1712,-11339,14369,-18919,193
1729590529.783829,RIGHT_HAND,-2296,972,-1720,-4881,12798,-14715,194
1729590529.7844698,RIGHT_HAND,-940,316,-2860,-3454,4883,-10826,195
1729590529.826786,RIGHT_HAND,364,1596,-4796,-4661,1089,-5848,196
1729590529.8720295,RIGHT_HAND,-40,3188,-5036,-1856,3107,30,197
1729590529.87286,RIGHT_HAND,680,3932,-3348,2961,8607,6233,198
1729590529.9171202,RIGHT_HAND,1900,4276,-2072,7072,7605,13058,199
1729590529.9616659,RIGHT_HAND,1452,4376,-1464,9116,4576,19930,200
1729590529.962413,RIGHT_HAND,-568,5452,200,11063,4197,26732,201
1729590530.0067232,RIGHT_HAND,-2856,7476,3252,11885,2022,32767,202
1729590530.0516458,RIGHT_HAND,-5488,10928,4908,11827,-8045,32767,203
1729590530.0524633,RIGHT_HAND,-10876,16608,9700,14259,-20213,32767,204
1729590530.0966873,RIGHT_HAND,-16036,25000,13332,20532,-24332,32767,205
1729590530.1415856,RIGHT_HAND,-20816,30988,18044,32767,-21912,32767,206
1729590530.14236,RIGHT_HAND,-21748,32767,21024,32767,-18973,32767,207
1729590530.1866796,RIGHT_HAND,-22484,32767,25452,32767,-18036,32767,208
1729590530.2321234,RIGHT_HAND,-23480,32767,32632,32767,-18835,32767,209
1729590530.2767231,RIGHT_HAND,-24444,32767,31604,32767,-27963,32767,210
1729590530.2774901,RIGHT_HAND,-22608,32767,25128,32767,-25196,32767,211
1729590530.3213143,RIGHT_HAND,-21384,28896,20856,32767,-19287,24578,212
1729590530.3670034,RIGHT_HAND,-16456,22016,16592,30428,-13768,17375,213
1729590530.3678064,RIGHT_HAND,-13080,15796,11444,23437,-11794,12875,214
1729590530.4120102,RIGHT_HAND,-12656,12148,8744,17728,-11120,10571,215
1729590530.4569683,RIGHT_HAND,-12380,9492,8964,14541,-6367,10489,216
1729590530.4577472,RIGHT_HAND,-12336,6888,8760,12807,-1902,11059,217
1729590530.5017042,RIGHT_HAND,-12300,4616,7868,9101,287,9927,218
1729590530.5467358,RIGHT_HAND,-12492,2452,7508,2018,2138,6285,219
1729590530.5475826,RIGHT_HAND,-12648,3148,7416,-7507,2861,1082,220
1729590530.5938828,RIGHT_HAND,-12932,6500,7032,-15861,5352,-4528,221
1729590530.636175,RIGHT_HAND,-12180,9832,7948,-19492,7948,-9044,222
1729590530.6366587,RIGHT_HAND,-12348,12912,8268,-21219,4469,-12550,223
1729590530.6812189,RIGHT_HAND,-13148,16220,9240,-23011,3381,-16019,224
1729590530.7263958,RIGHT_HAND,-16072,21220,13416,-26798,-1058,-19233,225
1729590530.7270775,RIGHT_HAND,-18128,27272,15144,-30069,-500,-22072,226
