time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590312.2531948,RIGHT_LEG,15544,-2644,5804,-468,-77,139,7
1729590312.298379,RIGHT_LEG,15500,-2740,5812,-548,98,346,9
1729590312.344096,RIGHT_LEG,15460,-2932,6064,-536,56,489,11
1729590312.4323664,RIGHT_LEG,15260,-3004,6176,-505,-14,441,13
1729590312.4782398,RIGHT_LEG,15460,-3076,6416,-500,83,400,15
1729590312.522859,RIGHT_LEG,15468,-2976,6336,-511,47,374,16
1729590312.5237486,RIGHT_LEG,15392,-2984,6192,-529,-15,402,17
1729590312.5685203,RIGHT_LEG,15388,-3152,6352,-459,3,483,18
1729590312.612502,RIGHT_LEG,15484,-3404,6532,-537,-58,404,19
1729590312.6573157,RIGHT_LEG,15304,-3220,6284,-511,-110,369,20
1729590312.65802,RIGHT_LEG,15580,-3424,6396,-593,-61,311,21
1729590312.7024264,RIGHT_LEG,15392,-2956,6280,-475,-58,439,22
1729590312.7483492,RIGHT_LEG,15228,-3132,6380,-572,-53,593,23
1729590312.7490745,RIGHT_LEG,15532,-2972,6396,-785,15,692,24
1729590312.7934568,RIGHT_LEG,15196,-3176,6604,-608,-161,1124,25
1729590312.8379798,RIGHT_LEG,15640,-2840,6352,-977,-169,1334,26
1729590312.8387427,RIGHT_LEG,15268,-3400,6420,-742,-139,1937,27
1729590312.8823268,RIGHT_LEG,15200,-2776,6436,-1377,-98,2209,28
1729590312.8839188,RIGHT_LEG,15544,-3352,6604,-1470,-149,2884,29
1729590312.9284751,RIGHT_LEG,15428,-3548,6328,-1345,-187,3433,30
1729590312.9734251,RIGHT_LEG,15676,-3316,6424,-1352,-253,4059,31
1729590313.0172668,RIGHT_LEG,15260,-4900,7464,-2103,-963,3680,32
1729590313.0180726,RIGHT_LEG,15736,-5840,7832,-2928,-2389,2166,33
1729590313.0623987,RIGHT_LEG,15172,-3500,7004,-5224,-3948,1307,34
1729590313.063134,RIGHT_LEG,13044,-2528,9284,-5151,-2246,2034,35
1729590313.1084533,RIGHT_LEG,14172,-1524,11776,-5082,-407,530,36
1729590313.1523879,RIGHT_LEG,7844,-6452,25836,-12429,9025,-2505,37
1729590313.198476,RIGHT_LEG,10840,-8092,24620,-20456,21241,-1889,38
1729590313.199203,RIGHT_LEG,11976,-4868,23108,-21456,29565,995,39
1729590313.2434635,RIGHT_LEG,13588,-4684,19608,-11717,32419,5894,40
1729590313.2884424,RIGHT_LEG,12264,-4236,16072,-1665,32430,8346,41
1729590313.289167,RIGHT_LEG,11320,-3260,12364,5314,31713,7234,42
1729590313.331706,RIGHT_LEG,11388,-3020,10736,8863,30390,4640,43
1729590313.3774087,RIGHT_LEG,9976,-2152,10144,9732,26896,2166,44
1729590313.4223628,RIGHT_LEG,9500,-2624,10524,10530,23002,-1968,45
1729590313.4230826,RIGHT_LEG,8200,-1896,10068,10713,17953,-5700,46
1729590313.4687133,RIGHT_LEG,6372,-1412,12740,10178,14812,-7842,47
1729590313.5129864,RIGHT_LEG,9560,536,12584,11666,12241,-9545,48
1729590313.5139427,RIGHT_LEG,7720,628,16140,17630,7886,-9607,49
1729590313.5570505,RIGHT_LEG,11032,-1252,13684,16733,2184,-11237,50
1729590313.6033566,RIGHT_LEG,9716,-2284,12504,7047,932,-13548,51
1729590313.738445,RIGHT_LEG,12120,-580,13256,-2971,432,-15380,52
1729590313.739164,RIGHT_LEG,11116,1000,13268,-5971,-827,-16590,53
1729590313.7399364,RIGHT_LEG,10716,-244,14064,-6102,-2455,-16024,54
1729590313.7407277,RIGHT_LEG,9792,-3020,13776,-6535,-3980,-16064,55
1729590313.7413943,RIGHT_LEG,7796,-6416,10544,-10200,-4046,-16782,56
1729590313.742094,RIGHT_LEG,7528,-8676,32767,-8561,-3601,-15419,57
1729590313.8284917,RIGHT_LEG,224,-15672,32767,-8310,7463,-8540,58
1729590313.8736732,RIGHT_LEG,8768,1560,15180,-7351,7029,-9433,59
1729590313.9636006,RIGHT_LEG,-948,-4952,6540,9659,1733,-2762,60
