time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590976.7942142,RIGHT_HAND,-3304,15640,-1032,49,260,-334,197
1729590976.8381233,RIGHT_HAND,-2708,16140,-4696,-319,-2832,-3062,199
1729590976.8833022,RIGHT_HAND,-3692,24604,-14736,-989,8250,-2624,201
1729590976.9285963,RIGHT_HAND,5000,32064,-17400,21156,15281,4415,203
1729590977.0177789,RIGHT_HAND,2820,32767,-18352,24720,-10352,3172,205
1729590977.107406,RIGHT_HAND,-10472,32767,-15444,32767,-8215,2456,207
1729590977.109294,RIGHT_HAND,-12648,32767,-9896,32767,2038,2745,208
1729590977.1108751,RIGHT_HAND,-11224,28856,-604,32767,5326,4934,209
1729590977.152403,RIGHT_HAND,-10124,21148,1756,32767,2862,6682,210
1729590977.2423935,RIGHT_HAND,-8828,14128,1424,32767,8834,5512,211
1729590977.2445455,RIGHT_HAND,-7340,9944,4424,28934,18607,5556,212
1729590977.2459424,RIGHT_HAND,-3844,6972,6012,24249,16842,7090,213
1729590977.287208,RIGHT_HAND,-2324,2404,7320,21696,12019,6379,214
1729590977.3321505,RIGHT_HAND,-1572,-1236,6248,19982,5964,6627,215
1729590977.332549,RIGHT_HAND,-976,-5084,4288,12235,-499,2961,216
1729590977.3773947,RIGHT_HAND,-736,-5664,3764,2612,-3563,-231,217
1729590977.422449,RIGHT_HAND,-528,-4812,3540,-4076,-3183,-2163,218
1729590977.423181,RIGHT_HAND,-320,-2768,2176,-10256,-5706,-2380,219
1729590977.46744,RIGHT_HAND,-1232,-1664,512,-15294,-6920,-2928,220
1729590977.5136003,RIGHT_HAND,-1900,916,-36,-22284,-6427,-3653,221
1729590977.5143676,RIGHT_HAND,-1964,4088,-2368,-30184,-4293,-4173,222
1729590977.5587437,RIGHT_HAND,-2004,8936,-2756,-32768,-4165,-3891,223
1729590977.6025517,RIGHT_HAND,-1796,12968,-7196,-32768,-5531,-1114,224
1729590977.6033392,RIGHT_HAND,-3868,16040,-6872,-32768,-855,3616,225
1729590977.6477616,RIGHT_HAND,-3320,19764,-7280,-32768,-775,3162,226
1729590977.7386978,RIGHT_HAND,-4388,25000,-8512,-32231,-5549,708,227
1729590977.7395396,RIGHT_HAND,-4832,28028,-10560,-30755,-9218,-1739,228
1729590977.7827296,RIGHT_HAND,-5480,27780,-14480,-26775,-5289,-1551,229
1729590977.7835057,RIGHT_HAND,-3896,26772,-14636,-26482,1299,-1765,230
1729590977.8275683,RIGHT_HAND,-2804,28072,-16932,-25342,5078,-1086,231
1729590977.828345,RIGHT_HAND,-1688,26680,-15524,-20574,7496,-236,232
1729590977.872546,RIGHT_HAND,-348,24312,-15016,-17629,9296,-1278,233
1729590977.9637346,RIGHT_HAND,968,24060,-12372,-14100,7936,-2110,234
1729590977.9644766,RIGHT_HAND,1092,23152,-7488,-8021,-850,-3072,235
1729590978.007586,RIGHT_HAND,-728,19516,-5328,-2694,-11297,-5265,236
1729590978.0083725,RIGHT_HAND,-3580,17348,-5844,-3125,-15825,-6808,237
1729590978.009082,RIGHT_HAND,-5744,17120,-6100,-5383,-11700,-6325,238
1729590978.0541267,RIGHT_HAND,-6684,16896,-5588,-5838,-1275,-4560,239
1729590978.1448677,RIGHT_HAND,-6184,16016,-4508,-6359,8002,-2612,240
1729590978.1460788,RIGHT_HAND,-5304,15644,-3208,-7320,13268,-1313,241
1729590978.1875143,RIGHT_HAND,-4052,16828,-2280,-6948,12685,-686,242
1729590978.1882594,RIGHT_HAND,-560,19860,-5076,-2594,14643,1121,243
1729590978.2336996,RIGHT_HAND,736,18024,-2924,6262,7517,1381,244
1729590978.277522,RIGHT_HAND,-560,13436,-940,2454,-2719,745,245
1729590978.278351,RIGHT_HAND,-2240,14160,-804,-4592,-9132,-1505,246
1729590978.3223948,RIGHT_HAND,-4376,17188,-596,-3023,-6107,-692,247
1729590978.323093,RIGHT_HAND,-4872,16024,-380,-39,508,132,248
1729590978.3674252,RIGHT_HAND,-4604,15020,428,-1068,1876,-20,249
1729590978.3681552,RIGHT_HAND,-4412,15112,948,-1569,565,-441,250
1729590978.4127145,RIGHT_HAND,-4180,15688,-448,-569,-1714,-636,251
1729590978.5028539,RIGHT_HAND,-4272,15808,-1176,249,-1981,-554,252
1729590978.5044272,RIGHT_HAND,-4236,15568,-1508,367,-1820,-463,253
1729590978.505346,RIGHT_HAND,-4400,15564,-1604,-159,-1122,-364,254
1729590978.5479844,RIGHT_HAND,-4052,15916,-1576,-234,635,-236,255
1729590978.5926135,RIGHT_HAND,-3808,15756,-1176,-356,1546,-19,1
1729590978.6379712,RIGHT_HAND,-3632,15660,-884,-548,1440,135,2
1729590978.6825213,RIGHT_HAND,-3736,15628,-456,-736,1000,223,3
1729590978.7292237,RIGHT_HAND,-4028,15528,-300,-727,686,249,4
1729590978.7299914,RIGHT_HAND,-4172,15184,-512,-711,740,335,5
1729590978.7726982,RIGHT_HAND,-4220,15388,-260,-984,1132,236,6
1729590978.8186913,RIGHT_HAND,-4052,15512,-124,-660,674,135,7
1729590978.8194423,RIGHT_HAND,-4284,15464,-388,-582,124,-16,8
1729590978.8636642,RIGHT_HAND,-4276,15424,-460,-519,264,-109,9
1729590978.9086828,RIGHT_HAND,-4208,15448,-596,-427,459,-200,10
1729590978.9094322,RIGHT_HAND,-3984,15416,-608,-393,572,-281,11
1729590978.952611,RIGHT_HAND,-4064,15436,-456,-502,111,-342,12
1729590979.0437272,RIGHT_HAND,-4324,15536,-720,-570,80,-370,13
1729590979.0444782,RIGHT_HAND,-4264,15540,-508,-574,650,-243,14
1729590979.0887265,RIGHT_HAND,-4024,15440,-384,-581,870,-140,15
1729590979.0894566,RIGHT_HAND,-3932,15440,-612,-768,921,-129,16
1729590979.090164,RIGHT_HAND,-3868,15460,-568,-809,807,-139,17
1729590979.1336908,RIGHT_HAND,-4092,15664,-652,-901,527,-166,18
1729590979.178395,RIGHT_HAND,-4068,15548,-472,-833,723,-176,19
1729590979.1791086,RIGHT_HAND,-4076,15424,-316,-744,641,-155,20
