time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590754.810234,RIGHT_LEG,15600,-3340,5664,-404,-412,127,106
1729590754.854436,RIGHT_LEG,15612,-3344,5568,-516,-525,138,108
1729590754.8995168,RIGHT_LEG,15652,-3364,5608,-694,-582,155,110
1729590754.9452984,RIGHT_LEG,15612,-3396,5296,-751,-562,218,112
1729590755.0343585,RIGHT_LEG,15656,-3492,5328,-627,-292,399,114
1729590755.0350828,RIGHT_LEG,15524,-3812,5348,-587,-205,368,115
1729590755.0794463,RIGHT_LEG,15492,-3768,5396,-430,-154,361,116
1729590755.1245372,RIGHT_LEG,15472,-3688,5484,-300,-155,232,117
1729590755.2144718,RIGHT_LEG,15496,-3760,5404,-225,-159,89,118
1729590755.2151792,RIGHT_LEG,15380,-3724,5612,-146,-158,-48,119
1729590755.2604423,RIGHT_LEG,15460,-3660,5540,-125,-142,-129,120
1729590755.2612214,RIGHT_LEG,15604,-3572,5648,-112,-144,-251,121
1729590755.262005,RIGHT_LEG,15424,-3388,5532,-136,-152,-355,122
1729590755.3047554,RIGHT_LEG,15516,-3376,5704,-169,-185,-406,123
1729590755.3501241,RIGHT_LEG,15624,-3648,5564,-208,-146,-433,124
1729590755.3508809,RIGHT_LEG,15556,-3472,5680,-125,-157,-388,125
1729590755.3945916,RIGHT_LEG,15468,-3400,5472,-140,-150,-402,126
1729590755.4394166,RIGHT_LEG,15520,-3260,5700,-173,-169,-347,127
1729590755.440122,RIGHT_LEG,15492,-3236,5580,-223,-198,-299,128
1729590755.484082,RIGHT_LEG,15548,-3280,5740,-300,-226,-236,129
1729590755.48443,RIGHT_LEG,15632,-3188,5672,-258,-239,-145,130
1729590755.5303895,RIGHT_LEG,15616,-3196,5860,-306,-233,-57,131
1729590755.5747137,RIGHT_LEG,15460,-3616,5612,-360,-213,32,132
1729590755.6194568,RIGHT_LEG,15644,-3224,5512,-351,-198,138,133
1729590755.6205096,RIGHT_LEG,15648,-3196,5628,-353,-185,256,134
1729590755.664498,RIGHT_LEG,15524,-3408,5836,-400,-238,289,135
1729590755.7101514,RIGHT_LEG,15496,-3420,5732,-513,-232,310,136
1729590755.754731,RIGHT_LEG,15460,-3324,5692,-565,-239,305,137
1729590755.7555587,RIGHT_LEG,15576,-3404,5756,-585,-220,308,138
1729590755.799448,RIGHT_LEG,15428,-3452,5784,-573,-304,285,139
1729590755.8002603,RIGHT_LEG,15684,-3476,5744,-502,-295,234,140
1729590755.8444045,RIGHT_LEG,15564,-3388,5724,-419,-276,219,141
1729590755.8463578,RIGHT_LEG,15576,-3364,5756,-412,-223,223,142
1729590755.8899472,RIGHT_LEG,15556,-3500,5604,-485,-215,170,143
1729590755.934398,RIGHT_LEG,15572,-3396,5860,-462,-209,142,144
1729590755.9794345,RIGHT_LEG,15504,-3536,5836,-522,-237,103,145
1729590756.0243633,RIGHT_LEG,15456,-3480,5576,-570,-280,52,146
1729590756.0250764,RIGHT_LEG,15468,-3588,5708,-517,-305,52,147
1729590756.0695884,RIGHT_LEG,15560,-3532,5656,-455,-284,-19,148
1729590756.114435,RIGHT_LEG,15516,-3500,5716,-352,-273,-43,149
1729590756.115121,RIGHT_LEG,15520,-3464,5568,-264,-229,-69,150
1729590756.1593912,RIGHT_LEG,15556,-3428,5580,-210,-160,-43,151
1729590756.204428,RIGHT_LEG,15496,-3448,5808,-218,-94,-137,152
1729590756.205151,RIGHT_LEG,15444,-3596,5688,-205,-50,-172,153
1729590756.2494242,RIGHT_LEG,15428,-3428,5720,-201,-47,-225,154
1729590756.2947085,RIGHT_LEG,15508,-3372,5720,-204,-32,-229,155
1729590756.2953606,RIGHT_LEG,15284,-3312,5860,-143,-10,-191,156
1729590756.3393767,RIGHT_LEG,15612,-3452,5852,-101,-61,-165,157
1729590756.3854318,RIGHT_LEG,15400,-3136,5940,-192,-109,-101,158
1729590756.3861144,RIGHT_LEG,15452,-3096,5988,-274,-118,0,159
1729590756.4293728,RIGHT_LEG,15532,-3196,5920,-302,-161,104,160
1729590756.474356,RIGHT_LEG,15460,-3212,5984,-332,-122,155,161
1729590756.4750233,RIGHT_LEG,15348,-3300,6036,-413,-181,190,162
1729590756.51939,RIGHT_LEG,15524,-3320,5832,-487,-238,175,163
1729590756.5644145,RIGHT_LEG,15412,-3304,5992,-498,-247,172,164
1729590756.5651047,RIGHT_LEG,15400,-3440,6016,-497,-288,117,165
1729590756.6093762,RIGHT_LEG,15396,-3408,5904,-555,-311,76,166
1729590756.6543832,RIGHT_LEG,15372,-3316,5860,-517,-258,51,167
1729590756.6551259,RIGHT_LEG,15340,-3268,6064,-469,-355,94,168
1729590756.6994085,RIGHT_LEG,15596,-3252,5632,-494,-205,150,169
1729590756.744467,RIGHT_LEG,15504,-3624,5900,-368,-77,148,170
1729590756.7907472,RIGHT_LEG,15380,-3524,6208,-485,-222,0,171
1729590756.7914948,RIGHT_LEG,15516,-3452,6052,-517,-336,-137,172
1729590756.8344204,RIGHT_LEG,15368,-2928,5924,-519,-238,-41,173
1729590756.8793828,RIGHT_LEG,15172,-3540,5988,-444,-180,94,174
1729590756.8801453,RIGHT_LEG,15256,-3552,5928,-329,-236,48,175
1729590756.923995,RIGHT_LEG,15424,-3436,5928,-284,-201,-18,176
1729590756.9691925,RIGHT_LEG,15456,-3424,6000,-300,-233,-58,177
1729590756.969658,RIGHT_LEG,15396,-3268,5880,-302,-258,-109,178
1729590757.0143723,RIGHT_LEG,15232,-3528,6068,-240,-313,-51,179
1729590757.0593755,RIGHT_LEG,15524,-3200,5900,-275,-340,-45,180
1729590757.0601368,RIGHT_LEG,15624,-3044,5556,-243,-278,-21,181
1729590757.149532,RIGHT_LEG,15484,-3428,6040,-256,-165,-60,182
1729590757.1944466,RIGHT_LEG,15348,-3412,6040,-318,-231,-110,183
1729590757.1952977,RIGHT_LEG,15360,-3276,6132,-368,-326,-156,184
1729590757.2393913,RIGHT_LEG,15456,-3308,6016,-406,-363,-150,185
1729590757.2844768,RIGHT_LEG,15404,-3308,5972,-399,-368,-165,186
1729590757.2852669,RIGHT_LEG,15364,-3424,6160,-359,-343,-199,187
1729590757.3295047,RIGHT_LEG,15688,-3040,5824,-327,-382,-166,188
1729590757.330326,RIGHT_LEG,15604,-2980,5764,-366,-399,-165,189
