time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591199.950494,RIGHT_HAND,-3228,16840,-3972,1048,1090,-117,77
1729591199.9956493,RIGHT_HAND,-3080,18160,-5208,2602,3821,-556,79
1729591200.0406482,RIGHT_HAND,-1936,23380,-7112,6137,6309,-1815,81
1729591200.1313188,RIGHT_HAND,-680,25928,-9760,23101,-6059,-3236,83
1729591200.1330225,RIGHT_HAND,-1328,24712,-12896,31007,-8865,-2428,85
1729591200.2208652,RIGHT_HAND,-2516,24432,-11940,32767,-8138,-1538,87
1729591200.2667348,RIGHT_HAND,-2912,22540,-10064,32767,-7840,-1688,88
1729591200.267551,RIGHT_HAND,-4096,18804,-8524,32767,-7954,-1707,89
1729591200.3117528,RIGHT_HAND,-4680,14860,-7244,32767,-4808,-1887,90
1729591200.400791,RIGHT_HAND,-5272,10880,-5216,32767,-1199,-1908,91
1729591200.4017935,RIGHT_HAND,-5024,7272,-4492,32767,1342,-1905,92
1729591200.403806,RIGHT_HAND,-4840,4432,-4132,32767,2917,-1008,93
1729591200.4047415,RIGHT_HAND,-5660,1436,-2784,32767,4091,1031,94
1729591200.49026,RIGHT_HAND,-7636,-2460,-3416,32767,4279,2792,95
1729591200.4921515,RIGHT_HAND,-7400,-5872,-2836,32767,6231,3103,96
1729591200.5365646,RIGHT_HAND,-7100,-8824,-2316,27010,4131,2841,97
1729591200.5804389,RIGHT_HAND,-8568,-9604,-868,19778,2810,2564,98
1729591200.5811896,RIGHT_HAND,-8156,-9792,-988,19114,1476,2458,99
1729591200.6251285,RIGHT_HAND,-8408,-11716,-172,19178,1699,2053,100
1729591200.6704252,RIGHT_HAND,-7984,-13536,-212,17773,2948,1432,101
1729591200.6711693,RIGHT_HAND,-8076,-14344,1720,14793,7404,1062,102
1729591200.7155292,RIGHT_HAND,-7004,-14784,2808,13866,6768,1015,103
1729591200.760455,RIGHT_HAND,-6704,-15336,2960,13030,7420,847,104
