time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591145.4595635,RIGHT_LEG,15440,-3652,5928,-378,-259,-15,113
1729591145.5484345,RIGHT_LEG,15504,-3444,5768,-401,-238,9,115
1729591145.5941274,RIGHT_LEG,15508,-3532,5860,-382,-320,33,117
1729591145.6834662,RIGHT_LEG,15420,-3584,5808,-494,-437,23,119
1729591145.7283828,RIGHT_LEG,15484,-3532,5756,-492,-450,11,121
1729591145.773974,RIGHT_LEG,15500,-3552,5884,-443,-409,44,122
1729591145.8183672,RIGHT_LEG,15432,-3512,5708,-515,-456,75,123
1729591145.819142,RIGHT_LEG,15480,-3592,5844,-564,-492,46,124
1729591145.8635144,RIGHT_LEG,15492,-3520,5660,-531,-462,75,125
1729591145.864419,RIGHT_LEG,15440,-3620,5772,-551,-468,113,126
1729591145.9069932,RIGHT_LEG,15480,-3516,5608,-552,-441,98,127
1729591145.9093847,RIGHT_LEG,15400,-3628,5572,-494,-373,144,128
1729591145.953079,RIGHT_LEG,15540,-3720,5692,-480,-342,149,129
1729591145.9984128,RIGHT_LEG,15536,-3616,5644,-481,-329,165,130
1729591146.0434246,RIGHT_LEG,15472,-3644,5624,-464,-292,204,131
1729591146.0441449,RIGHT_LEG,15480,-3576,5632,-511,-203,153,132
1729591146.0884578,RIGHT_LEG,15436,-3564,5564,-629,-167,125,133
1729591146.1334248,RIGHT_LEG,15532,-3608,5404,-483,-5,278,134
1729591146.134138,RIGHT_LEG,15532,-3688,5872,-367,137,285,135
1729591146.178451,RIGHT_LEG,15364,-3568,5920,-527,73,175,136
1729591146.2684174,RIGHT_LEG,15344,-3692,5716,-392,73,227,137
1729591146.2691412,RIGHT_LEG,15360,-3852,5828,-183,74,172,138
1729591146.3137507,RIGHT_LEG,15324,-3700,5940,-156,-53,55,139
1729591146.3144572,RIGHT_LEG,15392,-3728,5816,-212,-192,-73,140
1729591146.3572078,RIGHT_LEG,15396,-3900,5888,-193,-259,-119,141
1729591146.3580465,RIGHT_LEG,15416,-3620,5928,-237,-415,-190,142
1729591146.4029605,RIGHT_LEG,15364,-3480,5944,-402,-538,-221,143
1729591146.4036665,RIGHT_LEG,15444,-3596,5860,-450,-660,-205,144
1729591146.4484842,RIGHT_LEG,15408,-3432,5976,-531,-736,-140,145
1729591146.4934518,RIGHT_LEG,15576,-3444,5788,-634,-757,-80,146
1729591146.5384226,RIGHT_LEG,15468,-3472,5564,-686,-728,-43,147
1729591146.5391457,RIGHT_LEG,15508,-3544,5544,-542,-623,54,148
1729591146.5837135,RIGHT_LEG,15524,-3596,5660,-468,-508,75,149
1729591146.6284277,RIGHT_LEG,15424,-3716,5708,-440,-446,0,150
1729591146.629166,RIGHT_LEG,15520,-3748,5500,-296,-426,-85,151
1729591146.6734672,RIGHT_LEG,15400,-3696,5552,-150,-374,-161,152
1729591146.71848,RIGHT_LEG,15540,-3524,5672,-145,-377,-241,153
1729591146.7192044,RIGHT_LEG,15440,-3572,5552,-173,-329,-265,154
1729591146.7634487,RIGHT_LEG,15412,-3400,5460,-127,-180,-247,155
1729591146.808438,RIGHT_LEG,15592,-3520,5528,-96,-35,-223,156
1729591146.8091478,RIGHT_LEG,15384,-3620,5804,-180,-4,-314,157
1729591146.8535168,RIGHT_LEG,15636,-3508,5736,-175,-56,-318,158
1729591146.898737,RIGHT_LEG,15456,-3360,5772,-158,-145,-247,159
1729591146.8998218,RIGHT_LEG,15452,-3256,5812,-231,-185,-100,160
1729591146.9429946,RIGHT_LEG,15488,-3272,5840,-279,-247,5,161
1729591146.943369,RIGHT_LEG,15564,-3388,5816,-249,-300,73,162
1729591146.9880662,RIGHT_LEG,15492,-3288,5880,-191,-310,163,163
1729591147.033362,RIGHT_LEG,15516,-3440,5880,-290,-394,153,164
1729591147.0783777,RIGHT_LEG,15540,-3412,5752,-406,-431,117,165
1729591147.1233194,RIGHT_LEG,15496,-3368,5772,-488,-474,135,166
1729591147.1240344,RIGHT_LEG,15652,-3268,5612,-589,-429,183,167
1729591147.213685,RIGHT_LEG,15520,-3492,5752,-538,-365,251,168
1729591147.2584558,RIGHT_LEG,15544,-3460,5764,-515,-385,252,169
1729591147.2591755,RIGHT_LEG,15512,-3460,5704,-598,-433,203,170
1729591147.3040533,RIGHT_LEG,15424,-3328,5804,-656,-498,180,171
1729591147.3483772,RIGHT_LEG,15448,-3568,5696,-646,-536,87,172
1729591147.349108,RIGHT_LEG,15688,-3692,5572,-582,-531,-82,173
1729591147.3934197,RIGHT_LEG,15524,-3508,5692,-496,-553,-90,174
1729591147.3941412,RIGHT_LEG,15584,-3264,5568,-609,-554,-47,175
1729591147.438415,RIGHT_LEG,15652,-3428,5444,-626,-432,8,176
1729591147.4834938,RIGHT_LEG,15628,-3432,5600,-607,-356,132,177
1729591147.5734334,RIGHT_LEG,15572,-3328,5692,-683,-311,170,178
1729591147.5741837,RIGHT_LEG,15576,-3264,5576,-788,-372,206,179
1729591147.6183367,RIGHT_LEG,15568,-3704,5540,-734,-336,195,180
1729591147.6189995,RIGHT_LEG,15460,-3640,5536,-573,-282,211,181
1729591147.6196573,RIGHT_LEG,15540,-3708,5620,-613,-336,115,182
1729591147.6634536,RIGHT_LEG,15424,-3488,5440,-696,-408,36,183
1729591147.7086782,RIGHT_LEG,15720,-3580,5504,-642,-346,16,184
1729591147.7094154,RIGHT_LEG,15504,-3644,5292,-598,-327,23,185
1729591147.7523942,RIGHT_LEG,15504,-3568,5576,-596,-263,9,186
1729591147.754361,RIGHT_LEG,15576,-3508,5616,-652,-257,8,187
1729591147.7990212,RIGHT_LEG,15456,-3840,5432,-575,-253,-13,188
1729591147.8434129,RIGHT_LEG,15692,-3756,5376,-467,-284,-40,189
1729591147.888456,RIGHT_LEG,15300,-3628,5560,-371,-289,-48,190
1729591147.8892715,RIGHT_LEG,15608,-3548,5552,-154,-240,18,191
1729591147.9334846,RIGHT_LEG,15572,-3524,5632,-127,-302,43,192
1729591147.9791179,RIGHT_LEG,15368,-3420,5568,-149,-221,99,193
1729591148.0232036,RIGHT_LEG,15580,-3540,5512,-223,-118,165,194
1729591148.0236719,RIGHT_LEG,15600,-3356,5380,-188,34,298,195
1729591148.0683897,RIGHT_LEG,15452,-3484,5480,-157,165,417,196
