time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591914.7931826,RIGHT_HAND,-7120,18100,-5860,-1506,9772,669,84
1729591914.8836744,RIGHT_HAND,-13128,21268,-9640,8950,7956,-6589,86
1729591914.9293017,RIGHT_HAND,-13768,22584,-9284,10550,17462,-13153,88
1729591914.974127,RIGHT_HAND,-15432,24460,-6044,17387,11728,-16734,90
1729591915.0634,RIGHT_HAND,-14884,24384,-4108,16784,25755,-19719,92
1729591915.1085587,RIGHT_HAND,-7664,21744,-804,21997,30484,-16818,94
1729591915.1536522,RIGHT_HAND,-2988,18972,-1168,22960,27819,-14169,95
1729591915.1986697,RIGHT_HAND,-596,15612,-1028,23859,20214,-11765,96
1729591915.19941,RIGHT_HAND,12,10604,-1764,23634,11105,-8931,97
1729591915.24364,RIGHT_HAND,500,7316,-4804,19911,8787,-8206,98
1729591915.2448168,RIGHT_HAND,584,4892,-5192,13791,8740,-7193,99
1729591915.2886515,RIGHT_HAND,1000,3572,-6328,8700,8429,-5347,100
1729591915.3337946,RIGHT_HAND,860,3176,-7352,4076,7671,-3881,101
1729591915.3343294,RIGHT_HAND,1368,2924,-8708,1870,6693,-3128,102
1729591915.3787136,RIGHT_HAND,1772,2768,-10212,674,6156,-2237,103
1729591915.468668,RIGHT_HAND,1328,2272,-11048,-93,2803,-1815,104
1729591915.4694378,RIGHT_HAND,1588,2224,-13784,-181,623,-1840,105
1729591915.5586555,RIGHT_HAND,1264,1804,-15084,-423,-480,-1465,106
1729591915.5593867,RIGHT_HAND,784,1500,-16028,-667,-1695,-607,107
1729591915.560096,RIGHT_HAND,-436,1436,-17076,-1940,-1787,-348,108
1729591915.60403,RIGHT_HAND,-1588,2284,-17624,-3826,570,-1487,109
1729591915.6050158,RIGHT_HAND,-3192,3596,-16248,-4855,-115,-3666,110
1729591915.6073263,RIGHT_HAND,-5352,4836,-16140,-4014,-636,-7081,111
1729591915.6937685,RIGHT_HAND,-6644,5852,-14996,-3795,5742,-11647,112
1729591915.7392237,RIGHT_HAND,-4828,4088,-15760,457,8199,-12988,113
1729591915.7408743,RIGHT_HAND,-3592,1600,-17912,1985,9182,-13365,114
1729591915.7835982,RIGHT_HAND,-4332,-156,-19636,-1827,4906,-16606,115
1729591915.828576,RIGHT_HAND,-1740,420,-20192,-4853,10263,-19396,116
1729591915.8294427,RIGHT_HAND,680,2352,-21060,-3964,12723,-18684,117
1729591915.8733134,RIGHT_HAND,3324,4544,-21188,-3994,6621,-19058,118
1729591915.9185302,RIGHT_HAND,4668,5080,-20188,2563,9209,-16406,119
1729591915.9192684,RIGHT_HAND,1700,15976,-25020,-4317,-12434,-13131,120
1729591915.9634366,RIGHT_HAND,3908,3820,-19444,-572,-6124,-11589,121
1729591916.0086036,RIGHT_HAND,7900,4672,-22044,756,9467,-4148,122
1729591916.0540335,RIGHT_HAND,8900,3500,-16888,1119,13623,2491,123
1729591916.0548475,RIGHT_HAND,9412,5116,-15680,4538,9720,6679,124
1729591916.0986557,RIGHT_HAND,10600,2480,-19168,6436,4620,11264,125
1729591916.1885486,RIGHT_HAND,10336,-320,-18868,2900,5993,14584,126
1729591916.1893218,RIGHT_HAND,8728,-1064,-18244,-3948,1523,16059,127
1729591916.2335894,RIGHT_HAND,7692,500,-18436,-9199,-6978,18020,128
1729591916.2343395,RIGHT_HAND,4412,3548,-18176,-11220,-10547,21015,129
1729591916.2350874,RIGHT_HAND,464,6368,-16660,-12120,-9950,22070,130
1729591916.2786841,RIGHT_HAND,-1104,9768,-16524,-10650,-14577,22264,131
1729591916.3239772,RIGHT_HAND,-4800,12056,-15588,-7556,-15570,21900,132
1729591916.3247833,RIGHT_HAND,-6592,13124,-12592,-226,-5508,19768,133
1729591916.3691432,RIGHT_HAND,-5496,10260,-11952,6833,-11711,14831,134
1729591916.4141247,RIGHT_HAND,-5848,6272,-12540,9392,-12267,9807,135
1729591916.4149375,RIGHT_HAND,-6352,3488,-16380,6584,-7359,6925,136
1729591916.4585786,RIGHT_HAND,-5132,2112,-16468,-22,4566,4407,137
1729591916.5041478,RIGHT_HAND,-2544,2840,-15828,-3265,7811,2950,138
1729591916.5049968,RIGHT_HAND,-792,3992,-15564,-2708,6744,1332,139
1729591916.5487826,RIGHT_HAND,976,4212,-14168,-761,6137,607,140
1729591916.593715,RIGHT_HAND,1648,3752,-14860,882,-1692,320,141
1729591916.5944579,RIGHT_HAND,460,3512,-15800,334,-5224,-260,142
1729591916.6386087,RIGHT_HAND,1124,3640,-15720,-745,370,-121,143
1729591916.6837053,RIGHT_HAND,1884,3628,-14632,124,-1227,738,144
1729591916.7287283,RIGHT_HAND,1220,3360,-14824,-659,-4683,826,145
1729591916.7740462,RIGHT_HAND,216,3536,-15952,-2113,-5664,632,146
1729591916.7749066,RIGHT_HAND,-172,4528,-17156,-3867,-1389,659,147
1729591916.8189898,RIGHT_HAND,352,4788,-14448,-3475,907,1862,148
1729591916.8199537,RIGHT_HAND,440,4444,-15572,-1711,-2497,3188,149
1729591916.8635812,RIGHT_HAND,168,4376,-14516,-4598,-1619,2752,150
1729591916.9094245,RIGHT_HAND,-148,5224,-10016,-6563,-3104,3000,151
1729591916.9102948,RIGHT_HAND,-420,5872,-10680,-4921,-9625,3670,152
1729591916.9535177,RIGHT_HAND,-1420,6244,-10500,-6368,-10911,3769,153
1729591916.9983137,RIGHT_HAND,-2068,7152,-5632,-9324,-10347,3994,154
1729591916.9990373,RIGHT_HAND,-3568,8148,-5236,-9795,-16809,7417,155
1729591917.088458,RIGHT_HAND,-5124,9264,-7984,-14628,-19135,10203,156
1729591917.1339757,RIGHT_HAND,-5880,10684,-7952,-17241,-16195,9575,157
1729591917.1347156,RIGHT_HAND,-6368,12676,-5664,-15922,-18148,10499,158
1729591917.1353667,RIGHT_HAND,-7244,14296,-9988,-18256,-18345,11394,159
1729591917.1786067,RIGHT_HAND,-7608,17076,-9412,-20460,-12676,11945,160
1729591917.1793869,RIGHT_HAND,-6912,20812,-6768,-23116,-12285,13244,161
