time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449140.7089758,RIGHT_HAND,-8336,18204,3156,1628,2137,527,117
1730449140.7554564,RIGHT_HAND,-11108,18640,4988,6994,4745,-1223,119
1730449140.844179,RIGHT_HAND,-13200,18436,5176,7515,8180,-6526,121
1730449140.8892746,RIGHT_HAND,-12396,19448,7040,5106,15112,-12353,123
1730449140.9794314,RIGHT_HAND,-10908,20408,6760,4414,20364,-15628,125
1730449141.0244565,RIGHT_HAND,-9188,19720,5724,5177,20789,-17117,127
1730449141.0692277,RIGHT_HAND,-8412,18988,4704,5076,19755,-17646,128
1730449141.0700076,RIGHT_HAND,-7756,18488,4660,5112,18018,-18261,129
1730449141.1142244,RIGHT_HAND,-7816,17532,4896,5888,16441,-18729,130
1730449141.1591616,RIGHT_HAND,-8076,16148,4448,5097,16224,-19660,131
1730449141.1598692,RIGHT_HAND,-8124,14764,4752,3632,17585,-20589,132
1730449141.2043898,RIGHT_HAND,-8092,14060,4668,1298,17961,-21412,133
1730449141.2491977,RIGHT_HAND,-8116,12868,3400,-656,19885,-22378,134
1730449141.2499049,RIGHT_HAND,-7248,11676,3100,-3496,22126,-22648,135
1730449141.2942119,RIGHT_HAND,-6660,10984,1068,-6732,20763,-22329,136
1730449141.429131,RIGHT_HAND,-5192,10248,-1280,-7659,21702,-21445,137
1730449141.4298432,RIGHT_HAND,-4480,8556,-2772,-5686,22629,-20091,138
1730449141.4741392,RIGHT_HAND,-2532,7020,-6764,-6282,19908,-17602,139
1730449141.4748454,RIGHT_HAND,-1184,5632,-7940,-7107,18308,-15456,140
1730449141.4755497,RIGHT_HAND,-508,4924,-10172,-7137,15510,-13012,141
1730449141.519244,RIGHT_HAND,64,4844,-11376,-8315,10671,-12024,142
1730449141.52001,RIGHT_HAND,468,4612,-12828,-7839,5732,-9969,143
1730449141.5642204,RIGHT_HAND,68,4728,-14592,-7466,1163,-8564,144
1730449141.5650184,RIGHT_HAND,-200,5008,-16204,-7479,-2557,-7094,145
1730449141.6091225,RIGHT_HAND,-1556,5684,-16132,-6369,-6212,-5617,146
1730449141.6098516,RIGHT_HAND,-1644,7288,-21956,-5098,-7466,-2468,147
1730449141.6547647,RIGHT_HAND,-1660,7948,-20848,-2332,-3583,1601,148
1730449141.6992545,RIGHT_HAND,4,8460,-20996,2071,-3,7198,149
1730449141.7441854,RIGHT_HAND,820,7548,-18928,6642,3512,13260,150
1730449141.744946,RIGHT_HAND,700,6196,-16088,7929,-542,18000,151
1730449141.78934,RIGHT_HAND,-112,5212,-15600,7350,-5193,21324,152
1730449141.834668,RIGHT_HAND,-2316,5656,-13020,5672,-9031,25377,153
1730449141.8354483,RIGHT_HAND,-5848,7260,-10524,952,-14836,26970,154
1730449141.8797688,RIGHT_HAND,-8020,12316,-10508,-3831,-20106,27127,155
1730449141.9242017,RIGHT_HAND,-11584,18148,-6824,-3907,-19705,26935,156
1730449141.9249632,RIGHT_HAND,-10584,18060,-116,11215,-11061,16591,157
1730449141.969764,RIGHT_HAND,-9244,12448,-268,21348,-15283,7054,158
1730449142.059243,RIGHT_HAND,-10812,8108,-2004,22106,-21042,1317,159
1730449142.0600412,RIGHT_HAND,-13108,3864,-4756,16767,-18395,-1364,160
1730449142.1044679,RIGHT_HAND,-13488,2200,-6700,7980,-8826,-2971,161
1730449142.105296,RIGHT_HAND,-12860,2620,-7468,-3003,1287,-3092,162
