time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729591898.7303479,RIGHT_LEG,15248,-2688,6712,-578,-387,98,254
1729591898.820394,RIGHT_LEG,15472,-2508,6760,-718,-484,10,1
1729591898.8654573,RIGHT_LEG,15284,-2960,6632,-937,-630,-40,3
1729591898.9113119,RIGHT_LEG,15364,-3100,6500,-632,-860,-430,5
1729591899.0004187,RIGHT_LEG,15444,-2664,6424,-417,-1025,-632,7
1729591899.0454845,RIGHT_LEG,15468,-2512,6148,-363,-933,-617,8
1729591899.0461578,RIGHT_LEG,15588,-2428,6132,-254,-805,-536,9
1729591899.0903616,RIGHT_LEG,15516,-2396,6012,-248,-663,-470,10
1729591899.0910316,RIGHT_LEG,15552,-2316,5772,-196,-446,-380,11
1729591899.135382,RIGHT_LEG,15456,-2240,6052,-117,-292,-225,12
1729591899.1804497,RIGHT_LEG,15568,-2208,6172,-141,-166,-84,13
1729591899.1811404,RIGHT_LEG,15424,-2448,6316,-66,-185,20,14
1729591899.2254796,RIGHT_LEG,15356,-2328,6376,-74,-172,37,15
1729591899.270371,RIGHT_LEG,15528,-2416,6228,-193,-103,111,16
1729591899.2710478,RIGHT_LEG,15496,-2424,6212,-248,41,116,17
1729591899.3604002,RIGHT_LEG,15444,-2360,6368,-389,89,118,18
1729591899.4053998,RIGHT_LEG,15440,-2360,6296,-615,72,33,19
1729591899.40608,RIGHT_LEG,15536,-2404,6364,-747,14,-107,20
1729591899.450766,RIGHT_LEG,15500,-2448,6404,-659,-111,-123,21
1729591899.4951155,RIGHT_LEG,15312,-2596,6740,-608,-263,-172,22
1729591899.4955459,RIGHT_LEG,15308,-2264,6576,-622,-339,-183,23
1729591899.5409608,RIGHT_LEG,15400,-2288,6320,-729,-434,-213,24
1729591899.5854642,RIGHT_LEG,15596,-2228,6324,-537,-321,-54,25
1729591899.6304545,RIGHT_LEG,15520,-2368,6172,-498,-172,62,26
1729591899.6312816,RIGHT_LEG,15464,-2156,6024,-529,63,139,27
1729591899.6753533,RIGHT_LEG,15508,-2424,6204,-470,206,280,28
1729591899.7214935,RIGHT_LEG,15400,-2320,6440,-555,237,277,29
1729591899.7222538,RIGHT_LEG,15392,-2392,6628,-495,171,353,30
1729591899.7653708,RIGHT_LEG,15436,-2640,6464,-605,79,224,31
1729591899.810435,RIGHT_LEG,15404,-2284,6548,-643,7,170,32
1729591899.8111527,RIGHT_LEG,15384,-2600,6476,-568,-89,195,33
1729591899.8554857,RIGHT_LEG,15308,-2420,6396,-621,-94,174,34
1729591899.9004257,RIGHT_LEG,15364,-2456,6432,-466,26,270,35
1729591899.901149,RIGHT_LEG,15396,-2696,6532,-386,46,316,36
1729591899.9455788,RIGHT_LEG,15456,-2556,6452,-251,131,349,37
1729591899.9904366,RIGHT_LEG,15332,-2520,6500,-204,143,379,38
1729591899.9911654,RIGHT_LEG,15380,-2604,6588,-195,217,418,39
1729591900.0342236,RIGHT_LEG,15236,-2496,6648,-247,208,438,40
1729591900.0366008,RIGHT_LEG,15228,-2596,6964,-366,77,395,41
1729591900.0804393,RIGHT_LEG,15096,-2648,6856,-481,-57,363,42
1729591900.1254513,RIGHT_LEG,15140,-2688,7000,-516,-160,298,43
1729591900.1706586,RIGHT_LEG,15136,-2780,6948,-650,-317,168,44
1729591900.1714091,RIGHT_LEG,15264,-2620,6824,-667,-341,101,45
1729591900.2154453,RIGHT_LEG,15308,-2804,6660,-616,-327,55,46
1729591900.2606845,RIGHT_LEG,15216,-2692,6704,-617,-341,48,47
1729591900.2613873,RIGHT_LEG,15288,-2748,6624,-548,-285,83,48
1729591900.3506818,RIGHT_LEG,15208,-2700,6668,-519,-252,35,49
1729591900.3954213,RIGHT_LEG,15240,-2716,6624,-450,-205,77,50
1729591900.3961306,RIGHT_LEG,15268,-2700,6680,-373,-151,118,51
