time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449102.5508773,RIGHT_LEG,15144,3900,5084,329,-413,-56,164
1730449102.5958824,RIGHT_LEG,15212,3940,5248,466,-341,-11,166
1730449102.6408796,RIGHT_LEG,15316,3980,5308,505,-369,-90,168
1730449102.730869,RIGHT_LEG,15108,3916,5692,726,-498,-284,170
1730449102.776079,RIGHT_LEG,15248,4140,4788,434,-616,-460,172
1730449102.8206336,RIGHT_LEG,15264,4372,4824,354,-383,-396,173
1730449102.8210537,RIGHT_LEG,15352,4124,5028,339,-224,-292,174
1730449102.8658843,RIGHT_LEG,15272,3992,4984,518,-128,-247,175
1730449102.9108827,RIGHT_LEG,15276,4128,4976,474,-148,-271,176
1730449102.9115896,RIGHT_LEG,15124,4200,4596,598,-9,-146,177
1730449102.9563115,RIGHT_LEG,14992,4428,4880,557,162,-63,178
1730449103.0009522,RIGHT_LEG,15360,3916,4888,453,246,47,179
1730449103.0458717,RIGHT_LEG,15200,4168,4652,252,210,88,180
1730449103.046575,RIGHT_LEG,15260,4268,5068,176,318,135,181
1730449103.091,RIGHT_LEG,15136,4300,5124,-99,262,42,182
1730449103.1358776,RIGHT_LEG,15308,4140,5156,-67,259,116,183
1730449103.1365995,RIGHT_LEG,15268,4036,5316,-117,103,6,184
1730449103.1809351,RIGHT_LEG,15196,4244,5196,-270,-45,20,185
1730449103.2718506,RIGHT_LEG,15272,4036,5200,-157,13,58,186
1730449103.272553,RIGHT_LEG,15200,3588,5484,101,90,70,187
1730449103.3597198,RIGHT_LEG,15220,3820,5480,-31,-81,-108,188
1730449103.3604586,RIGHT_LEG,15204,3908,5516,88,-106,-77,189
1730449103.3612025,RIGHT_LEG,15136,4320,5380,117,-231,-111,190
1730449103.3619173,RIGHT_LEG,15104,4064,5552,58,-300,-234,191
1730449103.4059422,RIGHT_LEG,15200,4096,5280,73,-353,-234,192
1730449103.406689,RIGHT_LEG,15264,4112,5184,228,-230,-132,193
1730449103.4959164,RIGHT_LEG,15256,4052,5288,260,-192,-153,194
1730449103.5858662,RIGHT_LEG,15160,4148,5176,264,-182,-157,195
1730449103.586604,RIGHT_LEG,15256,4112,5292,309,-116,-108,196
1730449103.6309116,RIGHT_LEG,15220,4024,5496,393,-125,-119,197
1730449103.6316144,RIGHT_LEG,15140,4148,5332,298,-237,-174,198
1730449103.6323385,RIGHT_LEG,15224,4084,5156,283,-247,-137,199
1730449103.675945,RIGHT_LEG,15304,4168,5204,478,-152,-46,200
1730449103.719481,RIGHT_LEG,15076,4272,5216,542,-104,28,201
1730449103.7202826,RIGHT_LEG,15144,4252,5236,394,-98,29,202
1730449103.7659438,RIGHT_LEG,15044,4304,5316,438,-43,199,203
1730449103.81117,RIGHT_LEG,15248,4036,5296,399,-41,166,204
1730449103.8558977,RIGHT_LEG,15068,4012,5104,375,-2,132,205
1730449103.856629,RIGHT_LEG,15308,4148,5084,383,62,160,206
1730449103.9010196,RIGHT_LEG,15224,4084,5132,291,59,180,207
1730449103.9458516,RIGHT_LEG,15236,3900,5360,359,132,245,208
1730449103.946527,RIGHT_LEG,15152,4044,5432,169,-6,134,209
1730449103.9909391,RIGHT_LEG,15148,4016,5560,61,-135,52,210
1730449104.0360184,RIGHT_LEG,15092,4096,5376,23,-248,-12,211
1730449104.0367177,RIGHT_LEG,15200,3996,5452,8,-296,-53,212
1730449104.0810306,RIGHT_LEG,15140,3940,5276,15,-292,-132,213
1730449104.125967,RIGHT_LEG,15272,3976,5256,156,-326,-100,214
1730449104.1266704,RIGHT_LEG,15176,3840,5332,313,-321,-142,215
1730449104.171252,RIGHT_LEG,15208,3980,5196,185,-361,-163,216
1730449104.2159352,RIGHT_LEG,15160,4132,5172,166,-372,-152,217
1730449104.216629,RIGHT_LEG,15212,3984,5136,287,-322,-142,218
1730449104.2609909,RIGHT_LEG,15264,4192,5120,282,-180,-12,219
1730449104.3059769,RIGHT_LEG,15120,4072,5008,360,-52,17,220
1730449104.306724,RIGHT_LEG,15172,4136,5188,359,46,104,221
1730449104.35088,RIGHT_LEG,15156,4136,5320,289,49,105,222
1730449104.3958852,RIGHT_LEG,15172,4064,5364,289,28,122,223
1730449104.3966117,RIGHT_LEG,15196,4020,5488,281,-48,65,224
1730449104.4410617,RIGHT_LEG,15200,3984,5528,270,-191,14,225
1730449104.485967,RIGHT_LEG,15232,4204,5168,257,-227,34,226
1730449104.5309527,RIGHT_LEG,15160,3980,5300,333,-164,55,227
1730449104.5316463,RIGHT_LEG,15124,4104,5292,293,-113,82,228
1730449104.5759485,RIGHT_LEG,15312,4104,5344,385,-82,164,229
1730449104.5766404,RIGHT_LEG,15208,3976,5196,243,-135,91,230
1730449104.6211545,RIGHT_LEG,15176,4088,5256,302,-61,126,231
1730449104.666472,RIGHT_LEG,15344,3992,5304,326,-111,124,232
1730449104.7109685,RIGHT_LEG,15096,4108,5268,266,-174,81,233
1730449104.7559464,RIGHT_LEG,15180,4048,5516,148,-312,47,234
1730449104.756634,RIGHT_LEG,15168,4040,5300,352,-269,53,235
1730449104.800957,RIGHT_LEG,15220,3892,5236,266,-346,10,236
1730449104.8016503,RIGHT_LEG,15152,3880,5360,397,-279,24,237
1730449104.845658,RIGHT_LEG,15268,4256,5060,515,-159,95,238
1730449104.8911214,RIGHT_LEG,15212,3896,5196,362,-155,8,239
1730449104.891903,RIGHT_LEG,15192,4112,5180,468,-31,126,240
1730449104.9361231,RIGHT_LEG,15320,3964,5276,328,-60,97,241
1730449104.9809391,RIGHT_LEG,15164,3908,5300,224,-128,54,242
1730449104.9817677,RIGHT_LEG,15088,3868,5364,175,-178,-12,243
1730449105.025972,RIGHT_LEG,15292,3992,5156,136,-295,-20,244
1730449105.0708756,RIGHT_LEG,15220,3864,5392,187,-260,-25,245
1730449105.071602,RIGHT_LEG,15292,3964,5212,167,-242,-61,246
1730449105.1159947,RIGHT_LEG,15336,3948,5280,180,-224,-34,247
