time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729592101.142108,RIGHT_HAND,-4224,15464,-2792,-2140,6533,1241,107
1729592101.1875834,RIGHT_HAND,-6156,15672,-6352,-4973,8818,-618,109
1729592101.2324984,RIGHT_HAND,-16164,18944,-3668,3923,-13373,-6836,111
1729592101.3216631,RIGHT_HAND,-24140,17028,-272,15909,-2055,-17712,113
1729592101.3667166,RIGHT_HAND,-24864,18652,7560,111,18150,-29465,115
1729592101.412774,RIGHT_HAND,-24256,23208,13692,-4925,32767,-32768,117
1729592101.502114,RIGHT_HAND,-20148,23228,13408,-9064,32767,-32768,118
1729592101.5465112,RIGHT_HAND,-13652,23044,13044,-9234,32767,-32768,119
1729592101.5473006,RIGHT_HAND,-7688,21212,11136,-4552,32767,-32768,120
1729592101.5480256,RIGHT_HAND,-2884,17404,7116,-194,32767,-32139,121
1729592101.6367831,RIGHT_HAND,700,13340,2760,222,27394,-28149,122
1729592101.681271,RIGHT_HAND,2028,10924,-1448,-1765,16437,-23816,123
1729592101.6821003,RIGHT_HAND,2060,9716,-2828,-2660,7142,-20397,124
1729592101.6829247,RIGHT_HAND,64,8160,-6316,-947,-2294,-16327,125
1729592101.726218,RIGHT_HAND,-1700,7100,-12784,-2594,-8968,-13701,126
1729592101.7712343,RIGHT_HAND,-2340,5848,-13944,-2670,-8682,-10608,127
1729592101.7717226,RIGHT_HAND,-5120,5244,-14692,-545,-6401,-6939,128
1729592101.7721293,RIGHT_HAND,-4636,3872,-16692,-290,2664,-4118,129
1729592101.8162527,RIGHT_HAND,-2024,3136,-16540,-1066,6547,-465,130
1729592101.8624842,RIGHT_HAND,-1516,3220,-16884,-1741,943,3033,131
1729592101.8632216,RIGHT_HAND,-2868,4020,-15872,-2451,-2546,5710,132
1729592101.9061747,RIGHT_HAND,-3232,5524,-15912,-1385,-1400,8159,133
1729592101.9518178,RIGHT_HAND,-3156,5812,-13848,1668,-2106,11526,134
1729592101.9967885,RIGHT_HAND,-3524,6112,-13072,2839,-5072,14377,135
1729592102.0415783,RIGHT_HAND,-4516,6656,-12868,2637,-6248,17072,136
1729592102.0424976,RIGHT_HAND,-4496,8248,-12708,1991,-5416,19126,137
1729592102.086537,RIGHT_HAND,-4908,9656,-11072,2326,-6987,21684,138
1729592102.0873983,RIGHT_HAND,-5604,11524,-11440,2942,-10166,23862,139
1729592102.1315296,RIGHT_HAND,-5220,13624,-8788,3668,-7868,25857,140
1729592102.1766694,RIGHT_HAND,-5052,14252,-2748,6162,-12016,28452,141
1729592102.1775131,RIGHT_HAND,-6984,14872,-636,6362,-24912,30304,142
1729592102.2216089,RIGHT_HAND,-9796,17364,-1256,3817,-32300,29599,143
