time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449199.4376402,RIGHT_HAND,-2584,16644,4644,-510,1800,1386,118
1730449199.4826007,RIGHT_HAND,-8216,16184,732,3677,10139,4536,120
1730449199.5719707,RIGHT_HAND,-9924,16648,6740,2003,15023,1189,122
1730449199.6174572,RIGHT_HAND,-13988,15792,11148,4923,19740,-13127,124
1730449199.6623201,RIGHT_HAND,-17492,21176,14164,1928,12046,-23426,126
1730449199.7519686,RIGHT_HAND,-17428,20964,15564,-9416,31676,-30585,128
1730449199.7526937,RIGHT_HAND,-15224,21176,15308,-9775,32767,-32768,129
1730449199.7971535,RIGHT_HAND,-10408,17692,12172,-10708,32767,-32768,130
1730449199.8421307,RIGHT_HAND,-6632,15852,11196,-11234,32767,-31971,131
1730449199.9319189,RIGHT_HAND,-5764,16216,10768,-8795,28839,-28766,132
1730449199.9326122,RIGHT_HAND,-2892,13536,5636,-4088,22035,-27577,133
1730449199.9766603,RIGHT_HAND,-3076,9756,3060,-3509,17931,-24536,134
1730449199.9770486,RIGHT_HAND,-2940,8548,-32,-7449,7498,-20320,135
1730449199.977511,RIGHT_HAND,-2388,7604,-1572,-7696,5328,-16610,136
1730449200.0221932,RIGHT_HAND,-6688,7964,-2512,-8087,-3685,-13710,137
1730449200.067071,RIGHT_HAND,-9800,6996,-5284,-6158,-11773,-10916,138
1730449200.067832,RIGHT_HAND,-11904,5136,-4132,-745,-9982,-10876,139
1730449200.1119916,RIGHT_HAND,-13872,2308,-8556,1004,-4184,-4279,140
1730449200.1568775,RIGHT_HAND,-14712,736,-10476,-532,5318,-4130,141
1730449200.157605,RIGHT_HAND,-10932,680,-8388,-2895,11012,-11,142
1730449200.2021494,RIGHT_HAND,-8916,476,-6752,-1549,6572,-50,143
1730449200.2475114,RIGHT_HAND,-9568,316,-5980,628,-5338,29,144
1730449200.2482977,RIGHT_HAND,-11728,460,-4912,3259,-11461,-807,145
