time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449329.620331,RIGHT_LEG,15228,4196,5148,280,-240,5,28
1730449329.6660697,RIGHT_LEG,15268,3812,5412,290,-291,16,30
1730449329.7552798,RIGHT_LEG,15136,4012,5224,194,-425,-200,32
1730449329.8001974,RIGHT_LEG,15180,3908,5276,420,-594,-316,34
1730449329.8472996,RIGHT_LEG,15308,3968,5264,295,-634,-356,36
1730449329.8902924,RIGHT_LEG,15204,4008,5208,512,-507,-277,37
1730449329.9352643,RIGHT_LEG,15132,4024,4828,212,-576,-319,38
1730449329.9360583,RIGHT_LEG,15268,4196,4920,431,-349,-118,39
1730449329.9805458,RIGHT_LEG,15400,4188,4724,250,-287,-219,40
1730449330.0252223,RIGHT_LEG,15272,4280,4816,314,-128,-62,41
1730449330.0259805,RIGHT_LEG,15300,4184,4828,259,-5,-14,42
1730449330.0702744,RIGHT_LEG,15212,4212,4936,290,70,79,43
1730449330.1602502,RIGHT_LEG,15184,4276,5012,226,68,77,44
1730449330.161033,RIGHT_LEG,15340,4172,5124,232,75,93,45
1730449330.205288,RIGHT_LEG,15344,4168,5052,225,91,103,46
1730449330.2059622,RIGHT_LEG,15360,4004,5004,213,92,77,47
1730449330.2066395,RIGHT_LEG,15196,4060,5208,198,63,57,48
1730449330.2506044,RIGHT_LEG,15248,3976,5036,209,52,17,49
1730449330.295522,RIGHT_LEG,15256,4024,5108,205,27,1,50
1730449330.3852432,RIGHT_LEG,15328,3916,5196,202,-39,-53,51
1730449330.3859975,RIGHT_LEG,15360,4148,5156,172,-55,-49,52
1730449330.4302223,RIGHT_LEG,15128,4164,5152,196,-21,-29,53
1730449330.4309933,RIGHT_LEG,15228,4160,5228,154,-49,33,54
1730449330.4317005,RIGHT_LEG,15240,4036,5280,219,-89,49,55
1730449330.4756408,RIGHT_LEG,15248,3956,5204,265,-104,81,56
1730449330.5215278,RIGHT_LEG,15196,3868,5364,346,-115,72,57
1730449330.5652757,RIGHT_LEG,15332,4004,5164,209,-106,30,58
1730449330.610686,RIGHT_LEG,15300,4040,5296,181,-86,47,59
1730449330.655686,RIGHT_LEG,15120,3984,5180,152,-58,21,60
1730449330.657817,RIGHT_LEG,15228,3996,5220,165,-29,11,61
1730449330.7006605,RIGHT_LEG,15252,3904,5292,158,-40,-34,62
1730449330.746217,RIGHT_LEG,15304,3964,5216,166,-40,-37,63
1730449330.7481365,RIGHT_LEG,15320,4100,5368,163,-39,-70,64
1730449330.7902853,RIGHT_LEG,15100,3972,5180,185,-19,-68,65
1730449330.835163,RIGHT_LEG,15304,4008,4960,180,46,-50,66
1730449330.835948,RIGHT_LEG,15196,3944,5196,208,107,-17,67
1730449330.8802805,RIGHT_LEG,15244,4040,5280,187,150,12,68
1730449330.9253309,RIGHT_LEG,15172,4132,5376,201,212,85,69
1730449330.9261255,RIGHT_LEG,15128,4064,5204,193,266,133,70
1730449330.9702382,RIGHT_LEG,15124,3904,5288,325,323,208,71
1730449331.060192,RIGHT_LEG,15116,4108,5472,387,319,255,72
1730449331.06095,RIGHT_LEG,15300,3848,5652,397,241,234,73
1730449331.1050472,RIGHT_LEG,15328,3712,5292,-8,12,78,74
1730449331.1057644,RIGHT_LEG,15136,4112,5168,265,118,236,75
1730449331.106518,RIGHT_LEG,15228,3832,5508,275,131,269,76
1730449331.1502428,RIGHT_LEG,15068,3892,5380,215,193,291,77
1730449331.19571,RIGHT_LEG,15168,3944,5572,199,146,356,78
1730449331.242195,RIGHT_LEG,15236,3800,5620,226,93,260,79
1730449331.242931,RIGHT_LEG,15168,3768,5636,198,-31,198,80
1730449331.285249,RIGHT_LEG,15164,3552,5496,246,-53,75,81
1730449331.3315191,RIGHT_LEG,15192,3348,5624,-33,-220,-304,82
1730449331.333178,RIGHT_LEG,15136,3844,5716,215,-248,-219,83
1730449331.3752177,RIGHT_LEG,15212,3700,5544,336,-277,-134,84
1730449331.4202087,RIGHT_LEG,15196,3856,5524,319,-285,-174,85
1730449331.4209476,RIGHT_LEG,15108,3856,5488,329,-271,-145,86
1730449331.4652596,RIGHT_LEG,15168,3856,5472,262,-256,-124,87
1730449331.5107193,RIGHT_LEG,15136,3824,5632,329,-207,-52,88
1730449331.5115404,RIGHT_LEG,15216,3840,5276,294,-217,-106,89
1730449331.5552678,RIGHT_LEG,15196,3800,5528,366,-262,-92,90
1730449331.6001945,RIGHT_LEG,15168,3932,5508,262,-340,-127,91
1730449331.6009526,RIGHT_LEG,15172,3784,5356,154,-350,-92,92
1730449331.6453302,RIGHT_LEG,15204,3812,5412,220,-293,-57,93
1730449331.6916747,RIGHT_LEG,15264,3936,5400,242,-229,-46,94
1730449331.6933436,RIGHT_LEG,15220,3900,5344,298,-200,-45,95
1730449331.7350874,RIGHT_LEG,15204,4036,5448,211,-167,-71,96
1730449331.7807653,RIGHT_LEG,15216,3840,5492,287,-105,-12,97
1730449331.781548,RIGHT_LEG,15220,3940,5408,262,-125,-60,98
1730449331.8256981,RIGHT_LEG,15288,3828,5552,304,-172,-20,99
1730449331.8702323,RIGHT_LEG,15076,3716,5476,341,-187,-22,100
1730449331.8709922,RIGHT_LEG,15176,3816,5532,357,-209,-58,101
