time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729592305.2201796,RIGHT_LEG,15416,-2696,6256,-468,-411,68,248
1729592305.3093936,RIGHT_LEG,15288,-2604,6420,-411,-649,-126,250
1729592305.3998535,RIGHT_LEG,15476,-2604,6276,-477,-1048,-530,252
1729592305.4451563,RIGHT_LEG,15560,-2448,6120,-370,-1253,-801,254
1729592305.5349107,RIGHT_LEG,15756,-2264,5708,-348,-1105,-870,1
1729592305.5358548,RIGHT_LEG,15780,-2004,5692,-425,-897,-749,2
1729592305.5792348,RIGHT_LEG,15704,-1864,5544,-449,-612,-578,3
1729592305.6243794,RIGHT_LEG,15744,-1848,5536,-449,-364,-311,4
1729592305.6251063,RIGHT_LEG,15592,-1988,5440,-375,-110,-97,5
1729592305.6694963,RIGHT_LEG,15744,-2028,5664,-214,135,142,6
1729592305.7146096,RIGHT_LEG,15640,-2076,5824,-169,262,222,7
1729592305.7153242,RIGHT_LEG,15684,-2012,5948,-201,315,261,8
1729592305.7595136,RIGHT_LEG,15732,-2068,6096,-181,292,266,9
1729592305.8044822,RIGHT_LEG,15508,-2056,6088,-287,238,255,10
1729592305.805209,RIGHT_LEG,15468,-2164,6324,-368,130,235,11
1729592305.8494835,RIGHT_LEG,15516,-2288,6180,-430,44,146,12
1729592305.8955884,RIGHT_LEG,15588,-2268,6268,-504,-45,106,13
1729592305.896821,RIGHT_LEG,15580,-2188,6140,-452,-38,148,14
1729592305.939363,RIGHT_LEG,15524,-2084,6296,-437,-69,183,15
1729592305.9843774,RIGHT_LEG,15612,-2212,6196,-472,-79,200,16
1729592306.0747335,RIGHT_LEG,15544,-2256,6196,-491,-138,172,17
1729592306.0754337,RIGHT_LEG,15528,-2256,6052,-509,-170,66,18
1729592306.1193638,RIGHT_LEG,15540,-2336,6272,-467,-233,34,19
1729592306.120036,RIGHT_LEG,15520,-2300,6124,-471,-286,-5,20
1729592306.1643906,RIGHT_LEG,15644,-2200,6312,-445,-307,-13,21
1729592306.1663163,RIGHT_LEG,15496,-2332,6100,-410,-302,-38,22
1729592306.1669726,RIGHT_LEG,15564,-2164,6168,-332,-295,-25,23
1729592306.209487,RIGHT_LEG,15424,-2308,6408,-368,-308,-31,24
1729592306.253701,RIGHT_LEG,15608,-2148,6200,-435,-338,-46,25
1729592306.2553515,RIGHT_LEG,15500,-2240,6236,-412,-339,-53,26
1729592306.2993712,RIGHT_LEG,15476,-2196,6224,-473,-391,-74,27
1729592306.344508,RIGHT_LEG,15484,-2112,6212,-451,-409,-59,28
1729592306.389658,RIGHT_LEG,15600,-2136,6196,-432,-385,-34,29
1729592306.3904102,RIGHT_LEG,15612,-1776,5984,-694,-240,-8,30
1729592306.4343767,RIGHT_LEG,15744,-1956,5688,-604,37,183,31
1729592306.4797356,RIGHT_LEG,15608,-2240,6108,-346,200,360,32
1729592306.480373,RIGHT_LEG,15352,-2392,6348,-385,104,267,33
1729592306.5694005,RIGHT_LEG,15308,-2448,6576,-422,-71,211,34
1729592306.5700467,RIGHT_LEG,15476,-2340,6432,-323,-185,178,35
1729592306.5706975,RIGHT_LEG,15504,-2252,6352,-252,-258,166,36
1729592306.6143618,RIGHT_LEG,15504,-2272,6260,-229,-265,234,37
1729592306.6596632,RIGHT_LEG,15532,-2200,6256,-206,-336,220,38
1729592306.6604853,RIGHT_LEG,15500,-2152,6304,-211,-335,212,39
1729592306.7043602,RIGHT_LEG,15500,-2192,6092,-239,-337,244,40
1729592306.7498376,RIGHT_LEG,15520,-2104,6176,-290,-233,335,41
1729592306.7936714,RIGHT_LEG,15564,-2224,6240,-362,-208,359,42
1729592306.7943723,RIGHT_LEG,15604,-2464,6224,-446,-216,300,43
1729592306.83936,RIGHT_LEG,15412,-2336,6268,-535,-236,213,44
1729592306.9337444,RIGHT_LEG,15440,-2424,6428,-553,-321,173,45
1729592306.9349713,RIGHT_LEG,15460,-2348,6396,-528,-385,107,46
1729592306.9742763,RIGHT_LEG,15420,-2448,6304,-502,-445,135,47
1729592306.9747074,RIGHT_LEG,15576,-2368,6036,-534,-431,98,48
1729592306.9750564,RIGHT_LEG,15460,-2340,6260,-479,-382,137,49
1729592307.019266,RIGHT_LEG,15500,-2304,6084,-436,-294,197,50
1729592307.0208313,RIGHT_LEG,15496,-2372,6276,-451,-266,244,51
1729592307.0653577,RIGHT_LEG,15448,-2400,6136,-484,-259,243,52
1729592307.1093178,RIGHT_LEG,15476,-2532,6012,-493,-225,233,53
1729592307.1543286,RIGHT_LEG,15504,-2544,6200,-487,-249,178,54
1729592307.1550329,RIGHT_LEG,15400,-2632,6268,-483,-321,100,55
1729592307.1993291,RIGHT_LEG,15564,-2516,6312,-466,-398,18,56
1729592307.2444718,RIGHT_LEG,15500,-2448,6408,-482,-496,-65,57
1729592307.2451925,RIGHT_LEG,15496,-2548,6364,-526,-624,-174,58
1729592307.288738,RIGHT_LEG,15492,-2464,6348,-549,-640,-258,59
1729592307.2914178,RIGHT_LEG,15504,-2360,6168,-440,-688,-180,60
1729592307.3344026,RIGHT_LEG,15556,-2332,6176,-430,-695,-100,61
1729592307.379411,RIGHT_LEG,15608,-2164,5880,-430,-593,24,62
1729592307.4243863,RIGHT_LEG,15580,-2468,5984,-438,-405,93,63
1729592307.4250953,RIGHT_LEG,15416,-2496,6200,-460,-377,168,64
1729592307.4696627,RIGHT_LEG,15620,-2488,6188,-614,-396,108,65
1729592307.5158541,RIGHT_LEG,15476,-2328,5904,-597,-350,146,66
1729592307.558999,RIGHT_LEG,15640,-2360,6032,-564,-271,175,67
1729592307.560452,RIGHT_LEG,15640,-2404,6056,-586,-335,185,68
1729592307.6045396,RIGHT_LEG,15516,-2624,6120,-599,-434,134,69
1729592307.6490984,RIGHT_LEG,15524,-2496,6176,-532,-508,109,70
1729592307.649517,RIGHT_LEG,15540,-2572,6120,-466,-514,77,71
1729592307.6949637,RIGHT_LEG,15608,-2468,5868,-470,-460,75,72
1729592307.7396069,RIGHT_LEG,15592,-2440,5920,-464,-384,122,73
1729592307.740537,RIGHT_LEG,15776,-2460,5924,-513,-285,117,74
1729592307.7844443,RIGHT_LEG,15580,-2540,5928,-509,-212,167,75
1729592307.8294241,RIGHT_LEG,15488,-2452,5856,-498,-136,206,76
