time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589248.483599,RIGHT_HAND,1992,17480,-284,-2529,19209,2316,242
1729589248.5742304,RIGHT_HAND,7680,15752,7152,9577,9997,3962,244
1729589248.6661768,RIGHT_HAND,5600,15388,13104,365,-16686,4375,246
1729589248.7085135,RIGHT_HAND,-2340,18236,6560,-2350,-32768,3304,248
1729589248.710282,RIGHT_HAND,-6952,19008,-1232,-8429,-29257,4562,250
1729589248.7983968,RIGHT_HAND,-6396,15792,-2072,-5920,-13523,8159,252
1729589248.7991796,RIGHT_HAND,-6588,15400,-2512,-9516,-19641,6622,253
1729589248.88998,RIGHT_HAND,-8620,15396,-4348,-9801,-23279,5953,254
1729589248.935146,RIGHT_HAND,-10136,14220,-6688,-10353,-19155,6028,255
1729589248.9364605,RIGHT_HAND,-10696,14116,-8656,-12774,-14544,5019,1
1729589248.97923,RIGHT_HAND,-11172,15612,-9828,-13786,-8587,2973,2
1729589248.9803758,RIGHT_HAND,-10988,16492,-10820,-10864,-3102,594,3
1729589249.0238578,RIGHT_HAND,-9780,17448,-10652,-7715,2721,-2908,4
1729589249.0247827,RIGHT_HAND,-8252,19744,-9564,-4145,5583,-6375,5
1729589249.0701709,RIGHT_HAND,-6484,22264,-7808,754,8080,-9623,6
1729589249.113874,RIGHT_HAND,-4732,23340,-5568,6778,8840,-11476,7
1729589249.1157951,RIGHT_HAND,-3120,22752,-4476,11009,8983,-12084,8
1729589249.1582766,RIGHT_HAND,-2300,20928,-3320,13090,8688,-11294,9
1729589249.2031782,RIGHT_HAND,-2016,18636,-3780,12925,6792,-10230,10
1729589249.2495987,RIGHT_HAND,-3292,17668,-3448,9632,7512,-9261,11
1729589249.2935364,RIGHT_HAND,-3788,16016,-2468,10185,10399,-7372,12
1729589249.2948208,RIGHT_HAND,-3280,15760,-4276,5795,12522,-6653,13
1729589249.3386073,RIGHT_HAND,-3788,16712,-1940,3951,14102,-4828,14
1729589249.3393438,RIGHT_HAND,-2872,15736,-2232,6382,13697,-3045,15
1729589249.4735198,RIGHT_HAND,-2712,16836,-2156,1074,13457,-2947,16
1729589249.4742713,RIGHT_HAND,-2496,17960,408,3545,12720,-446,17
1729589249.5638554,RIGHT_HAND,-1468,15060,-1248,5669,9235,179,18
1729589249.565082,RIGHT_HAND,-1424,14152,-2268,255,7303,-1210,19
1729589249.5661817,RIGHT_HAND,-1284,15988,-1416,-1591,6754,-1080,20
1729589249.6085236,RIGHT_HAND,-1008,15948,-1544,763,5192,562,21
1729589249.6094072,RIGHT_HAND,-752,14424,-3296,-1448,4307,578,22
1729589249.6101754,RIGHT_HAND,-728,14672,-3676,-4094,4867,-146,23
1729589249.6995237,RIGHT_HAND,-668,15004,-3588,-2615,4857,-106,24
1729589249.7002652,RIGHT_HAND,-132,14240,-4296,-1680,3904,-71,25
1729589249.701009,RIGHT_HAND,-184,13708,-4928,-2038,2370,-415,26
1729589249.743882,RIGHT_HAND,-1140,13756,-5084,-1989,754,-408,27
1729589249.7450097,RIGHT_HAND,-2032,14760,-5820,-3719,353,-361,28
1729589249.74616,RIGHT_HAND,-2716,16276,-6644,-5810,1789,-295,29
1729589249.9235833,RIGHT_HAND,-3108,17328,-5848,-4687,1745,339,30
1729589250.013515,RIGHT_HAND,-2396,17600,-7260,-2944,1023,541,31
1729589250.0142136,RIGHT_HAND,-2524,16028,-7316,43,-4481,-493,32
1729589250.0148861,RIGHT_HAND,-2512,15652,-10796,4861,-11549,1015,33
1729589250.058566,RIGHT_HAND,-5284,12060,-8672,3750,-3514,1199,34
