time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589302.0821035,RIGHT_LEG,32767,-244,2148,1384,17302,18800,179
1729589302.1718254,RIGHT_LEG,26348,8988,11864,-9614,8795,21356,181
1729589302.215599,RIGHT_LEG,18776,-3472,7572,19313,-7548,12976,183
1729589302.3063498,RIGHT_LEG,29800,-3304,3028,8529,-32768,-13048,185
1729589302.351913,RIGHT_LEG,32767,-8476,12256,3262,-32768,-27744,187
1729589302.3961885,RIGHT_LEG,32767,-13996,15428,8184,-32768,-24004,188
1729589302.3967023,RIGHT_LEG,32767,-13084,20476,10294,-32768,-17155,189
1729589302.4417007,RIGHT_LEG,32767,-8840,29032,16761,-32768,-10270,190
1729589302.4867783,RIGHT_LEG,20336,-5172,23848,10187,-32768,-2112,191
1729589302.487658,RIGHT_LEG,11308,-3900,19464,11387,-27698,935,192
1729589302.531392,RIGHT_LEG,1556,-9632,17000,5214,-14822,4787,193
1729589302.5766046,RIGHT_LEG,-1788,-8160,15264,-3990,-6422,3668,194
1729589302.5777187,RIGHT_LEG,-5060,-3672,18976,1826,-1873,4529,195
1729589302.6219752,RIGHT_LEG,-10444,-2756,16620,6266,3697,5483,196
1729589302.6669414,RIGHT_LEG,-11816,-1944,13124,9760,7701,4875,197
1729589302.6682174,RIGHT_LEG,-9552,-5904,9940,2504,12738,137,198
1729589302.7111099,RIGHT_LEG,-5548,-5620,9728,-9120,18344,-5240,199
1729589302.8014333,RIGHT_LEG,2016,-5516,10556,-15066,22357,-7751,200
1729589302.8021548,RIGHT_LEG,9628,-7856,8928,-17839,25734,-6823,201
1729589302.846437,RIGHT_LEG,15656,-7016,6560,-19122,28725,-2481,202
1729589302.8473248,RIGHT_LEG,21032,-4636,7836,-15025,28425,2516,203
1729589302.8948052,RIGHT_LEG,27108,-5464,12084,-6173,26601,7535,204
1729589302.8959086,RIGHT_LEG,28860,-9336,11032,-1874,25927,11063,205
1729589302.936429,RIGHT_LEG,32584,-7016,7428,-5010,26157,11917,206
1729589302.9371655,RIGHT_LEG,32767,-3288,8304,-4708,25053,12853,207
1729589302.9817727,RIGHT_LEG,32767,-4900,10476,-5524,24945,11676,208
1729589303.0289323,RIGHT_LEG,32767,-4488,8272,-10614,24104,8174,209
1729589303.0717654,RIGHT_LEG,32000,88,3100,-11632,22086,5557,210
1729589303.0729115,RIGHT_LEG,29936,-764,3396,-11194,18369,3417,211
1729589303.1163883,RIGHT_LEG,27368,32,2048,-11319,13761,419,212
1729589303.1618705,RIGHT_LEG,24252,2896,800,-7673,8098,-1011,213
1729589303.2513523,RIGHT_LEG,21720,364,148,-3594,2501,-2677,214
1729589303.253291,RIGHT_LEG,21136,1776,-608,-8959,-48,-6008,215
1729589303.254291,RIGHT_LEG,21012,2728,1112,-1707,-4300,-4754,216
1729589303.3415163,RIGHT_LEG,21148,4832,996,2367,-6980,-6932,217
1729589303.3423972,RIGHT_LEG,15964,-3108,7744,5840,-6505,-4391,218
1729589303.3861141,RIGHT_LEG,18852,5472,6040,900,-4869,-6553,219
1729589303.4324026,RIGHT_LEG,16772,1064,5584,-2837,-3728,-7606,220
1729589303.4334588,RIGHT_LEG,18072,-5000,3092,-3381,-2301,-6210,221
1729589303.5217693,RIGHT_LEG,18104,-6696,2716,-1006,-1052,-2755,222
1729589303.5230815,RIGHT_LEG,17488,-4096,5888,3127,-413,-1420,223
1729589303.5668535,RIGHT_LEG,16348,-2228,7068,1595,-388,-2571,224
1729589303.5679948,RIGHT_LEG,16016,-2196,6172,-388,-836,-3025,225
1729589303.5691857,RIGHT_LEG,16076,-2468,5208,64,-628,-2343,226
1729589303.6112485,RIGHT_LEG,16040,-2312,5320,777,-219,-1824,227
1729589303.6567972,RIGHT_LEG,15784,-1832,5924,966,-133,-1313,228
1729589303.7013812,RIGHT_LEG,15808,-1616,5980,986,-131,-724,229
1729589303.7024715,RIGHT_LEG,15460,-2240,6296,721,-350,-524,230
1729589303.74637,RIGHT_LEG,15496,-2444,6272,372,-579,-754,231
1729589303.7915606,RIGHT_LEG,15604,-2076,6136,232,-662,-884,232
1729589303.7923512,RIGHT_LEG,15620,-2084,6256,381,-881,-747,233
1729589303.8355844,RIGHT_LEG,15664,-2032,6132,218,-1008,-687,234
1729589303.8813734,RIGHT_LEG,15888,-1612,5364,3,-715,-539,235
1729589303.8821065,RIGHT_LEG,16048,-1192,5184,178,-81,-9,236
1729589303.9265165,RIGHT_LEG,15832,-1312,5768,17,352,519,237
1729589304.0159729,RIGHT_LEG,15644,-1612,6060,-407,509,696,238
1729589304.0162785,RIGHT_LEG,15608,-1984,6012,-566,491,743,239
1729589304.061736,RIGHT_LEG,15660,-2080,6304,-559,388,789,240
1729589304.0627592,RIGHT_LEG,15584,-2164,6212,-554,262,796,241
1729589304.0638208,RIGHT_LEG,15524,-2412,6220,-595,114,805,242
1729589304.106466,RIGHT_LEG,15628,-2092,6052,-600,47,889,243
1729589304.1963725,RIGHT_LEG,15564,-2204,6100,-677,67,963,244
1729589304.1971235,RIGHT_LEG,15468,-2380,6124,-696,42,1028,245
1729589304.2414248,RIGHT_LEG,15460,-2336,6124,-793,66,1031,246
1729589304.242162,RIGHT_LEG,15460,-2420,6168,-791,89,1095,247
1729589304.2429552,RIGHT_LEG,15568,-2544,6268,-775,63,1076,248
1729589304.286425,RIGHT_LEG,15372,-2840,6312,-875,-59,942,249
1729589304.3317072,RIGHT_LEG,15448,-2768,6216,-792,-120,909,250
1729589304.3327618,RIGHT_LEG,15448,-2836,6136,-787,-128,909,251
1729589304.3761854,RIGHT_LEG,15448,-2960,6164,-749,-112,897,252
1729589304.4211824,RIGHT_LEG,15336,-2964,6364,-906,-198,795,253
1729589304.468594,RIGHT_LEG,15224,-2856,6184,-887,-170,734,254
1729589304.4692807,RIGHT_LEG,15276,-3256,6420,-783,-210,710,255
1729589304.5110765,RIGHT_LEG,15296,-3208,6340,-804,-303,572,1
1729589304.5114105,RIGHT_LEG,15232,-3268,6364,-714,-379,493,2
1729589304.5565193,RIGHT_LEG,15252,-3148,6288,-722,-440,418,3
1729589304.601516,RIGHT_LEG,15288,-3228,6176,-748,-432,381,4
