time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449691.9164734,RIGHT_HAND,-8212,12948,12344,4298,-3271,-11131,255
1730449691.9625247,RIGHT_HAND,-4180,13316,18296,-845,16988,-9463,2
1730449692.0525215,RIGHT_HAND,248,12904,19560,-10540,22619,-7385,4
1730449692.096668,RIGHT_HAND,2944,15388,19164,-17907,17825,-9559,6
1730449692.1866307,RIGHT_HAND,4056,16060,14168,-21810,5745,-9822,8
1730449692.2312818,RIGHT_HAND,3348,17224,8044,-18556,-5092,-6432,10
1730449692.2769842,RIGHT_HAND,1744,17372,4912,-14016,-7450,-3206,11
1730449692.2775168,RIGHT_HAND,876,15960,5196,-7322,-7589,-492,12
1730449692.3211868,RIGHT_HAND,-1716,14112,5104,-4331,-7693,1915,13
1730449692.3662493,RIGHT_HAND,-3476,12564,2860,-2403,-6371,-716,14
1730449692.3669853,RIGHT_HAND,-6836,16952,7540,7030,-13662,-3895,15
1730449692.41116,RIGHT_HAND,-9468,8312,11364,2643,-18023,160,16
1730449692.4573383,RIGHT_HAND,-10716,9408,16080,-1028,-14320,3341,17
1730449692.458147,RIGHT_HAND,-13092,8484,24964,357,-9100,-113,18
1730449692.5021324,RIGHT_HAND,-13792,5432,29704,-1302,-3495,-4429,19
1730449692.5477781,RIGHT_HAND,-16020,5676,32767,-11180,-2443,-8029,20
1730449692.548629,RIGHT_HAND,-17084,10188,32767,-15661,-3628,-9030,21
1730449692.5927148,RIGHT_HAND,-15196,10880,31548,-18522,4977,-11160,22
1730449692.6362076,RIGHT_HAND,-14244,11188,31920,-25401,20232,-9577,23
1730449692.682685,RIGHT_HAND,-10740,13740,30272,-29722,32767,-8927,24
1730449692.6835532,RIGHT_HAND,-7192,13592,26388,-28247,32767,-9104,25
1730449692.7276874,RIGHT_HAND,-5632,12268,25956,-22644,32767,-11030,26
1730449692.7285702,RIGHT_HAND,-3344,9796,22220,-17293,32767,-12798,27
1730449692.772252,RIGHT_HAND,-404,8784,16528,-15580,32767,-13804,28
1730449692.8177633,RIGHT_HAND,3192,8000,10728,-12176,32767,-15135,29
1730449692.8617194,RIGHT_HAND,5612,5752,5472,-6534,32767,-15547,30
1730449692.8625152,RIGHT_HAND,7472,2948,-324,-627,29862,-13896,31
1730449692.907247,RIGHT_HAND,9240,-540,-2000,5058,27732,-8420,32
1730449692.952177,RIGHT_HAND,10696,-3636,-288,7470,22740,-2238,33
1730449692.9530284,RIGHT_HAND,10328,-4668,656,6840,16856,1996,34
1730449692.9977179,RIGHT_HAND,10448,-3756,552,2584,8493,6285,35
1730449693.042201,RIGHT_HAND,8920,-3856,104,-3195,-4942,11660,36
1730449693.0430532,RIGHT_HAND,4472,-1332,892,-6325,-17278,15697,37
1730449693.0872564,RIGHT_HAND,-720,980,4372,-8112,-29123,18539,38
1730449693.1322017,RIGHT_HAND,-6664,2672,6588,-10200,-32768,18736,39
1730449693.1329668,RIGHT_HAND,-10812,4332,10944,-2908,-32768,15969,40
1730449693.1778533,RIGHT_HAND,-18872,5536,16768,3899,-32768,13115,41
1730449693.221222,RIGHT_HAND,-20816,5080,18032,13542,-32768,6035,42
1730449693.2219517,RIGHT_HAND,-20404,2120,16700,15073,-29012,9050,43
1730449693.2673056,RIGHT_HAND,-20804,2336,20280,9088,-16413,10514,44
1730449693.3127334,RIGHT_HAND,-15992,4696,18904,3695,-9946,9093,45
1730449693.4023235,RIGHT_HAND,-12232,6268,20724,5710,-5553,6834,46
1730449693.403185,RIGHT_HAND,-11760,5812,20896,7148,-11477,5985,47
1730449693.4472108,RIGHT_HAND,-8968,5508,16112,2764,-14290,3515,48
1730449693.44807,RIGHT_HAND,-5612,6612,15464,759,-8639,2542,49
1730449693.4927607,RIGHT_HAND,-6636,7688,19136,1686,-13355,4048,50
1730449693.5372334,RIGHT_HAND,-6004,10144,13916,1959,-18272,4310,51
1730449693.538165,RIGHT_HAND,-5116,11516,10820,6855,-7301,4773,52
1730449693.582815,RIGHT_HAND,-7164,11428,15016,11736,-3653,6412,53
1730449693.6277125,RIGHT_HAND,-6792,12856,12216,15130,-2241,7549,54
1730449693.6285107,RIGHT_HAND,-4780,13420,12544,17376,9183,7353,55
1730449693.671245,RIGHT_HAND,-3832,13936,17228,15754,9097,12109,56
1730449693.7177246,RIGHT_HAND,-3968,15164,19008,15227,-674,13411,57
1730449693.7185524,RIGHT_HAND,-5144,14728,15836,16573,-3488,10127,58
1730449693.7628264,RIGHT_HAND,-5748,14956,15176,13896,-5508,9216,59
1730449693.807271,RIGHT_HAND,-3624,14832,16044,15083,-2840,4930,60
1730449693.8527024,RIGHT_HAND,-1776,14664,16552,15292,-4248,2100,61
