time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589798.84079,RIGHT_HAND,-5384,19204,-6292,4518,-856,4889,214
1729589798.9304094,RIGHT_HAND,-9492,17252,-6120,11179,-415,2555,216
1729589799.021071,RIGHT_HAND,-11180,16032,-3560,12261,5923,-852,218
1729589799.0662684,RIGHT_HAND,-10428,16272,-1800,11643,3591,-6310,220
1729589799.1107068,RIGHT_HAND,-10740,16304,-1312,9379,2168,-13139,222
1729589799.2016094,RIGHT_HAND,-8404,16300,-1472,6754,4906,-18772,224
1729589799.2451847,RIGHT_HAND,-7164,16524,-1304,5596,2523,-20449,225
1729589799.2460613,RIGHT_HAND,-5948,15760,-3100,5728,-204,-21292,226
1729589799.2468836,RIGHT_HAND,-4972,15160,-2424,3845,-2411,-21509,227
1729589799.29064,RIGHT_HAND,-4048,14520,-3316,3525,-5806,-20416,228
1729589799.3355954,RIGHT_HAND,-3628,13352,-4468,1845,-8301,-18096,229
1729589799.3364758,RIGHT_HAND,-4124,12280,-4768,-674,-8647,-15635,230
1729589799.3809752,RIGHT_HAND,-4544,11700,-6008,-2308,-8240,-12489,231
1729589799.4259179,RIGHT_HAND,-5448,11196,-6300,-3457,-4831,-8881,232
1729589799.4267986,RIGHT_HAND,-4448,11168,-6372,-5196,2189,-5862,233
1729589799.4701653,RIGHT_HAND,-2080,14572,-7720,-3740,-1949,-2001,234
1729589799.515246,RIGHT_HAND,-3872,11292,-7604,4567,1366,3899,235
1729589799.51576,RIGHT_HAND,-5352,5860,-8576,347,-6416,3990,236
1729589799.560273,RIGHT_HAND,-7324,7140,-7428,-8684,-4732,2810,237
1729589799.6050844,RIGHT_HAND,-9192,9964,-3960,-8404,-2473,4407,238
1729589799.6500874,RIGHT_HAND,-10720,10172,-3780,-3815,-3998,6833,239
1729589799.6504586,RIGHT_HAND,-13640,8712,-5384,-4571,-4182,6076,240
1729589799.6953697,RIGHT_HAND,-16064,9708,-6044,-6441,-4355,4270,241
1729589799.7404652,RIGHT_HAND,-17848,11600,-9472,-4588,-6810,3546,242
1729589799.7411654,RIGHT_HAND,-20100,12328,-11076,-1717,-4315,2249,243
1729589799.7854452,RIGHT_HAND,-22140,11444,-13088,1412,-3018,434,244
1729589799.83044,RIGHT_HAND,-23820,10872,-13880,1892,3056,-2430,245
1729589799.8311706,RIGHT_HAND,-24152,11212,-11008,2381,6911,-5903,246
1729589799.875415,RIGHT_HAND,-24004,12136,-10260,5343,4837,-9038,247
1729589799.9205697,RIGHT_HAND,-23500,12424,-9392,7978,6140,-11999,248
1729589799.921432,RIGHT_HAND,-22036,12184,-8596,9130,6766,-14368,249
1729589799.9653652,RIGHT_HAND,-20212,12492,-7552,9655,8249,-16662,250
1729589800.0556707,RIGHT_HAND,-18804,11692,-6132,11362,7826,-17649,251
1729589800.056422,RIGHT_HAND,-16548,10564,-6196,11684,11485,-18671,252
1729589800.1007247,RIGHT_HAND,-12492,9348,-4188,10289,15360,-18693,253
1729589800.1015441,RIGHT_HAND,-9856,7900,-4592,11972,12947,-17035,254
1729589800.1022804,RIGHT_HAND,-7004,5800,-4516,12674,12321,-15587,255
1729589800.1903765,RIGHT_HAND,-4896,3384,-3404,12042,12979,-13005,1
1729589800.2356088,RIGHT_HAND,-2824,1468,-2800,9972,13906,-10347,2
1729589800.2363808,RIGHT_HAND,-564,-256,-1700,8106,15632,-7064,3
1729589800.2801454,RIGHT_HAND,1000,-956,-172,4870,18041,-3741,4
1729589800.2806895,RIGHT_HAND,2688,-2668,1340,2249,15200,-302,5
1729589800.2815573,RIGHT_HAND,3544,-3444,-228,-2805,8677,1301,6
1729589800.3256674,RIGHT_HAND,2944,-2412,-1188,-8528,-1964,2040,7
1729589800.370799,RIGHT_HAND,1516,-712,-3364,-10392,-8833,4273,8
1729589800.4155989,RIGHT_HAND,-1096,1024,-6204,-12414,-15455,6524,9
1729589800.4163234,RIGHT_HAND,-4604,2184,-6412,-14148,-18970,8111,10
1729589800.4605548,RIGHT_HAND,-9376,3216,-7096,-13004,-23740,11743,11
1729589800.50502,RIGHT_HAND,-13716,4496,-12180,-11948,-25076,11269,12
1729589800.5053883,RIGHT_HAND,-17456,5564,-11800,-7620,-10263,13916,13
1729589800.595232,RIGHT_HAND,-17700,5288,-13332,-8834,34,12681,14
1729589800.6406033,RIGHT_HAND,-16404,5812,-8668,-10673,-909,11309,15
1729589800.641292,RIGHT_HAND,-17012,7304,-13828,-9591,-5160,10225,16
1729589800.6420243,RIGHT_HAND,-18768,8248,-11004,-7398,-9005,7357,17
1729589800.6856735,RIGHT_HAND,-21072,8056,-13896,-3348,-10352,7313,18
1729589800.6865218,RIGHT_HAND,-22148,7268,-13852,-3323,-5295,4281,19
1729589800.7309356,RIGHT_HAND,-20820,7160,-12184,-2975,-538,2232,20
1729589800.7315602,RIGHT_HAND,-18592,7104,-12720,-2218,3208,625,21
1729589800.7760863,RIGHT_HAND,-15656,7612,-11068,-1742,3774,-1709,22
1729589800.82086,RIGHT_HAND,-14052,8156,-8428,-1408,3811,-2485,23
1729589800.9132524,RIGHT_HAND,-12660,8288,-9004,33,932,-2599,24
1729589800.9139261,RIGHT_HAND,-10424,8148,-9684,1346,3242,-2204,25
1729589800.9556043,RIGHT_HAND,-8940,7036,-7040,519,6874,-807,26
1729589800.956474,RIGHT_HAND,-8548,6784,-6760,-942,4173,1285,27
1729589801.000556,RIGHT_HAND,-8540,7284,-5716,-2538,7402,2573,28
1729589801.0013795,RIGHT_HAND,-7404,7204,-4720,-2494,10070,5869,29
1729589801.0905447,RIGHT_HAND,-5756,7660,-6980,-3068,8037,8369,30
1729589801.091343,RIGHT_HAND,-5560,8728,-4992,-3673,6495,10637,31
1729589801.1367042,RIGHT_HAND,-6996,9960,-6660,-3849,3199,12143,32
1729589801.1396554,RIGHT_HAND,-7348,10932,-9680,-5392,4049,12373,33
1729589801.1825938,RIGHT_HAND,-7236,11204,-7000,-7264,6734,12238,34
1729589801.2255912,RIGHT_HAND,-6476,12380,-7160,-9554,6015,12572,35
1729589801.2263522,RIGHT_HAND,-6052,13684,-5900,-11260,4238,12322,36
1729589801.2709572,RIGHT_HAND,-5932,15208,-3700,-10243,-1020,12290,37
1729589801.2718349,RIGHT_HAND,-5660,15988,-7816,-10230,-4419,12411,38
1729589801.3159118,RIGHT_HAND,-6304,16252,-6824,-11512,-3459,12243,39
1729589801.3607357,RIGHT_HAND,-6008,17464,-3784,-11361,-4982,11513,40
1729589801.3616092,RIGHT_HAND,-5548,18788,-2716,-9360,-10154,10727,41
1729589801.4057822,RIGHT_HAND,-6300,19068,-2152,-7501,-16140,10204,42
1729589801.495608,RIGHT_HAND,-7368,18868,-1320,-6694,-19694,9452,43
