time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730449609.0751913,RIGHT_LEG,15228,3940,5352,92,-496,-176,91
1730449609.1636055,RIGHT_LEG,15092,4344,5376,206,-607,-248,93
1730449609.2092874,RIGHT_LEG,15260,4248,5264,363,-719,-325,95
1730449609.2988527,RIGHT_LEG,15096,4392,5052,449,-656,-376,97
1730449609.3439913,RIGHT_LEG,15184,4484,4936,254,-496,-364,99
1730449609.4340088,RIGHT_LEG,15192,4520,5028,255,-359,-287,100
1730449609.4359362,RIGHT_LEG,15132,4364,5004,327,-216,-237,101
1730449609.4366858,RIGHT_LEG,15112,4420,4964,232,-123,-234,102
1730449609.4789066,RIGHT_LEG,15072,4672,4920,289,107,-114,103
1730449609.4796395,RIGHT_LEG,15024,4576,5016,223,284,4,104
1730449609.522251,RIGHT_LEG,15096,4556,5160,166,422,151,105
1730449609.5690186,RIGHT_LEG,15068,4404,5328,47,450,193,106
1730449609.6121368,RIGHT_LEG,15064,4344,5236,-83,414,174,107
1730449609.6128738,RIGHT_LEG,15072,4264,5420,-72,461,184,108
1730449609.6572392,RIGHT_LEG,15092,4292,5200,-188,475,157,109
1730449609.6595457,RIGHT_LEG,14916,4164,5580,-151,484,170,110
1730449609.703997,RIGHT_LEG,15168,4252,5612,-202,289,101,111
1730449609.7489254,RIGHT_LEG,15108,4196,5644,-12,167,73,112
1730449609.7939498,RIGHT_LEG,15084,4172,5548,112,114,0,113
1730449609.7946823,RIGHT_LEG,15048,4348,5616,229,40,47,114
1730449609.8391764,RIGHT_LEG,14980,4224,5584,132,-63,-22,115
1730449609.8838995,RIGHT_LEG,15164,4228,5384,259,18,44,116
1730449609.884632,RIGHT_LEG,15224,4472,5436,344,151,99,117
1730449609.9289863,RIGHT_LEG,14944,4268,5396,342,221,191,118
1730449609.9739196,RIGHT_LEG,15148,4332,5460,308,259,227,119
1730449609.9746594,RIGHT_LEG,14920,4236,5684,160,154,206,120
1730449610.019044,RIGHT_LEG,14964,4096,5664,166,108,199,121
1730449610.0640135,RIGHT_LEG,15000,4124,5748,307,95,262,122
1730449610.0648773,RIGHT_LEG,15124,4140,5484,204,74,210,123
1730449610.1092234,RIGHT_LEG,15112,4216,5552,243,175,286,124
1730449610.1539679,RIGHT_LEG,15104,4228,5244,108,364,319,125
1730449610.1547084,RIGHT_LEG,15108,4248,5292,21,606,421,126
1730449610.1990135,RIGHT_LEG,14968,4064,5632,-32,726,444,127
1730449610.3339326,RIGHT_LEG,14916,4072,5772,-166,794,427,128
1730449610.3346481,RIGHT_LEG,14988,3848,6068,-189,766,423,129
1730449610.3353636,RIGHT_LEG,14948,3896,6028,-265,673,364,130
1730449610.3789873,RIGHT_LEG,14972,3804,6200,-62,649,421,131
1730449610.4239964,RIGHT_LEG,14960,3744,6304,-28,485,307,132
1730449610.468991,RIGHT_LEG,14832,3648,6108,-77,326,215,133
1730449610.46973,RIGHT_LEG,14916,3636,6424,-17,227,202,134
1730449610.5129704,RIGHT_LEG,14904,3524,6132,47,117,55,135
1730449610.513739,RIGHT_LEG,14808,3672,6236,133,82,30,136
1730449610.558983,RIGHT_LEG,14852,3724,6416,211,-25,-6,137
1730449610.604044,RIGHT_LEG,14944,3536,6348,99,-250,-200,138
1730449610.604778,RIGHT_LEG,14980,3572,6424,255,-383,-286,139
1730449610.6490185,RIGHT_LEG,14968,3604,6524,316,-620,-435,140
1730449610.6939697,RIGHT_LEG,14796,3780,6204,334,-780,-498,141
1730449610.6947162,RIGHT_LEG,15020,3828,6264,498,-811,-464,142
1730449610.7386198,RIGHT_LEG,14808,3964,5904,421,-825,-490,143
1730449610.7393646,RIGHT_LEG,15000,3916,5964,580,-725,-376,144
1730449610.7841933,RIGHT_LEG,15076,4096,5552,402,-642,-342,145
1730449610.8277643,RIGHT_LEG,15004,4164,5596,430,-385,-189,146
1730449610.8301144,RIGHT_LEG,15016,4188,5656,390,-176,-95,147
1730449610.873884,RIGHT_LEG,14848,4180,5592,275,26,19,148
1730449610.919004,RIGHT_LEG,14984,3972,5824,214,166,135,149
1730449610.9621346,RIGHT_LEG,15104,3916,6008,118,144,67,150
1730449610.962905,RIGHT_LEG,14892,3948,5996,158,197,56,151
1730449611.0089314,RIGHT_LEG,14916,3936,6060,178,208,115,152
1730449611.0992322,RIGHT_LEG,15012,3940,6132,172,165,76,153
1730449611.1000009,RIGHT_LEG,14596,3776,6112,161,180,27,154
1730449611.1427348,RIGHT_LEG,14948,3756,6240,219,28,111,155
1730449611.143449,RIGHT_LEG,15028,3728,6192,204,35,-36,156
1730449611.144208,RIGHT_LEG,14956,3888,5912,258,37,-35,157
1730449611.2339036,RIGHT_LEG,14856,3824,6044,256,61,-47,158
1730449611.2788706,RIGHT_LEG,14780,3856,6028,196,65,-57,159
1730449611.279577,RIGHT_LEG,15092,3916,5900,274,156,-75,160
1730449611.2803125,RIGHT_LEG,14956,4192,6132,404,270,34,161
1730449611.324023,RIGHT_LEG,14696,4152,6208,280,256,120,162
1730449611.3688967,RIGHT_LEG,14840,3840,6324,173,180,147,163
1730449611.3696263,RIGHT_LEG,14788,3700,6396,147,36,63,164
1730449611.4139385,RIGHT_LEG,14704,3792,6476,175,-151,19,165
1730449611.4588668,RIGHT_LEG,14956,3684,6496,259,-319,-49,166
1730449611.459418,RIGHT_LEG,14860,3732,6328,316,-481,-115,167
1730449611.5039618,RIGHT_LEG,14844,3840,6324,335,-600,-166,168
1730449611.5489001,RIGHT_LEG,14752,3912,6080,318,-668,-175,169
1730449611.549632,RIGHT_LEG,14824,3792,6156,424,-622,-154,170
1730449611.5951102,RIGHT_LEG,14880,3952,6160,438,-638,-148,171
1730449611.6388483,RIGHT_LEG,14920,3928,6100,445,-627,-87,172
1730449611.6395295,RIGHT_LEG,14872,3868,5928,442,-647,-168,173
1730449611.6842012,RIGHT_LEG,15076,3824,5996,454,-558,-273,174
