time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589888.7076976,RIGHT_LEG,15216,-2812,6616,-417,-102,-19,248
1729589888.7524686,RIGHT_LEG,15168,-2820,6952,-430,-358,-91,250
1729589888.797431,RIGHT_LEG,15392,-2968,6632,-586,-560,-228,252
1729589888.8873785,RIGHT_LEG,15192,-2888,6812,-198,-635,-330,254
1729589888.93251,RIGHT_LEG,15284,-2860,6260,-350,-770,-501,1
1729589888.9773347,RIGHT_LEG,15456,-2748,6348,-342,-749,-543,2
1729589888.9780407,RIGHT_LEG,15476,-2468,6216,-380,-709,-506,3
1729589889.022527,RIGHT_LEG,15512,-2336,6384,-253,-652,-398,4
1729589889.1123846,RIGHT_LEG,15556,-2276,6188,-309,-591,-209,5
1729589889.1131594,RIGHT_LEG,15624,-2268,6120,-186,-353,19,6
1729589889.1143725,RIGHT_LEG,15536,-2484,6192,-151,-159,182,7
1729589889.1151783,RIGHT_LEG,15520,-2188,6020,-205,127,323,8
1729589889.1575265,RIGHT_LEG,15372,-2424,6188,-359,276,456,9
1729589889.202464,RIGHT_LEG,15356,-2400,6532,-386,367,570,10
1729589889.247479,RIGHT_LEG,15404,-2604,6492,-526,434,610,11
1729589889.2924244,RIGHT_LEG,15372,-2660,6368,-637,407,555,12
1729589889.2931533,RIGHT_LEG,15344,-2700,6632,-618,483,492,13
1729589889.3377943,RIGHT_LEG,15232,-2928,6616,-560,439,518,14
1729589889.4286802,RIGHT_LEG,15332,-2732,6724,-602,330,407,15
1729589889.4294193,RIGHT_LEG,15032,-2680,6804,-648,214,401,16
1729589889.4724066,RIGHT_LEG,15120,-2756,6688,-655,124,399,17
1729589889.473068,RIGHT_LEG,15056,-2900,6900,-707,-2,332,18
1729589889.4737246,RIGHT_LEG,15280,-3004,6640,-640,-100,298,19
1729589889.5173953,RIGHT_LEG,15268,-3156,6748,-603,-137,192,20
1729589889.5623934,RIGHT_LEG,15128,-3076,6660,-435,-97,115,21
1729589889.5630753,RIGHT_LEG,15072,-3028,6928,-280,-91,97,22
1729589889.6075752,RIGHT_LEG,14988,-2988,6852,-410,-246,-72,23
1729589889.6523693,RIGHT_LEG,15232,-2992,6868,-528,-420,-257,24
1729589889.6530514,RIGHT_LEG,15224,-2960,6924,-397,-545,-289,25
1729589889.6974068,RIGHT_LEG,15240,-2684,6708,-407,-521,-284,26
1729589889.742363,RIGHT_LEG,15420,-2992,6544,-237,-383,-105,27
1729589889.7430472,RIGHT_LEG,15124,-2620,7020,-137,-313,2,28
1729589889.787839,RIGHT_LEG,15044,-2576,6756,-321,-284,75,29
1729589889.833781,RIGHT_LEG,15348,-2504,6400,-327,-119,200,30
1729589889.8347173,RIGHT_LEG,15240,-2740,6764,-367,3,232,31
1729589889.8774972,RIGHT_LEG,14992,-2664,6860,-478,-49,228,32
1729589889.9236643,RIGHT_LEG,15216,-2640,6720,-545,-32,303,33
1729589889.96785,RIGHT_LEG,15268,-3044,6904,-474,-80,330,34
1729589889.968504,RIGHT_LEG,14988,-2852,6960,-441,-81,350,35
1729589890.0577457,RIGHT_LEG,15040,-2760,6824,-455,-116,349,36
1729589890.101669,RIGHT_LEG,15176,-2908,6720,-548,-70,314,37
1729589890.1032217,RIGHT_LEG,15340,-2868,6652,-528,-37,316,38
1729589890.147467,RIGHT_LEG,15056,-3052,6904,-403,25,344,39
1729589890.193302,RIGHT_LEG,15060,-2908,7104,-538,2,321,40
1729589890.1937072,RIGHT_LEG,15076,-3192,7092,-530,-136,238,41
1729589890.237605,RIGHT_LEG,15068,-3156,7048,-505,-264,146,42
1729589890.239389,RIGHT_LEG,14868,-3088,7112,-401,-361,13,43
1729589890.2821233,RIGHT_LEG,15196,-3088,6900,-361,-428,-94,44
1729589890.3273807,RIGHT_LEG,15176,-3228,6788,-397,-491,-177,45
1729589890.372458,RIGHT_LEG,15016,-3100,7000,-383,-595,-306,46
1729589890.3732138,RIGHT_LEG,15108,-3084,6860,-368,-680,-405,47
1729589890.4173884,RIGHT_LEG,15112,-3032,6920,-337,-770,-517,48
1729589890.4624207,RIGHT_LEG,15348,-3036,6948,-316,-831,-592,49
1729589890.4631457,RIGHT_LEG,15244,-2912,6808,-261,-925,-620,50
1729589890.5074532,RIGHT_LEG,15200,-2868,6740,-227,-985,-633,51
1729589890.5523837,RIGHT_LEG,15312,-2600,6608,-225,-1000,-582,52
1729589890.5531104,RIGHT_LEG,15276,-2584,6464,-186,-857,-464,53
1729589890.6424,RIGHT_LEG,15416,-2564,6496,-188,-721,-384,54
