time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448173.3240526,RIGHT_HAND,1240,14304,1576,-1962,7335,1810,250
1730448173.4137259,RIGHT_HAND,-32,15188,2032,-1556,-1472,1461,252
1730448173.502952,RIGHT_HAND,-3048,16080,2536,-1668,-4870,-637,254
1730448173.5490234,RIGHT_HAND,-2376,19428,4432,-2010,-4050,-1896,1
1730448173.68329,RIGHT_HAND,-2648,20076,4508,-370,-7599,-2325,3
1730448173.7729197,RIGHT_HAND,-3284,15448,2060,27,-4443,-2180,5
1730448173.7737777,RIGHT_HAND,-3280,14268,1452,54,-523,-1761,6
1730448173.774748,RIGHT_HAND,-2596,14776,2172,-1628,3372,-703,7
1730448173.8179617,RIGHT_HAND,-1364,17068,4124,-2040,4259,-403,8
1730448173.818684,RIGHT_HAND,-308,17684,6084,872,1181,-1766,9
1730448173.8194156,RIGHT_HAND,-76,16744,6280,2104,-4077,-3655,10
1730448173.8626728,RIGHT_HAND,-1036,16460,5652,969,-7943,-4695,11
1730448173.9086602,RIGHT_HAND,-2412,16488,4832,1018,-7197,-4517,12
1730448173.9094892,RIGHT_HAND,-2648,15664,4364,1088,-3441,-3872,13
1730448173.9529746,RIGHT_HAND,-2168,14904,4048,442,-722,-2712,14
1730448173.9979775,RIGHT_HAND,-1844,14832,4236,-15,225,-1381,15
1730448173.9987128,RIGHT_HAND,-1536,14480,4140,234,325,-213,16
1730448174.0432324,RIGHT_HAND,-1360,14308,4184,-378,-1058,1030,17
1730448174.08788,RIGHT_HAND,-1584,15096,4424,-1109,-3308,1658,18
1730448174.088564,RIGHT_HAND,-1564,16280,4752,-205,-6314,1794,19
1730448174.1329892,RIGHT_HAND,-2072,16324,5032,1624,-8960,1538,20
1730448174.2231755,RIGHT_HAND,-2504,16296,5160,2178,-10719,1275,21
1730448174.2678957,RIGHT_HAND,-2872,16600,4936,2574,-11513,1104,22
1730448174.268575,RIGHT_HAND,-2948,16512,4372,2947,-11413,1056,23
1730448174.2692459,RIGHT_HAND,-2488,16880,4184,3347,-11264,1088,24
1730448174.3138828,RIGHT_HAND,-2028,17140,3952,4468,-12014,1239,25
