time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730448282.6270518,RIGHT_LEG,15424,6416,6648,-4008,-2829,-5010,222
1730448282.7153895,RIGHT_LEG,13764,9312,3536,-3169,-1908,-3701,224
1730448282.7611563,RIGHT_LEG,14780,7868,2356,-5006,-764,-3811,226
1730448282.8070087,RIGHT_LEG,14576,7696,3884,-3296,854,-3041,228
1730448282.8954823,RIGHT_LEG,13640,8800,4768,-3182,1064,-2989,230
1730448282.9402242,RIGHT_LEG,13612,7996,5904,-2111,1512,-2782,231
1730448282.941076,RIGHT_LEG,13460,8136,4744,-2421,1336,-2873,232
1730448282.9852107,RIGHT_LEG,12932,8524,5040,-1230,2081,-2784,233
1730448283.0302112,RIGHT_LEG,13288,7528,4788,-2009,2016,-3417,234
1730448283.031138,RIGHT_LEG,13780,9124,5348,-1844,2945,-3463,235
1730448283.0765288,RIGHT_LEG,13508,8024,6444,-2480,2894,-3972,236
1730448283.1202366,RIGHT_LEG,12972,8748,5792,-3858,3039,-4384,237
1730448283.121194,RIGHT_LEG,14244,9956,5416,-3052,4617,-4124,238
1730448283.1649342,RIGHT_LEG,15208,7048,5504,-5487,4994,-5606,239
1730448283.210463,RIGHT_LEG,14548,7836,5592,-6400,7370,-6595,240
1730448283.21144,RIGHT_LEG,15880,6152,6560,-6951,10066,-7600,241
1730448283.2550035,RIGHT_LEG,18836,8564,6872,-9387,12777,-8193,242
1730448283.299859,RIGHT_LEG,27556,5676,5488,-8458,16040,-8927,243
1730448283.3004405,RIGHT_LEG,27420,3856,6528,-5465,15611,-10131,244
1730448283.3461444,RIGHT_LEG,11068,10264,6988,-5650,21973,-9414,245
1730448283.391228,RIGHT_LEG,17656,27688,17008,5322,24361,-9453,246
1730448283.3920076,RIGHT_LEG,13548,16608,8304,16715,22729,-5552,247
1730448283.4351983,RIGHT_LEG,7716,572,4904,11191,15774,-1861,248
1730448283.5261753,RIGHT_LEG,7004,7420,3808,-1460,3346,-201,249
1730448283.5272763,RIGHT_LEG,5764,5004,792,367,-2703,6060,250
1730448283.5699072,RIGHT_LEG,3056,7540,3288,-717,-8023,12367,251
1730448283.5707633,RIGHT_LEG,5192,8728,3444,1615,-12800,18103,252
1730448283.6157835,RIGHT_LEG,6140,6920,3388,7145,-17420,24124,253
1730448283.6163,RIGHT_LEG,8920,9488,3600,1989,-20824,27932,254
1730448283.6635354,RIGHT_LEG,12764,11168,10216,-596,-28844,28242,255
1730448283.7508135,RIGHT_LEG,15400,16048,9892,2142,-30418,28719,1
1730448283.7513287,RIGHT_LEG,18012,18268,14340,4631,-32670,27166,2
1730448283.796057,RIGHT_LEG,16836,14292,12264,8728,-31147,24279,3
1730448283.841206,RIGHT_LEG,15976,9240,12812,1399,-30024,20935,4
1730448283.841945,RIGHT_LEG,11216,16392,13308,-2699,-24346,15354,5
1730448283.8426661,RIGHT_LEG,6456,12668,12600,735,-14276,2749,6
1730448283.8861957,RIGHT_LEG,3776,9976,13940,-739,2353,-3764,7
1730448283.8869627,RIGHT_LEG,7280,10572,16588,3958,14260,-9238,8
1730448283.9312115,RIGHT_LEG,32767,-13520,-9040,17626,15313,913,9
1730448283.976248,RIGHT_LEG,16124,18360,8612,-1808,13771,-12005,10
1730448284.065043,RIGHT_LEG,12160,12304,9264,7078,13154,-10334,11
1730448284.0684004,RIGHT_LEG,8672,9624,7988,5393,9482,-7827,12
1730448284.0691538,RIGHT_LEG,19872,4104,7824,-1683,6626,-7298,13
1730448284.1100593,RIGHT_LEG,14052,8012,6468,-4970,1976,-8172,14
