time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729573564.5925524,RIGHT_HAND,5932,-15696,2920,-554,1746,-772,133
1729573564.6806824,RIGHT_HAND,8196,-16136,2644,-1364,3863,-2425,135
1729573564.7699835,RIGHT_HAND,9508,-15284,840,-7872,816,-8869,137
1729573564.77259,RIGHT_HAND,12748,-15232,896,-9410,7424,-18988,139
1729573564.8617146,RIGHT_HAND,21488,-17216,4200,-21100,-8905,-27367,141
1729573564.9055653,RIGHT_HAND,23188,-11168,-4980,-23364,-18079,-25258,143
1729573564.9517155,RIGHT_HAND,20372,-9484,-4120,-20005,-22043,-24401,144
1729573564.9525645,RIGHT_HAND,16488,-8008,-2728,-13708,-28440,-24574,145
1729573564.9955451,RIGHT_HAND,14528,-6528,-1292,-13818,-32203,-24065,146
1729573565.0404453,RIGHT_HAND,10172,-4008,140,-16807,-32768,-21438,147
1729573565.041281,RIGHT_HAND,4960,-1508,-4184,-18413,-32768,-17960,148
1729573565.0857115,RIGHT_HAND,640,428,-300,-19556,-32768,-16479,149
1729573565.2203953,RIGHT_HAND,-6136,2420,-4748,-23161,-32768,-11623,150
1729573565.2212396,RIGHT_HAND,-7276,5100,-2900,-12708,-17623,-10898,151
1729573565.2222826,RIGHT_HAND,-1568,7680,5116,-664,9876,-10369,152
1729573565.2233677,RIGHT_HAND,-2456,5032,-7164,7610,7238,-6757,153
1729573565.2665505,RIGHT_HAND,1384,3656,1804,12012,5833,-2322,154
1729573565.2673922,RIGHT_HAND,-1360,6384,5284,16209,-3182,1258,155
1729573565.3105438,RIGHT_HAND,-2980,7512,-11520,32767,-721,6650,156
1729573565.3567047,RIGHT_HAND,-1168,-2128,-23616,32767,25865,12278,157
1729573565.3575482,RIGHT_HAND,-5692,2812,18668,32767,-5173,15849,158
1729573565.4007115,RIGHT_HAND,11304,-32768,3192,32767,18764,5528,159
1729573565.4456723,RIGHT_HAND,-1368,-32768,-32768,32767,32767,-11850,160
1729573565.446513,RIGHT_HAND,19444,-32768,3540,-17844,22153,914,161
1729573565.4905906,RIGHT_HAND,5744,-22584,-10044,-22913,9516,-7993,162
1729573565.5367227,RIGHT_HAND,12076,-7760,-2468,-10247,7473,-2283,163
1729573565.5375643,RIGHT_HAND,6516,-8148,-7712,4364,-6882,758,164
1729573565.5807488,RIGHT_HAND,3636,-14308,-5516,16670,-11209,4154,165
1729573565.6703842,RIGHT_HAND,-684,-20512,4636,11281,-2948,6027,166
1729573565.6712205,RIGHT_HAND,252,-18624,1416,3127,7764,6739,167
1729573565.716507,RIGHT_HAND,824,-16964,-380,5307,14873,5928,168
1729573565.717321,RIGHT_HAND,1232,-19188,-1104,13233,22095,4056,169
1729573565.7181003,RIGHT_HAND,5772,-23848,-3880,15507,32767,2765,170
1729573565.760515,RIGHT_HAND,12136,-28444,-3020,16000,32767,726,171
1729573565.806707,RIGHT_HAND,11708,-32284,4456,7884,25694,-5964,172
1729573565.807544,RIGHT_HAND,20624,-30532,5416,-6901,19635,-17339,173
1729573565.8957374,RIGHT_HAND,24300,-28844,5188,-18795,11939,-25078,174
1729573565.9417243,RIGHT_HAND,24192,-28760,376,-29182,-165,-31043,175
1729573565.9425657,RIGHT_HAND,22680,-20696,-9072,-32768,-8139,-32768,176
1729573566.0304904,RIGHT_HAND,22764,-12204,-14456,-32768,686,-32768,177
1729573566.0323834,RIGHT_HAND,27128,-8764,-13484,-32768,-2432,-32768,178
1729573566.1205564,RIGHT_HAND,22344,-10972,-8120,-32768,-16392,-32768,179
1729573566.1223567,RIGHT_HAND,16588,-11376,-3336,-32189,-31602,-32768,180
1729573566.1231155,RIGHT_HAND,13280,-8764,-3784,-32768,-32768,-32768,181
1729573566.1238682,RIGHT_HAND,9236,-8212,-1060,-32768,-32768,-32768,182
1729573566.166765,RIGHT_HAND,6616,-6740,4140,-32768,-32768,-32768,183
1729573566.2105246,RIGHT_HAND,1816,504,4120,-32768,-32768,-32166,184
1729573566.2567227,RIGHT_HAND,-464,4044,1204,-32768,-32768,-26711,185
1729573566.2575598,RIGHT_HAND,2388,9792,7780,-32768,-32768,-22791,186
1729573566.3455017,RIGHT_HAND,4688,8704,9056,-32768,-29585,-18954,187
1729573566.3473504,RIGHT_HAND,-3940,7216,5948,-32768,-8669,-19953,188
1729573566.3481445,RIGHT_HAND,-1060,7472,12400,-28837,-16636,-16887,189
1729573566.390719,RIGHT_HAND,-5684,7780,14304,-25798,-17958,-12469,190
1729573566.4367008,RIGHT_HAND,-7808,8084,15272,-20180,-19520,-7526,191
1729573566.437547,RIGHT_HAND,-6976,8000,15920,-16754,-17592,-3271,192
1729573566.4805434,RIGHT_HAND,-8936,7548,26024,-11297,-2823,2775,193
1729573566.5704787,RIGHT_HAND,-8484,9452,27364,-3313,1955,6174,194
1729573566.571328,RIGHT_HAND,-8140,9736,32767,11475,3962,11036,195
1729573566.5724592,RIGHT_HAND,-10680,12288,32767,32767,1669,16619,196
1729573566.5733905,RIGHT_HAND,-9020,5236,27764,32767,18821,18875,197
1729573566.6167555,RIGHT_HAND,-3100,-836,3228,32767,32447,17192,198
1729573566.6605318,RIGHT_HAND,6204,-3312,13960,32767,32767,18610,199
1729573566.7074099,RIGHT_HAND,11668,-17224,32767,32767,9328,13265,200
1729573566.707644,RIGHT_HAND,9012,-32768,14960,32767,-23118,22070,201
1729573566.7499008,RIGHT_HAND,-8168,-32768,7048,26267,-14524,21234,202
1729573566.7963266,RIGHT_HAND,-3700,-11576,-14152,-26364,3272,23859,203
1729573566.7968318,RIGHT_HAND,5432,16056,-64,-32768,655,-1677,204
1729573566.8416493,RIGHT_HAND,-7160,5460,-23772,-27419,-32768,-4321,205
1729573566.8855586,RIGHT_HAND,-12188,13084,-18668,-6802,-3323,-2869,206
1729573566.9306123,RIGHT_HAND,-12400,12420,-14752,6910,10309,-7569,207
1729573566.9314551,RIGHT_HAND,-7000,3040,-27788,7253,5796,-6038,208
1729573567.0205026,RIGHT_HAND,-6744,-1972,-13344,2951,13524,-7405,209
1729573567.0223532,RIGHT_HAND,-2796,2028,-9736,-7308,12032,-5468,210
1729573567.023147,RIGHT_HAND,-1520,2416,-7836,-12421,2857,-4078,211
1729573567.0657072,RIGHT_HAND,-2348,636,-7636,-10371,3782,-4716,212
1729573567.1117318,RIGHT_HAND,-1024,-640,-3812,-7884,6326,-10050,213
1729573567.1125677,RIGHT_HAND,-1176,4,-2444,-7289,4657,-9951,214
1729573567.2005064,RIGHT_HAND,-1492,-2940,-4632,-4959,7545,-10465,215
1729573567.2023485,RIGHT_HAND,-792,240,-6660,-3518,13068,-11089,216
1729573567.2031436,RIGHT_HAND,1192,4068,-4952,-2965,17440,-7486,217
