time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729573653.1726494,RIGHT_LEG,15500,2660,3128,173,3600,442,230
1729573653.2636926,RIGHT_LEG,15780,2044,2420,-566,7288,-129,232
1729573653.3113863,RIGHT_LEG,13600,3388,6224,924,9484,289,234
1729573653.353617,RIGHT_LEG,15528,1668,6768,-1334,8660,-143,236
1729573653.3985488,RIGHT_LEG,14348,1432,10768,458,8261,1904,238
1729573653.4884942,RIGHT_LEG,13328,1276,10564,-1713,6525,710,239
1729573653.489355,RIGHT_LEG,13296,1380,10404,-1753,5122,384,240
1729573653.533864,RIGHT_LEG,12532,1224,11408,-855,4410,172,241
1729573653.5347614,RIGHT_LEG,12848,2024,10676,-1046,3652,67,242
1729573653.5356424,RIGHT_LEG,12464,1652,10696,-789,2886,122,243
1729573653.5786932,RIGHT_LEG,12544,1584,10420,-471,2506,211,244
1729573653.6236157,RIGHT_LEG,12620,1408,11176,-145,2190,-40,245
1729573653.6245515,RIGHT_LEG,12668,1112,10568,161,2078,-263,246
1729573653.713704,RIGHT_LEG,12616,1220,10408,608,2155,-523,247
1729573653.758844,RIGHT_LEG,12492,1904,10500,655,2072,-493,248
1729573653.759746,RIGHT_LEG,12588,2280,10860,566,1892,-192,249
1729573653.7606256,RIGHT_LEG,12108,2228,10748,285,1699,37,250
1729573653.80261,RIGHT_LEG,12400,2068,10704,121,1517,168,251
1729573653.8488529,RIGHT_LEG,12020,1896,10904,284,1622,364,252
1729573653.8499212,RIGHT_LEG,12040,1800,11232,187,1468,456,253
1729573653.9386756,RIGHT_LEG,11876,1556,11224,122,1534,461,254
1729573653.9838464,RIGHT_LEG,11772,1268,11212,-60,1505,269,255
1729573653.984746,RIGHT_LEG,11764,1812,11580,38,1466,261,1
1729573653.9856262,RIGHT_LEG,11852,1896,11568,-74,1371,317,2
1729573654.028865,RIGHT_LEG,11444,1652,11596,-143,1221,449,3
1729573654.0298042,RIGHT_LEG,11340,1732,11568,-127,1085,559,4
1729573654.0736618,RIGHT_LEG,11444,1284,12196,-111,761,527,5
1729573654.1636658,RIGHT_LEG,11448,1332,11992,29,377,480,6
1729573654.1648219,RIGHT_LEG,11348,1040,12552,377,-79,435,7
1729573654.208583,RIGHT_LEG,11232,996,12324,613,-808,194,8
1729573654.209485,RIGHT_LEG,11328,1136,12700,995,-1630,143,9
1729573654.210364,RIGHT_LEG,11292,1060,12544,1286,-2611,10,10
1729573654.2539003,RIGHT_LEG,11592,1140,12648,1600,-3607,-136,11
1729573654.2988884,RIGHT_LEG,11552,1100,12376,1874,-4564,-303,12
1729573654.2999575,RIGHT_LEG,11784,1364,11976,2239,-5341,-572,13
