time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729574504.1207502,RIGHT_HAND,784,15416,6084,-239,-5398,-716,95
1729574504.3006787,RIGHT_HAND,1964,15080,6920,722,-8766,-1143,97
1729574504.3445168,RIGHT_HAND,2904,14448,6240,513,-12735,-1079,99
1729574504.3465612,RIGHT_HAND,3984,15588,5904,64,-18261,-1419,101
1729574504.390511,RIGHT_HAND,3116,15696,5572,2156,-26050,-2891,103
1729574504.6146784,RIGHT_HAND,728,13940,6752,8259,-30746,-6655,105
1729574504.6158369,RIGHT_HAND,-1260,11256,5640,10523,-29879,-7099,106
1729574504.6177537,RIGHT_HAND,-1360,9016,5024,9526,-28896,-7111,107
1729574504.6193535,RIGHT_HAND,-1528,9780,7708,7232,-31294,-6042,108
1729574504.6205509,RIGHT_HAND,-3580,11864,11104,6178,-32768,-6237,109
1729574504.6595707,RIGHT_HAND,-4880,12024,13488,10017,-32768,-9679,110
1729574504.662452,RIGHT_HAND,-4524,8468,14080,15100,-26645,-13021,111
1729574504.6638186,RIGHT_HAND,-4388,5512,13764,13404,-23249,-13299,112
1729574504.7494001,RIGHT_HAND,-4784,6260,14868,3295,-19762,-9863,113
1729574504.7943733,RIGHT_HAND,-4448,7252,19172,-7929,-17000,-4465,114
1729574504.7976573,RIGHT_HAND,-4400,11044,21984,-12803,-11069,-1430,115
1729574504.7988856,RIGHT_HAND,-4592,10620,22392,-16285,-8371,270,116
1729574504.8396168,RIGHT_HAND,-3188,11292,25264,-23695,-10463,1024,117
1729574504.885417,RIGHT_HAND,-2732,17004,27576,-32768,-13524,4292,118
1729574504.8863935,RIGHT_HAND,-2656,22148,32767,-32768,-14915,6644,119
1729574504.9743762,RIGHT_HAND,-1588,26248,32767,-32768,-13665,5636,120
1729574505.0199552,RIGHT_HAND,-2992,28544,32767,-32768,-13148,3700,121
1729574505.020736,RIGHT_HAND,-4924,29848,32767,-32768,-11947,5351,122
1729574505.0215268,RIGHT_HAND,-5544,31440,31260,-32768,-9611,8483,123
1729574505.0645475,RIGHT_HAND,-4408,31232,28888,-32768,-1885,11410,124
1729574505.0655262,RIGHT_HAND,-4148,30336,23912,-32768,8032,9656,125
1729574505.1096828,RIGHT_HAND,-2732,26320,18380,-18776,15027,6749,126
1729574505.2006373,RIGHT_HAND,-2508,23204,11180,-9466,15608,6040,127
1729574505.201684,RIGHT_HAND,-4340,19152,4192,-3938,17416,8703,128
1729574505.2458348,RIGHT_HAND,-4644,14616,1976,52,19727,12088,129
1729574505.246878,RIGHT_HAND,-3540,12560,4744,2078,25337,16479,130
