time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729574422.379422,RIGHT_LEG,15924,2492,3836,-67,-1482,1663,229
1729574422.467712,RIGHT_LEG,16036,2024,3096,-880,1468,1901,231
1729574422.5574481,RIGHT_LEG,15752,1324,4924,-1279,2923,2105,233
1729574422.603702,RIGHT_LEG,16524,2608,6768,-7804,5188,-516,235
1729574422.647418,RIGHT_LEG,4900,14872,27064,-32768,10868,-17797,237
1729574422.6484437,RIGHT_LEG,7100,8116,32044,-32768,22572,-15302,238
1729574422.7825341,RIGHT_LEG,5484,1668,28472,-15451,32767,-9259,239
1729574422.784356,RIGHT_LEG,-180,9740,20108,-2903,32767,-8845,240
1729574422.7852964,RIGHT_LEG,4400,10432,15524,-2676,32767,-13355,241
1729574422.7862492,RIGHT_LEG,560,5608,11712,2989,32767,-17216,242
1729574422.8277307,RIGHT_LEG,3388,4896,11572,3636,30199,-19522,243
1729574422.8726647,RIGHT_LEG,3056,5864,9424,6923,24323,-20125,244
1729574422.8736627,RIGHT_LEG,4908,7020,8720,10036,16741,-18910,245
1729574422.9177456,RIGHT_LEG,5644,7672,8888,10830,7849,-17162,246
1729574423.0074258,RIGHT_LEG,5828,5728,14224,11371,284,-14597,247
1729574423.008353,RIGHT_LEG,9148,5660,10808,974,-7803,-15576,248
1729574423.0526974,RIGHT_LEG,12344,6724,10508,-1608,-12908,-12200,249
1729574423.0535707,RIGHT_LEG,16360,1404,8836,-5403,-16563,-8619,250
1729574423.054497,RIGHT_LEG,18976,10300,32767,-11615,-1126,-8145,251
1729574423.09775,RIGHT_LEG,9604,2164,-11212,929,-1356,1010,252
1729574423.1427186,RIGHT_LEG,15988,13904,12800,6093,-9220,380,253
1729574423.1436477,RIGHT_LEG,22440,6396,16012,9728,-1893,3777,254
1729574423.2324746,RIGHT_LEG,15300,5644,24820,3421,-999,847,255
1729574423.2776544,RIGHT_LEG,13716,5896,16940,-1552,-1577,-1125,1
1729574423.2785485,RIGHT_LEG,14472,5860,15496,-1029,-1052,-974,2
1729574423.2794821,RIGHT_LEG,15336,2828,16604,-1134,-125,-972,3
1729574423.3677216,RIGHT_LEG,16660,3888,16440,-3408,1003,-2157,4
1729574423.3686469,RIGHT_LEG,16728,5540,14276,-945,3094,329,5
1729574423.502528,RIGHT_LEG,13424,5008,13128,-1848,4022,1648,6
1729574423.5035121,RIGHT_LEG,9700,2876,8860,2031,-611,3094,7
1729574423.5043976,RIGHT_LEG,2500,3656,22060,-4713,1455,2376,8
1729574423.5048335,RIGHT_LEG,9968,5328,13240,-2516,-1410,3879,9
1729574423.505043,RIGHT_LEG,8000,948,8948,-5137,-4895,7075,10
1729574423.5471916,RIGHT_LEG,8080,2112,14492,-12636,-7982,7536,11
1729574423.5927455,RIGHT_LEG,5580,4876,14544,-8044,-8976,11818,12
1729574423.6824596,RIGHT_LEG,5720,3472,12736,-1472,-11445,16379,13
1729574423.7284665,RIGHT_LEG,5436,4596,11984,1801,-14802,19480,14
1729574423.7293756,RIGHT_LEG,5152,5728,11772,2596,-18323,19495,15
1729574423.7303047,RIGHT_LEG,6156,4924,11592,4808,-21606,18668,16
1729574423.7727227,RIGHT_LEG,6264,4492,12764,5720,-24914,17299,17
1729574423.7737362,RIGHT_LEG,6224,5208,13864,8532,-27167,16367,18
1729574423.9975736,RIGHT_LEG,7092,7792,16112,12266,-27309,16094,19
1729574423.9993649,RIGHT_LEG,9940,7632,17856,16452,-25304,15684,20
