time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729575103.1027331,RIGHT_HAND,-100,18312,1216,-2668,-3764,-1256,79
1729575103.1937706,RIGHT_HAND,-1344,22648,-1384,3117,-9464,-4608,81
1729575103.2826514,RIGHT_HAND,-6724,27808,-8940,5821,-6471,-4420,83
1729575103.2842212,RIGHT_HAND,-5308,32767,-5828,18479,-474,-5245,85
1729575103.3726842,RIGHT_HAND,-5552,32767,-2592,28102,3041,-7872,87
1729575103.417687,RIGHT_HAND,-1644,32767,1944,32767,-1210,-13054,89
1729575103.4626682,RIGHT_HAND,-2844,32000,2408,32767,-4474,-14577,90
1729575103.4636986,RIGHT_HAND,-3488,28840,4344,32767,-3662,-16348,91
1729575103.5077393,RIGHT_HAND,-4132,24080,5376,32767,357,-16619,92
1729575103.5524316,RIGHT_HAND,-3564,20404,5252,32767,2981,-15555,93
1729575103.5534585,RIGHT_HAND,-680,11584,6800,32767,4700,-13315,94
1729575103.5976865,RIGHT_HAND,852,9184,6768,32623,3509,-13323,95
1729575103.642693,RIGHT_HAND,2404,4368,7072,30270,1060,-13609,96
1729575103.643716,RIGHT_HAND,1724,592,6212,29183,-2863,-14510,97
1729575103.7325609,RIGHT_HAND,280,-3108,7000,26829,-1983,-14466,98
1729575103.7763608,RIGHT_HAND,448,-3544,5236,21349,1090,-13517,99
1729575103.7771335,RIGHT_HAND,684,-9848,8524,25275,-3479,-14840,100
1729575103.7779129,RIGHT_HAND,2032,-10308,3064,22543,929,-13406,101
1729575103.822678,RIGHT_HAND,-8,-9612,4376,1747,6970,-6483,102
1729575103.8237073,RIGHT_HAND,2732,-9284,3276,-12429,2590,-1726,103
1729575103.8677232,RIGHT_HAND,1932,-7424,2924,-21317,-1849,2677,104
1729575103.9127648,RIGHT_HAND,212,-4352,2112,-26306,-7056,6024,105
1729575103.9576457,RIGHT_HAND,-1280,-1176,808,-28906,-6348,8648,106
1729575103.9586785,RIGHT_HAND,-1832,704,408,-30878,-10746,10941,107
1729575104.0027485,RIGHT_HAND,-5740,2952,-4756,-32768,-1452,16110,108
1729575104.0476363,RIGHT_HAND,-9744,6872,-6880,-32768,-1343,22938,109
1729575104.0486536,RIGHT_HAND,-3888,13420,-4492,-32768,-4606,21672,110
1729575104.0927525,RIGHT_HAND,232,12908,2428,-32768,-10933,23166,111
1729575104.1377316,RIGHT_HAND,-2084,24592,2532,-32768,-9327,16886,112
1729575104.2274818,RIGHT_HAND,-6316,24208,-1824,-20170,-7701,11955,113
1729575104.2285023,RIGHT_HAND,-9376,23472,-5124,-21823,-6648,13304,114
1729575104.271442,RIGHT_HAND,-7620,25012,-1988,-25998,-7175,15065,115
1729575104.2722332,RIGHT_HAND,-5560,26644,-984,-21334,-5231,10962,116
1729575104.2729936,RIGHT_HAND,-7604,27760,-4352,-18552,-8472,9478,117
1729575104.3177009,RIGHT_HAND,-8016,26972,-2808,-21334,-7981,10358,118
1729575104.318726,RIGHT_HAND,-5564,27732,728,-18698,-6846,8420,119
1729575104.3614163,RIGHT_HAND,-7412,26172,-1096,-14165,-4094,5535,120
