time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729575148.1724794,RIGHT_LEG,15896,2064,4500,299,-195,-81,8
1729575148.2596605,RIGHT_LEG,15840,2076,4312,293,-178,-142,10
1729575148.350646,RIGHT_LEG,15840,2164,4528,229,-254,-119,12
1729575148.3958898,RIGHT_LEG,15860,2296,4492,46,-411,-75,14
1729575148.4848504,RIGHT_LEG,15932,2264,4436,-136,-572,4,16
1729575148.5736709,RIGHT_LEG,15768,2128,4124,32,-546,117,17
1729575148.5739799,RIGHT_LEG,15932,2100,4448,-131,-616,138,18
1729575148.6198778,RIGHT_LEG,15872,2216,4352,-53,-580,232,19
1729575148.620896,RIGHT_LEG,15904,2112,4264,119,-500,317,20
1729575148.6217515,RIGHT_LEG,15928,1944,4224,142,-522,345,21
1729575148.6643941,RIGHT_LEG,15984,1876,4056,159,-417,323,22
1729575148.709817,RIGHT_LEG,15956,1948,4032,206,-324,299,23
1729575148.7108939,RIGHT_LEG,15908,1672,4188,343,-176,168,24
1729575148.799594,RIGHT_LEG,15988,1928,4004,508,-63,238,25
1729575148.8447397,RIGHT_LEG,15888,1780,4276,400,-6,105,26
1729575148.8458886,RIGHT_LEG,15912,1748,4396,455,-31,-15,27
1729575148.846948,RIGHT_LEG,15940,1672,4292,484,-77,-71,28
1729575148.934531,RIGHT_LEG,15984,1744,4464,411,-138,-182,29
1729575148.9356303,RIGHT_LEG,15996,1812,4284,360,-180,-234,30
1729575149.0245352,RIGHT_LEG,15804,1776,4108,338,-215,-326,31
1729575149.0255241,RIGHT_LEG,15764,1896,4244,310,-227,-348,32
1729575149.0267286,RIGHT_LEG,15864,1944,4100,176,-257,-371,33
1729575149.069825,RIGHT_LEG,15868,1956,4196,190,-252,-399,34
1729575149.0708804,RIGHT_LEG,15904,1992,4116,295,-238,-317,35
1729575149.0719128,RIGHT_LEG,15932,2096,4024,374,-169,-251,36
1729575149.1147358,RIGHT_LEG,15948,2204,4048,429,-78,-212,37
1729575149.1596375,RIGHT_LEG,15896,2140,4172,459,-19,-165,38
1729575149.2496924,RIGHT_LEG,15776,2180,4240,439,35,-193,39
1729575149.250799,RIGHT_LEG,15868,2048,4212,494,36,-153,40
1729575149.294555,RIGHT_LEG,15896,2068,4236,370,-19,-172,41
1729575149.2955453,RIGHT_LEG,15856,2200,4120,427,-11,-161,42
1729575149.2964823,RIGHT_LEG,15820,2172,4284,501,30,-136,43
1729575149.3408692,RIGHT_LEG,15832,2248,4368,422,-36,-108,44
1729575149.3848417,RIGHT_LEG,15788,2120,4488,405,-133,-93,45
1729575149.3859622,RIGHT_LEG,15948,2000,4232,303,-272,-106,46
1729575149.474592,RIGHT_LEG,15980,2076,4220,398,-254,-131,47
1729575149.5198493,RIGHT_LEG,15748,2296,3992,506,-152,-68,48
1729575149.520902,RIGHT_LEG,15920,2228,4128,428,-87,-21,49
1729575149.5218792,RIGHT_LEG,15776,2368,3824,181,-58,-64,50
1729575149.5646288,RIGHT_LEG,15772,2204,4180,329,31,38,51
1729575149.5656512,RIGHT_LEG,15832,2196,4396,176,5,-6,52
1729575149.611745,RIGHT_LEG,15800,2176,4380,262,32,25,53
1729575149.6993856,RIGHT_LEG,15720,2144,4152,260,29,48,54
1729575149.7003305,RIGHT_LEG,15892,2168,4144,138,51,10,55
1729575149.7446663,RIGHT_LEG,15808,2060,4252,230,94,68,56
1729575149.7455995,RIGHT_LEG,15768,2096,4392,255,104,88,57
1729575149.7465131,RIGHT_LEG,15920,2264,4520,13,-2,57,58
1729575149.789448,RIGHT_LEG,16200,2248,5040,-125,-185,103,59
1729575149.834782,RIGHT_LEG,15772,1980,4200,55,-184,228,60
1729575149.9245265,RIGHT_LEG,15980,1680,4736,-97,-287,-61,61
1729575149.9255822,RIGHT_LEG,15748,2196,4396,-50,-388,-27,62
1729575149.9696746,RIGHT_LEG,15816,1932,4080,-61,-337,-16,63
1729575149.9705715,RIGHT_LEG,15952,2068,3820,99,-138,-15,64
1729575149.971415,RIGHT_LEG,15904,1900,4228,353,58,-23,65
1729575150.0146523,RIGHT_LEG,15764,2088,4228,443,101,-88,66
1729575150.0596495,RIGHT_LEG,15788,2092,4252,421,116,-85,67
1729575150.060619,RIGHT_LEG,15816,2136,4424,351,88,-32,68
1729575150.1494255,RIGHT_LEG,15908,2152,4428,207,55,-62,69
1729575150.1946592,RIGHT_LEG,15804,2056,4444,215,88,-24,70
1729575150.195552,RIGHT_LEG,15744,2000,4412,287,75,0,71
1729575150.1963947,RIGHT_LEG,15928,2060,4504,343,42,4,72
1729575150.2396739,RIGHT_LEG,15800,1996,4612,243,-37,-70,73
1729575150.2406242,RIGHT_LEG,15844,2080,4480,213,-102,-70,74
1729575150.284102,RIGHT_LEG,15792,1952,4568,220,-184,-20,75
1729575150.374395,RIGHT_LEG,15864,2008,4492,211,-220,-38,76
1729575150.3753402,RIGHT_LEG,15836,1944,4400,303,-211,-44,77
1729575150.4206984,RIGHT_LEG,15804,2008,4504,368,-194,-27,78
1729575150.421594,RIGHT_LEG,15800,2092,4300,322,-201,-53,79
1729575150.4224386,RIGHT_LEG,15796,2052,4536,299,-197,-47,80
1729575150.4644892,RIGHT_LEG,15788,2068,4332,275,-209,-40,81
1729575150.509815,RIGHT_LEG,15760,2172,4416,251,-293,-51,82
1729575150.5994887,RIGHT_LEG,15808,2092,4416,230,-349,-77,83
1729575150.6004589,RIGHT_LEG,15828,2124,4284,249,-344,-67,84
1729575150.6446903,RIGHT_LEG,15876,2064,4444,264,-347,-65,85
