time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576275.7259042,RIGHT_HAND,-1268,16312,4684,-773,222,-35,140
1729576275.7708995,RIGHT_HAND,-4016,17940,2092,3090,341,-3023,142
1729576275.861802,RIGHT_HAND,-11936,22612,-2236,2951,1913,-6577,144
1729576275.9058824,RIGHT_HAND,-10752,29596,-1656,10021,11768,-17691,146
1729576275.9507499,RIGHT_HAND,-14040,29924,-3292,19723,9306,-27009,148
1729576275.9955432,RIGHT_HAND,-18960,28752,-2028,26297,14330,-32768,150
1729576275.996415,RIGHT_HAND,-19452,26824,-748,28325,18821,-32768,151
1729576276.0868492,RIGHT_HAND,-19448,24976,220,30515,22539,-32768,152
1729576276.0879986,RIGHT_HAND,-18168,20328,748,29226,25285,-32768,153
1729576276.1317928,RIGHT_HAND,-17872,17868,-372,29393,26806,-32768,154
1729576276.1328504,RIGHT_HAND,-15232,13360,544,29154,29136,-32768,155
1729576276.1752303,RIGHT_HAND,-14180,11228,1864,27690,32491,-32768,156
1729576276.1756132,RIGHT_HAND,-10044,8700,5016,27755,32767,-32768,157
1729576276.220659,RIGHT_HAND,-6324,6520,2628,28211,32767,-32620,158
1729576276.2218995,RIGHT_HAND,14468,-3032,10296,26223,15951,-22164,164
1729576276.3116872,RIGHT_HAND,16680,-3640,10760,22019,8306,-18170,165
1729576276.3127387,RIGHT_HAND,17596,-4312,11776,16078,4947,-13222,166
1729576276.3557594,RIGHT_HAND,18272,-3708,12700,10959,4120,-9855,167
1729576276.356854,RIGHT_HAND,18416,-1840,12704,9446,969,-7521,168
1729576276.3578653,RIGHT_HAND,18552,-2016,12356,9997,-1991,-3936,169
1729576276.4007761,RIGHT_HAND,18880,-3720,11524,9711,-6872,2411,170
1729576276.4464972,RIGHT_HAND,20240,-5488,14684,6567,-8426,8069,171
1729576276.4474137,RIGHT_HAND,20508,-4380,15924,-269,-14530,14578,172
1729576276.5366857,RIGHT_HAND,20688,-3496,15376,-7529,-18437,21743,173
1729576276.537701,RIGHT_HAND,20468,-4016,15312,-11121,-17333,27003,174
1729576276.5807045,RIGHT_HAND,20520,-4592,15136,-13754,-17613,32767,175
1729576276.5815454,RIGHT_HAND,15912,-2828,14724,-19060,-17854,32767,176
1729576276.6266823,RIGHT_HAND,10508,-1880,9468,-32768,-17619,32767,177
1729576276.6276681,RIGHT_HAND,3416,1396,2588,-32768,-16869,32767,178
1729576276.7610345,RIGHT_HAND,-1536,7700,1800,-32768,-21772,32767,179
1729576276.761311,RIGHT_HAND,2212,16280,5000,-32768,-12817,32767,180
1729576276.805055,RIGHT_HAND,-8748,30028,-4792,-32768,4533,32767,181
1729576276.805581,RIGHT_HAND,768,32767,412,-32768,-1214,32767,182
1729576276.8504796,RIGHT_HAND,6860,27140,-2880,2712,14438,26770,183
1729576276.851324,RIGHT_HAND,3304,17404,-11296,11732,-5293,8055,184
1729576276.8967288,RIGHT_HAND,-1492,6872,-12868,1755,-10058,30,185
1729576276.897873,RIGHT_HAND,-3672,9532,-10408,-14050,-15595,745,186
1729576276.9866867,RIGHT_HAND,-3292,8764,-6620,-24300,-20133,2392,187
1729576276.9877007,RIGHT_HAND,-5932,14488,-3860,-26414,-16350,3319,188
1729576277.030686,RIGHT_HAND,-5968,19816,-3912,-23358,-12944,1429,189
1729576277.0315435,RIGHT_HAND,-5044,18504,-952,-14085,-6096,-1782,190
1729576277.0767064,RIGHT_HAND,-6100,16868,-4592,-13837,-5996,4375,191
1729576277.077544,RIGHT_HAND,-5796,14248,-3228,-22346,-7845,10362,192
1729576277.12061,RIGHT_HAND,-4256,18196,-528,-23927,-3934,10291,193
