time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576247.5583775,RIGHT_LEG,15760,5088,1200,221,100,88,118
1729576247.5599542,RIGHT_LEG,15896,4820,1360,344,86,99,120
1729576247.6054363,RIGHT_LEG,15880,4816,1300,110,-137,-120,122
1729576247.7383893,RIGHT_LEG,15760,4964,1352,176,-209,-287,124
1729576247.7833874,RIGHT_LEG,15736,5088,1136,92,-272,-377,126
1729576247.7856197,RIGHT_LEG,15864,5184,1188,62,-257,-333,127
1729576247.78678,RIGHT_LEG,15848,5200,1208,-11,-272,-244,128
1729576247.8285787,RIGHT_LEG,15744,5124,856,140,-239,-190,129
1729576247.8734338,RIGHT_LEG,15824,5140,1412,148,-245,-122,130
1729576247.874356,RIGHT_LEG,15844,5144,1172,306,-112,-119,131
1729576247.9632847,RIGHT_LEG,15532,5312,912,319,-115,-40,132
1729576248.0086215,RIGHT_LEG,15740,5236,1112,338,-144,11,133
1729576248.0095003,RIGHT_LEG,15760,5092,1196,327,-170,15,134
1729576248.010387,RIGHT_LEG,15828,5120,1092,310,-149,67,135
1729576248.0534246,RIGHT_LEG,15708,5124,1040,274,-185,94,136
1729576248.0545712,RIGHT_LEG,15768,5072,1072,230,-180,135,137
1729576248.09951,RIGHT_LEG,15620,5128,1128,335,-46,166,138
1729576248.2342894,RIGHT_LEG,15724,5164,1152,222,-53,116,139
1729576248.3099189,RIGHT_LEG,15692,5048,1184,323,-60,126,140
1729576248.3110073,RIGHT_LEG,15772,4860,1200,104,-230,-102,141
1729576248.3119805,RIGHT_LEG,15672,5072,1252,296,-189,-112,142
1729576248.323201,RIGHT_LEG,15784,4872,1280,269,-176,-155,143
1729576248.3240917,RIGHT_LEG,15748,5116,1336,297,-174,-264,144
1729576248.3249702,RIGHT_LEG,15676,5064,1128,281,-159,-350,145
1729576248.4134939,RIGHT_LEG,15772,5168,1220,276,-234,-437,146
1729576248.4144428,RIGHT_LEG,15708,5100,1284,341,-306,-470,147
1729576248.4582574,RIGHT_LEG,15744,5068,1016,215,-376,-605,148
1729576248.4593976,RIGHT_LEG,15708,5156,1016,324,-436,-704,149
1729576248.5491235,RIGHT_LEG,15620,5344,1048,292,-405,-658,150
1729576248.5500393,RIGHT_LEG,15764,5328,924,370,-276,-608,151
1729576248.637406,RIGHT_LEG,15724,5412,908,489,-201,-607,152
1729576248.6382804,RIGHT_LEG,15840,5600,1044,543,-151,-512,153
1729576248.6391327,RIGHT_LEG,15712,5384,1000,619,-81,-469,154
1729576248.640311,RIGHT_LEG,15488,5596,1092,643,-78,-344,155
1729576248.6412153,RIGHT_LEG,15612,5452,908,570,-183,-354,156
1729576248.6820126,RIGHT_LEG,15684,5600,1308,388,-318,-367,157
1729576248.6854029,RIGHT_LEG,15668,5624,844,79,-348,-327,158
1729576248.7284756,RIGHT_LEG,15600,5588,792,361,-43,-152,159
1729576248.7735112,RIGHT_LEG,15624,5664,1020,429,-16,-53,160
1729576248.8624458,RIGHT_LEG,15588,5740,796,442,7,26,161
1729576248.8644366,RIGHT_LEG,15664,5832,712,713,9,132,162
1729576248.8654103,RIGHT_LEG,15540,5584,1088,668,-77,294,163
1729576248.9083052,RIGHT_LEG,15592,5660,996,519,-210,308,164
1729576248.9535005,RIGHT_LEG,15624,5548,1116,386,-329,341,165
1729576248.9544117,RIGHT_LEG,15736,5452,920,389,-372,308,166
1729576249.089072,RIGHT_LEG,15644,5484,1040,436,-344,385,167
1729576249.131945,RIGHT_LEG,15768,5308,804,387,-294,463,168
1729576249.132907,RIGHT_LEG,15624,5360,856,307,-129,544,169
1729576249.1338022,RIGHT_LEG,15852,5280,1040,360,-75,470,170
1729576249.1783824,RIGHT_LEG,15764,5216,788,275,-107,457,171
1729576249.1792932,RIGHT_LEG,15700,5164,936,219,-138,319,172
1729576249.2233193,RIGHT_LEG,15628,5132,896,180,-175,204,173
1729576249.3132205,RIGHT_LEG,15688,5072,948,205,-162,128,174
1729576249.3143914,RIGHT_LEG,15824,5088,1056,147,-283,17,175
1729576249.4041533,RIGHT_LEG,15780,5116,924,105,-369,-79,176
1729576249.4050622,RIGHT_LEG,15840,5272,716,157,-324,-85,177
1729576249.4059348,RIGHT_LEG,15764,5272,736,183,-269,-1,178
1729576249.449022,RIGHT_LEG,15696,5104,760,99,-155,10,179
1729576249.4499075,RIGHT_LEG,15780,5388,688,219,-149,54,180
1729576249.4507961,RIGHT_LEG,15808,5068,884,231,-105,62,181
1729576249.5389373,RIGHT_LEG,15688,5124,1036,100,-84,12,182
1729576249.5841334,RIGHT_LEG,15844,5224,904,93,-85,-46,183
1729576249.5850062,RIGHT_LEG,15716,5264,956,150,-18,-35,184
1729576249.585876,RIGHT_LEG,15700,5188,784,60,23,-109,185
1729576249.6284692,RIGHT_LEG,15784,5216,812,-17,125,-45,186
1729576249.6293843,RIGHT_LEG,15824,5112,1336,-40,91,-57,187
1729576249.6726127,RIGHT_LEG,15796,5456,968,335,50,65,188
1729576249.7628832,RIGHT_LEG,15672,5276,892,110,90,144,189
1729576249.7636936,RIGHT_LEG,15780,5196,928,128,228,117,190
1729576249.807665,RIGHT_LEG,15800,5260,1104,106,215,102,191
1729576249.8084695,RIGHT_LEG,15812,5124,1232,267,189,102,192
1729576249.853384,RIGHT_LEG,15628,4896,1184,320,251,-4,193
1729576249.854357,RIGHT_LEG,15720,5080,1132,102,119,-1,194
1729576249.8985744,RIGHT_LEG,15888,5032,1316,105,6,-91,195
1729576249.9888847,RIGHT_LEG,15748,5080,1124,104,-31,-106,196
1729576249.9897,RIGHT_LEG,15788,5172,1204,93,-89,-122,197
1729576250.033988,RIGHT_LEG,15656,5064,1224,88,-140,-147,198
1729576250.0347667,RIGHT_LEG,15672,5168,1176,159,-177,-118,199
1729576250.0355344,RIGHT_LEG,15804,5176,1124,292,-114,-108,200
1729576250.0786142,RIGHT_LEG,15732,5196,1212,266,-125,-133,201
