time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590688.8840466,RIGHT_HAND,-3116,15980,5440,-563,-1823,-236,47
1729590688.973403,RIGHT_HAND,-9788,16616,5720,2712,7893,777,49
1729590689.0181875,RIGHT_HAND,-15348,15928,2304,-569,22760,1247,51
1729590689.107928,RIGHT_HAND,-13004,18584,8812,468,8384,-12599,53
1729590689.152785,RIGHT_HAND,-18748,17632,9804,302,5512,-23648,55
1729590689.1982353,RIGHT_HAND,-18484,18048,11880,-3690,13060,-25145,57
1729590689.2432156,RIGHT_HAND,-16736,17876,12872,-4609,13619,-26043,58
1729590689.2449527,RIGHT_HAND,-15660,17332,14124,-5260,14165,-26479,59
1729590689.2880192,RIGHT_HAND,-15112,16640,13432,-6530,15622,-26002,60
1729590689.3329768,RIGHT_HAND,-13620,16152,12112,-7400,16335,-25002,61
1729590689.3783274,RIGHT_HAND,-11564,14436,10772,-7060,17021,-23547,62
1729590689.3805313,RIGHT_HAND,-9616,12612,7716,-6644,16663,-21619,63
1729590689.4230833,RIGHT_HAND,-8260,11740,5000,-5857,16338,-18931,64
1729590689.4681425,RIGHT_HAND,-8652,9156,3268,-5811,12408,-16517,65
1729590689.4690957,RIGHT_HAND,-9296,7184,1976,-5079,14393,-13292,66
1729590689.5130823,RIGHT_HAND,-9544,4884,-1656,-5838,12798,-9631,67
1729590689.56008,RIGHT_HAND,-8276,5972,-1688,-6626,17909,-6154,68
1729590689.5620968,RIGHT_HAND,-5256,6480,-2560,-6118,19905,-3588,69
1729590689.6031487,RIGHT_HAND,-3124,6068,-2244,-3031,19802,-1669,70
1729590689.650166,RIGHT_HAND,-1180,5172,-4400,-202,17556,-681,71
1729590689.6523962,RIGHT_HAND,-1860,2804,-11520,-588,10330,689,72
1729590689.693326,RIGHT_HAND,-2408,3416,-8832,-1345,12738,3637,73
1729590689.7379591,RIGHT_HAND,-4664,5156,-6256,-6252,2660,1976,74
1729590689.7390192,RIGHT_HAND,-10104,7576,-2856,-11353,-9864,-5604,75
1729590689.783199,RIGHT_HAND,-17676,10740,428,-13645,-15301,-15167,76
1729590689.8284135,RIGHT_HAND,-23416,9688,-1752,-10667,-5548,-20537,77
1729590689.8730516,RIGHT_HAND,-21272,4556,-8036,-5994,12705,-19178,78
1729590689.8745575,RIGHT_HAND,-14072,684,-12516,-878,23851,-15625,79
1729590689.9183843,RIGHT_HAND,-2184,-3268,-13464,-402,21774,-11626,80
1729590690.0083268,RIGHT_HAND,1752,-7644,-13264,1737,6007,-12211,81
1729590690.0094051,RIGHT_HAND,716,-7444,-15996,-492,-3256,-10795,82
1729590690.0533469,RIGHT_HAND,-3128,-6888,-19548,15076,-12696,-9116,83
1729590690.0544455,RIGHT_HAND,-2556,-13052,-16392,-4856,-5152,-1231,84
1729590690.0981476,RIGHT_HAND,-5500,-8348,-17236,-1892,-2491,2227,85
1729590690.0992832,RIGHT_HAND,-5856,-6080,-15820,108,-293,4490,86
1729590690.1432583,RIGHT_HAND,-5936,-5104,-14348,2584,1313,6545,87
1729590690.1443741,RIGHT_HAND,-5464,-5868,-15980,6537,780,7784,88
1729590690.2329745,RIGHT_HAND,-6428,-9248,-15820,11808,-429,9602,89
1729590690.3233247,RIGHT_HAND,-9144,-9960,-15008,11445,1519,11455,90
1729590690.324402,RIGHT_HAND,-11364,-8072,-14592,7904,5534,14239,91
1729590690.368288,RIGHT_HAND,-11508,-3432,-13364,6485,10028,17969,92
1729590690.3693538,RIGHT_HAND,-10924,2492,-10996,701,7292,21132,93
1729590690.4582942,RIGHT_HAND,-11480,4004,-4884,-6798,-408,20292,94
1729590690.4593644,RIGHT_HAND,-14216,11784,-4192,-8519,-8257,19977,95
1729590690.5032907,RIGHT_HAND,-9484,-7104,-15720,-1908,-2737,12807,96
1729590690.50435,RIGHT_HAND,-12008,12116,-12068,-345,-7763,5996,97
1729590690.5480804,RIGHT_HAND,-10492,11228,-6248,7536,1286,-3905,98
1729590690.5492518,RIGHT_HAND,-7756,4536,-8908,8826,5120,-5604,99
1729590690.593286,RIGHT_HAND,-4552,3072,-10200,6046,1094,-1535,100
1729590690.5943294,RIGHT_HAND,-2736,1852,-11280,1631,201,2428,101
1729590690.638284,RIGHT_HAND,-1400,2668,-9388,-2649,-5285,5681,102
1729590690.6392982,RIGHT_HAND,-988,4700,-6200,-2473,-11830,8559,103
1729590690.6832962,RIGHT_HAND,-2576,5928,-3052,799,-12218,10036,104
1729590690.6843607,RIGHT_HAND,-5856,6052,-2964,2686,-12667,12009,105
1729590690.7283313,RIGHT_HAND,-8728,5732,-1884,2173,-9927,14358,106
1729590690.7294545,RIGHT_HAND,-8364,6184,576,-851,-11174,15960,107
1729590690.773298,RIGHT_HAND,-8756,7124,2484,-2959,-14499,16572,108
1729590690.774393,RIGHT_HAND,-11060,8540,2720,-4438,-16535,18230,109
1729590690.8183568,RIGHT_HAND,-12756,10748,2528,-7304,-19792,19478,110
1729590690.8633115,RIGHT_HAND,-13752,12396,5228,-7895,-19535,21645,111
1729590690.953045,RIGHT_HAND,-15780,14780,3972,-6561,-18661,23046,112
1729590690.9543478,RIGHT_HAND,-16776,16432,4872,-7368,-18285,24048,113
1729590690.9981601,RIGHT_HAND,-13972,17320,7908,-6598,-16975,23465,114
1729590690.9992445,RIGHT_HAND,-11916,18168,8544,-5895,-20161,21174,115
1729590691.0431793,RIGHT_HAND,-15392,19900,8056,-5873,-25479,20543,116
1729590691.0442867,RIGHT_HAND,-16068,20552,9088,-5167,-22846,19148,117
1729590691.088176,RIGHT_HAND,-14740,20224,10548,-2262,-18775,16405,118
1729590691.0892444,RIGHT_HAND,-14856,18788,8932,-710,-17535,13654,119
1729590691.1332157,RIGHT_HAND,-13820,17884,8192,-1701,-16478,10738,120
1729590691.1780007,RIGHT_HAND,-12548,17508,8728,-1472,-15236,8035,121
1729590691.17887,RIGHT_HAND,-12620,16844,7952,-1813,-13400,5436,122
1729590691.2232387,RIGHT_HAND,-11456,16436,7008,-2645,-9676,3082,123
1729590691.2681763,RIGHT_HAND,-9168,16608,7100,-3258,-9962,-1706,124
1729590691.269247,RIGHT_HAND,-7488,16296,6440,-2127,-9803,-3126,125
1729590691.3132322,RIGHT_HAND,-7284,15824,6200,-1068,-8494,-4023,126
1729590691.3581412,RIGHT_HAND,-6520,15128,5448,663,-4106,-2820,127
1729590691.35921,RIGHT_HAND,-5292,14280,4508,1209,1070,-754,128
