time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590721.2428322,RIGHT_LEG,13412,8880,-4492,136,-197,-16,19
1729590721.3743606,RIGHT_LEG,13456,8968,-4564,-163,-334,133,21
1729590721.3764944,RIGHT_LEG,13476,8800,-4596,-13,-333,290,23
1729590721.3774855,RIGHT_LEG,13524,8800,-4292,85,-432,354,25
1729590721.4646478,RIGHT_LEG,13360,8808,-4632,322,-497,328,27
1729590721.6008534,RIGHT_LEG,13444,8784,-4572,258,-344,427,28
1729590721.6018448,RIGHT_LEG,13584,8756,-4472,107,-400,558,29
1729590721.645882,RIGHT_LEG,13628,8740,-4492,79,-530,546,30
1729590721.64714,RIGHT_LEG,13536,8620,-4736,108,-421,491,31
1729590721.6907802,RIGHT_LEG,13540,8592,-4732,97,-630,478,32
1729590721.691655,RIGHT_LEG,13632,8468,-4404,36,-545,333,33
1729590721.6924684,RIGHT_LEG,13736,8416,-4224,843,-602,44,34
1729590721.6933467,RIGHT_LEG,13500,8416,-4556,652,-419,91,35
1729590721.7366376,RIGHT_LEG,13664,8632,-4616,508,-216,-76,36
1729590721.7381806,RIGHT_LEG,13564,8444,-4756,414,-140,-186,37
1729590721.8258448,RIGHT_LEG,13612,8500,-4692,336,-111,-238,38
1729590721.8713539,RIGHT_LEG,13476,8516,-4724,420,90,-293,39
1729590721.8724065,RIGHT_LEG,13620,8524,-4780,439,32,-409,40
1729590721.8733203,RIGHT_LEG,13560,8508,-4816,349,122,-461,41
1729590721.9161968,RIGHT_LEG,13488,8564,-4560,349,131,-532,42
1729590721.9609594,RIGHT_LEG,13448,8568,-4784,313,125,-516,43
1729590721.9618938,RIGHT_LEG,13452,8612,-4724,206,22,-470,44
1729590722.0510275,RIGHT_LEG,13504,8740,-4892,-7,162,-424,45
1729590722.0949152,RIGHT_LEG,13376,8612,-4700,-137,-38,-449,46
1729590722.0971274,RIGHT_LEG,13432,8792,-4604,-178,-36,-493,47
1729590722.0990536,RIGHT_LEG,13248,8988,-4624,-285,-5,-490,48
1729590722.1005278,RIGHT_LEG,13348,8912,-4548,-177,101,-268,49
1729590722.1399803,RIGHT_LEG,13460,8992,-4212,-97,-10,-175,50
1729590722.1868508,RIGHT_LEG,13444,8976,-4348,-217,-52,15,51
1729590722.2759633,RIGHT_LEG,13492,8824,-4512,-29,-2,131,52
1729590722.2768931,RIGHT_LEG,13384,8820,-4368,-66,-234,131,53
1729590722.2789123,RIGHT_LEG,13600,8864,-4372,76,-174,140,54
1729590722.2799437,RIGHT_LEG,13560,8888,-4376,113,-198,102,55
1729590722.3205233,RIGHT_LEG,13412,8708,-4564,175,-280,129,56
1729590722.3655539,RIGHT_LEG,13476,8832,-4472,184,-332,182,57
1729590722.4104984,RIGHT_LEG,13544,8844,-4328,321,-327,150,58
1729590722.4114168,RIGHT_LEG,13508,8908,-4360,344,-365,223,59
1729590722.501365,RIGHT_LEG,13492,8800,-4560,312,-435,366,60
1729590722.5459273,RIGHT_LEG,13488,8608,-4412,363,-500,404,61
1729590722.5469377,RIGHT_LEG,13452,8732,-4248,333,-306,352,62
1729590722.547912,RIGHT_LEG,13404,8692,-4520,434,-335,409,63
1729590722.5911908,RIGHT_LEG,13652,8560,-4668,478,-316,333,64
1729590722.6353016,RIGHT_LEG,13456,8476,-4688,685,-178,101,65
1729590722.6362224,RIGHT_LEG,13556,8364,-4896,531,-75,-67,66
1729590722.7260094,RIGHT_LEG,13488,8468,-4912,656,4,-274,67
1729590722.7278724,RIGHT_LEG,13476,8496,-4860,625,184,-426,68
1729590722.7287908,RIGHT_LEG,13540,8668,-4828,404,95,-440,69
