time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729576992.7957401,RIGHT_HAND,-5088,14504,7236,-1634,-1538,-1339,8
1729576992.8401935,RIGHT_HAND,-6344,14016,9260,-4968,-1408,-4628,10
1729576992.8418791,RIGHT_HAND,-7576,13060,15152,-11197,-4741,-7051,12
1729576992.8852158,RIGHT_HAND,-8000,8528,18940,-21844,-923,-6271,14
1729576993.065554,RIGHT_HAND,-6296,11400,22424,-29277,1174,-5525,16
1729576993.069561,RIGHT_HAND,-4824,10572,23020,-32768,4946,-4070,18
1729576993.1088846,RIGHT_HAND,-3204,9620,23952,-32768,6858,-2604,19
1729576993.1097708,RIGHT_HAND,-2084,8316,22016,-32768,8530,-1357,20
1729576993.1108477,RIGHT_HAND,-1788,8024,19212,-32768,7000,296,21
1729576993.2005522,RIGHT_HAND,-1220,6680,17152,-32768,5624,1029,22
1729576993.2019866,RIGHT_HAND,-1840,5756,15988,-31507,4131,1277,23
1729576993.2447922,RIGHT_HAND,-1116,4900,13300,-28688,1995,2249,24
1729576993.245932,RIGHT_HAND,-1664,3348,11288,-25140,-1836,2414,25
1729576993.247128,RIGHT_HAND,-2432,2644,11476,-21339,-6109,2989,26
1729576993.2895305,RIGHT_HAND,-4328,2136,9980,-16982,-10188,2706,27
1729576993.3355026,RIGHT_HAND,-5540,1128,7308,-11990,-12399,1894,28
1729576993.4694514,RIGHT_HAND,-3200,-1224,4824,-8959,-16483,-2370,29
1729576993.470359,RIGHT_HAND,-6452,-1160,12876,1368,-19684,2696,30
1729576993.516611,RIGHT_HAND,-10392,-2564,11300,4223,-12296,-3721,31
1729576993.517878,RIGHT_HAND,-11640,-5708,6500,6868,-6523,-1985,32
1729576993.5188692,RIGHT_HAND,-10096,-3784,8964,7338,-1120,-3262,33
1729576993.559815,RIGHT_HAND,-6892,-3196,12176,8008,4161,-3290,34
1729576993.5612392,RIGHT_HAND,-5484,-2052,10668,8729,9840,-2512,35
1729576993.5627027,RIGHT_HAND,-4520,868,9876,10728,10771,-1981,36
1729576993.6034765,RIGHT_HAND,-3788,1744,10576,14780,9704,-1577,37
1729576993.649944,RIGHT_HAND,-1740,3396,14132,18805,5999,-1005,38
1729576993.651152,RIGHT_HAND,-1600,4180,15820,22807,2476,-448,39
1729576993.6949275,RIGHT_HAND,-2424,4424,17784,26140,-3568,-1165,40
1729576993.7384403,RIGHT_HAND,-4364,6184,18140,27659,-3995,-974,41
1729576993.739355,RIGHT_HAND,-5800,5716,16252,27168,-1203,1424,42
1729576993.7844994,RIGHT_HAND,-4520,7016,19856,26820,4562,2502,43
1729576993.8741899,RIGHT_HAND,-3812,9104,20708,23919,5215,6372,44
1729576993.8750734,RIGHT_HAND,-3852,9564,16628,22453,1170,8926,45
1729576993.9193754,RIGHT_HAND,-4680,10172,17584,23211,2810,10186,46
1729576993.964443,RIGHT_HAND,-5156,13148,21068,22096,899,9971,47
1729576993.9653099,RIGHT_HAND,-5488,13756,17280,19663,-227,9312,48
