time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729577100.9751136,RIGHT_LEG,15912,4448,2256,328,-144,-73,59
1729577101.0625598,RIGHT_LEG,15912,4428,2228,299,-208,-48,61
1729577101.1068902,RIGHT_LEG,15768,4336,2256,197,-260,-41,69
1729577101.1530468,RIGHT_LEG,15956,4364,2044,158,-213,64,71
1729577101.242973,RIGHT_LEG,15732,4624,2208,107,-279,13,73
1729577101.286994,RIGHT_LEG,15940,4280,2176,104,-251,84,74
1729577101.2882688,RIGHT_LEG,15888,4368,2020,83,-270,94,75
1729577101.331797,RIGHT_LEG,15896,4304,2072,120,-297,58,76
1729577101.3329964,RIGHT_LEG,15916,4400,2116,4,-373,42,77
1729577101.3765168,RIGHT_LEG,15760,4388,2096,182,-380,30,78
1729577101.377486,RIGHT_LEG,15924,4396,2272,180,-403,37,79
1729577101.4668355,RIGHT_LEG,15992,4332,1972,144,-369,-12,80
1729577101.467992,RIGHT_LEG,15804,4424,1952,320,-274,6,81
1729577101.5125737,RIGHT_LEG,15828,4328,1932,246,-235,-25,82
1729577101.5135205,RIGHT_LEG,15824,4320,1996,254,-148,-24,83
1729577101.5568595,RIGHT_LEG,15924,4344,1976,313,-85,32,84
1729577101.557768,RIGHT_LEG,15952,4268,2012,370,-18,36,85
1729577101.558704,RIGHT_LEG,15896,4312,2060,410,37,49,86
1729577101.561276,RIGHT_LEG,15856,4400,2088,360,70,64,87
1729577101.6011293,RIGHT_LEG,15892,4360,1956,356,133,41,88
1729577101.6015623,RIGHT_LEG,15912,4216,1916,271,145,20,89
1729577101.6918097,RIGHT_LEG,15788,4380,2184,279,197,32,90
1729577101.692953,RIGHT_LEG,15804,4316,2124,241,184,28,91
1729577101.7374973,RIGHT_LEG,15824,4344,2100,233,128,38,92
1729577101.7387285,RIGHT_LEG,15936,4292,2236,282,166,63,93
1729577101.7815588,RIGHT_LEG,15856,4248,2228,214,81,19,94
1729577101.8265424,RIGHT_LEG,15844,4280,2240,308,13,65,95
1729577101.8277056,RIGHT_LEG,15944,4152,2304,240,-49,1,96
1729577101.8718436,RIGHT_LEG,15904,4388,2272,271,-86,-2,97
1729577101.872995,RIGHT_LEG,15820,4352,2320,301,-97,-8,98
1729577101.9166467,RIGHT_LEG,15836,4436,2232,297,-109,-18,99
1729577101.9179175,RIGHT_LEG,15832,4216,2252,240,-149,-53,100
1729577101.9188035,RIGHT_LEG,15808,4212,2192,295,-137,19,101
1729577101.9196658,RIGHT_LEG,15804,4200,2224,207,-168,-47,102
