time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729588991.2517533,RIGHT_HAND,6396,16120,4280,2178,2107,4648,250
1729588991.3419511,RIGHT_HAND,6032,16180,5300,2489,-6553,1968,252
1729588991.3868678,RIGHT_HAND,6540,17768,7192,3753,-10147,950,254
1729588991.432153,RIGHT_HAND,5460,19956,5876,716,-13172,-238,1
1729588991.521261,RIGHT_HAND,3440,13720,3728,6565,-10401,-2923,3
1729588991.6107645,RIGHT_HAND,908,12544,-1312,-1059,-10686,-376,5
1729588991.6129055,RIGHT_HAND,576,12892,-1948,-3031,-10007,1610,6
1729588991.6136928,RIGHT_HAND,-144,12164,-4324,-3054,-10580,1512,7
1729588991.6559227,RIGHT_HAND,-1840,11860,-7540,-6389,-14695,1468,8
1729588991.7022226,RIGHT_HAND,-3936,13228,-8908,-8535,-14710,1028,9
1729588991.746999,RIGHT_HAND,-4648,14312,-9384,-7395,-9972,313,10
1729588991.7478452,RIGHT_HAND,-5172,14060,-10652,-5939,-5262,-245,11
1729588991.7908738,RIGHT_HAND,-5344,13936,-11848,-6805,-1601,-533,12
1729588991.8361163,RIGHT_HAND,-5108,14408,-10492,-7331,2660,-1131,13
1729588991.837168,RIGHT_HAND,-4532,15368,-9120,-5911,6649,-2103,14
1729588991.881856,RIGHT_HAND,-3548,15240,-7904,-4015,10171,-2935,15
1729588991.9271948,RIGHT_HAND,-2772,15212,-7288,-3292,12276,-3490,16
1729588991.9282498,RIGHT_HAND,-1676,16524,-5256,-2897,13885,-3027,17
1729588991.9712965,RIGHT_HAND,100,17496,-3440,-308,14490,-2544,18
1729588992.016075,RIGHT_HAND,952,17932,-2452,271,12382,-2125,19
1729588992.016919,RIGHT_HAND,944,18500,-780,281,10219,-1914,20
1729588992.1058354,RIGHT_HAND,1112,19080,372,933,9184,-1519,21
1729588992.1521862,RIGHT_HAND,1352,18728,1544,1303,8060,-1286,22
1729588992.153002,RIGHT_HAND,1020,17832,1784,1246,8090,-1113,23
1729588992.1538138,RIGHT_HAND,1820,17128,3144,1339,8762,-757,24
1729588992.1958597,RIGHT_HAND,2880,17292,4228,676,6132,-753,25
1729588992.196703,RIGHT_HAND,2992,16612,4768,1466,3907,-1369,26
1729588992.241238,RIGHT_HAND,2816,15416,5184,1176,1894,-1717,27
1729588992.28596,RIGHT_HAND,2672,15180,4240,-1159,-424,-1608,28
1729588992.287009,RIGHT_HAND,2628,15800,3980,-2902,-1796,-1272,29
1729588992.3311138,RIGHT_HAND,2496,15316,4040,-2202,-1390,-1435,30
1729588992.3761973,RIGHT_HAND,2224,14076,2844,-1880,-1684,-1748,31
1729588992.3770568,RIGHT_HAND,1412,16060,1604,-5538,-4258,-1032,32
1729588992.4208694,RIGHT_HAND,1296,18468,2476,-6815,-4455,-258,33
1729588992.5110714,RIGHT_HAND,776,17552,1552,-3332,-1137,-155,34
1729588992.5119154,RIGHT_HAND,-32,15448,-64,-4622,-385,54,35
1729588992.5562353,RIGHT_HAND,-252,15384,-812,-5697,2148,1152,36
1729588992.55715,RIGHT_HAND,244,16644,-824,-6359,4937,2595,37
1729588992.6011682,RIGHT_HAND,1552,18240,464,-6729,4221,3319,38
1729588992.6020253,RIGHT_HAND,2352,17896,1264,-3061,2667,2175,39
1729588992.6460776,RIGHT_HAND,1464,17436,380,-2790,-1475,756,40
1729588992.691162,RIGHT_HAND,-152,17524,240,-2444,-1356,277,41
1729588992.692021,RIGHT_HAND,-428,17944,144,-2292,1130,556,42
1729588992.7361615,RIGHT_HAND,64,17696,336,-1584,2388,507,43
1729588992.7810674,RIGHT_HAND,80,17064,144,-809,2620,-78,44
1729588992.7819023,RIGHT_HAND,16,16984,88,-734,2658,-644,45
1729588992.827199,RIGHT_HAND,-48,17488,368,59,3354,-1154,46
1729588992.8711662,RIGHT_HAND,-96,17228,952,1501,4587,-1779,47
1729588992.8720071,RIGHT_HAND,464,16960,1560,2688,4708,-2563,48
