time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589099.4531074,RIGHT_LEG,27876,5816,-2696,-22778,30642,10182,11
1729589099.5435164,RIGHT_LEG,29068,19768,-9876,-17295,32767,12297,13
1729589099.5884407,RIGHT_LEG,21068,1952,-9400,12902,28708,3366,15
1729589099.6784773,RIGHT_LEG,22444,16944,-24136,8636,-2568,-3277,17
1729589099.7221818,RIGHT_LEG,28836,22752,-17828,5936,-32768,-9526,19
1729589099.7660193,RIGHT_LEG,32767,23608,-10796,9682,-32768,-16872,20
1729589099.7671804,RIGHT_LEG,32767,22576,-7900,10166,-32768,-27021,21
1729589099.8123333,RIGHT_LEG,32767,32767,4292,14326,-32768,-32768,22
1729589099.8134108,RIGHT_LEG,32767,32767,6516,16631,-32768,-28258,23
1729589099.9011333,RIGHT_LEG,32767,27588,13264,-464,-32768,-31648,24
1729589099.9023051,RIGHT_LEG,32767,4596,12392,9255,-32768,-22338,25
1729589099.9462998,RIGHT_LEG,30516,26572,32767,17109,-12486,-9449,26
1729589099.947388,RIGHT_LEG,25368,-21656,20164,14556,-20241,-14427,27
1729589099.992372,RIGHT_LEG,23996,-9812,16976,17695,-5467,-15274,28
1729589100.0362701,RIGHT_LEG,14364,-6576,18704,19235,5880,-14295,29
1729589100.0374012,RIGHT_LEG,12024,-8436,15328,16858,7902,-9292,30
1729589100.0811377,RIGHT_LEG,10044,-9892,13444,4186,9839,-4437,31
1729589100.0823216,RIGHT_LEG,7224,-7164,12636,500,13099,-1044,32
1729589100.083644,RIGHT_LEG,9864,-8372,8744,-198,16843,640,33
1729589100.126341,RIGHT_LEG,9492,-3388,6120,-426,18598,2890,34
1729589100.1278677,RIGHT_LEG,14156,-256,3916,434,21892,4982,35
1729589100.1287925,RIGHT_LEG,18560,2016,2112,621,26016,4868,36
1729589100.1711826,RIGHT_LEG,21204,7552,-652,-152,28652,4430,37
1729589100.216296,RIGHT_LEG,20812,8172,1956,-1679,30830,4403,38
1729589100.2173765,RIGHT_LEG,26864,12468,-4820,-5861,30751,3745,39
1729589100.2624161,RIGHT_LEG,29892,12104,-5456,-9896,29971,3203,40
1729589100.3511672,RIGHT_LEG,28552,13664,-6688,-12720,29677,2253,41
1729589100.441102,RIGHT_LEG,28788,11824,-9836,-13854,28104,2919,42
1729589100.4422793,RIGHT_LEG,25888,8264,-7240,-11026,19873,4322,43
1729589100.4871855,RIGHT_LEG,29576,15648,-5752,-4364,23818,-2401,44
1729589100.488383,RIGHT_LEG,21408,12360,-14444,3797,15892,-160,45
1729589100.5773456,RIGHT_LEG,32440,7780,-7380,-6308,10842,-2371,46
1729589100.5784166,RIGHT_LEG,10676,10392,-21104,-18814,4685,-6636,47
1729589100.6223001,RIGHT_LEG,19368,828,-22924,-4009,-5888,-3327,48
1729589100.62337,RIGHT_LEG,24800,10332,-18668,-6322,-11498,-6321,49
1729589100.6663017,RIGHT_LEG,22204,9712,-9104,-692,-6832,-1552,50
1729589100.6673617,RIGHT_LEG,18052,3748,-1772,-795,-7061,-716,51
1729589100.7573776,RIGHT_LEG,19556,3396,-640,534,-5984,979,52
1729589100.7584553,RIGHT_LEG,17556,2844,428,2243,-4824,692,53
1729589100.8011596,RIGHT_LEG,16652,4300,-740,2423,-3106,-520,54
1729589100.8023376,RIGHT_LEG,15164,7072,-2208,2278,-2217,-1085,55
1729589100.80321,RIGHT_LEG,16100,5860,-1600,1523,-1471,-957,56
1729589100.8040833,RIGHT_LEG,15796,6236,-924,560,-821,-930,57
1729589100.8461292,RIGHT_LEG,15492,6172,-1004,834,-262,-304,58
1729589100.8472626,RIGHT_LEG,15744,5728,-700,501,46,-204,59
1729589100.892187,RIGHT_LEG,15716,5332,-88,537,103,-224,60
1729589100.8932378,RIGHT_LEG,15740,5428,-160,493,-61,-460,61
1729589100.937124,RIGHT_LEG,15816,5424,-260,660,120,-370,62
1729589100.9381948,RIGHT_LEG,15260,6260,-320,687,15,-155,63
1729589101.0274186,RIGHT_LEG,15636,6068,-508,366,-79,-106,64
1729589101.0709913,RIGHT_LEG,15432,6220,-576,323,-177,383,65
1729589101.072055,RIGHT_LEG,15556,5552,-436,227,-25,658,66
1729589101.2510145,RIGHT_LEG,15960,5332,-900,-99,253,374,67
1729589101.2522151,RIGHT_LEG,15736,5628,-808,-97,700,286,68
1729589101.2963018,RIGHT_LEG,15460,5484,-180,23,876,300,69
1729589101.2973788,RIGHT_LEG,15816,5164,-88,-39,855,146,70
1729589101.342129,RIGHT_LEG,15772,5496,-72,-74,936,81,71
1729589101.3431766,RIGHT_LEG,15748,5492,-312,-157,1033,-11,72
1729589101.3863027,RIGHT_LEG,15820,5436,240,-69,1242,4,73
1729589101.4312668,RIGHT_LEG,15744,5476,132,46,1415,40,74
1729589101.4322093,RIGHT_LEG,15652,5420,396,-29,1387,-19,75
1729589101.4761152,RIGHT_LEG,15636,5560,396,-99,1322,22,76
1729589101.477805,RIGHT_LEG,15700,5416,880,-3,1094,183,77
1729589101.4786763,RIGHT_LEG,15688,5332,676,-154,966,134,78
1729589101.4795358,RIGHT_LEG,15600,5540,764,-82,932,214,79
1729589101.5211022,RIGHT_LEG,15664,5604,888,85,797,351,80
1729589101.5221593,RIGHT_LEG,15716,5336,1124,77,535,592,81
1729589101.5659485,RIGHT_LEG,15576,5444,1028,-1,306,663,82
1729589101.5667965,RIGHT_LEG,15828,5280,832,-46,220,698,83
1729589101.612158,RIGHT_LEG,15680,5188,1024,8,170,770,84
1729589101.613194,RIGHT_LEG,15776,5232,1128,94,87,704,85
1729589101.7011714,RIGHT_LEG,15688,5028,1040,38,-20,713,86
1729589101.7468796,RIGHT_LEG,16124,5184,708,-65,-74,616,87
1729589101.7479239,RIGHT_LEG,15816,5124,1004,64,-50,617,88
1729589101.7909489,RIGHT_LEG,15660,5000,956,23,-45,540,89
1729589101.7917895,RIGHT_LEG,15732,5008,944,64,-101,544,90
1729589101.8361075,RIGHT_LEG,15668,4828,728,-50,-142,545,91
1729589101.8369503,RIGHT_LEG,15780,4652,868,69,17,445,92
1729589101.9262896,RIGHT_LEG,15968,4808,856,-9,97,353,93
1729589101.9273586,RIGHT_LEG,15828,4784,1068,-97,91,317,94
