time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729590025.9323425,RIGHT_HAND,-4516,12492,10308,2511,-7854,1507,28
1729590025.9763231,RIGHT_HAND,-6568,13724,13364,1366,-6862,3251,30
1729590026.0216236,RIGHT_HAND,-9852,11960,19160,2734,-9449,-254,32
1729590026.065423,RIGHT_HAND,-25980,9736,20252,-1173,-7232,-7389,34
1729590026.1572685,RIGHT_HAND,-31112,11480,32767,-12242,3151,-17096,36
1729590026.202274,RIGHT_HAND,-22048,21860,28800,-28992,32767,-22925,38
1729590026.2033505,RIGHT_HAND,-9656,27840,29640,-30828,32767,-26463,39
1729590026.2473352,RIGHT_HAND,-2472,28256,24228,-22814,26052,-28630,40
1729590026.248529,RIGHT_HAND,-848,22568,14080,-15748,26157,-26402,41
1729590026.2923505,RIGHT_HAND,2512,17672,11004,-11187,27385,-20700,42
1729590026.2934914,RIGHT_HAND,7596,12560,8076,-7519,23333,-16177,43
1729590026.3823698,RIGHT_HAND,7708,8912,5264,-2291,10365,-13656,44
1729590026.4723778,RIGHT_HAND,3312,6916,1348,-797,-1989,-10195,45
1729590026.4734898,RIGHT_HAND,-4144,2828,2604,-2546,-3854,-8194,46
1729590026.5159855,RIGHT_HAND,-4368,696,1008,-3573,1811,-4839,47
1729590026.516919,RIGHT_HAND,-5084,152,664,-3414,6387,-2407,48
1729590026.6080656,RIGHT_HAND,-5588,-296,1184,-2253,7536,-804,49
1729590026.6091428,RIGHT_HAND,-6256,-460,552,-1366,6639,1058,50
1729590026.6522834,RIGHT_HAND,-6832,-1432,276,-882,9175,3351,51
1729590026.6972656,RIGHT_HAND,-8256,-620,-188,-1965,6725,5179,52
1729590026.698317,RIGHT_HAND,-7132,1480,768,-6127,6135,6043,53
1729590026.7410946,RIGHT_HAND,-7364,1628,1120,-3645,8982,8233,54
1729590026.7421565,RIGHT_HAND,-10008,2240,-468,-3233,13740,10872,55
1729590026.8323534,RIGHT_HAND,-9200,2128,1168,-5422,19461,14031,56
1729590026.8334763,RIGHT_HAND,-7508,1672,1568,-4782,18113,15528,57
1729590026.8772552,RIGHT_HAND,-7096,3084,576,-7482,11906,17243,58
1729590026.878267,RIGHT_HAND,-9124,4168,-200,-11336,5134,18883,59
1729590026.922221,RIGHT_HAND,-10312,5368,-2676,-10826,2300,20718,60
1729590026.9232528,RIGHT_HAND,-12784,10032,-1548,-10618,1273,23482,61
1729590026.9671688,RIGHT_HAND,-12832,10424,680,-10239,3596,23834,62
1729590026.9682522,RIGHT_HAND,-11004,12296,332,-8107,-3671,23486,63
1729590027.0571375,RIGHT_HAND,-12200,13880,-440,-9980,-12687,23606,64
1729590027.058143,RIGHT_HAND,-16044,16132,-1212,-10378,-17971,24912,65
1729590027.1021569,RIGHT_HAND,-17256,17900,2344,-8134,-13695,24697,66
1729590027.1030982,RIGHT_HAND,-14444,18236,3608,-5573,-13087,23008,67
1729590027.147313,RIGHT_HAND,-14336,18392,4128,-3151,-12513,22049,68
