time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729589878.7875257,RIGHT_LEG,13424,9476,-2760,-1482,881,-5430,54
1729589878.8298414,RIGHT_LEG,13000,10896,-1736,376,-56,-3839,56
1729589878.8775449,RIGHT_LEG,12360,10436,-2476,332,-1127,-1847,58
1729589878.9662411,RIGHT_LEG,12720,11116,-2912,594,-530,-933,60
1729589879.010909,RIGHT_LEG,12852,10296,-3072,472,91,-1073,62
1729589879.0555007,RIGHT_LEG,12456,10676,-2728,30,696,-1226,63
1729589879.1008604,RIGHT_LEG,12388,10952,-2376,534,906,-1288,64
1729589879.1017776,RIGHT_LEG,12152,11164,-2068,2,1256,-891,65
1729589879.1907363,RIGHT_LEG,12632,10772,-2156,-402,1243,-830,66
1729589879.235122,RIGHT_LEG,12140,10992,-1864,51,1079,-814,67
1729589879.2353735,RIGHT_LEG,12256,11408,-1864,-330,1013,-382,68
1729589879.235644,RIGHT_LEG,12388,11640,-1504,-195,497,307,69
1729589879.3269844,RIGHT_LEG,11988,11396,-1476,-255,-63,1068,70
1729589879.4152653,RIGHT_LEG,12376,11224,-1248,-14,-510,1665,71
1729589879.4170866,RIGHT_LEG,12508,11080,-1296,206,-978,2162,72
1729589879.4181054,RIGHT_LEG,12656,10976,-1424,554,-1467,2635,73
1729589879.4618948,RIGHT_LEG,12820,10648,-1772,941,-1492,2752,74
1729589879.5057306,RIGHT_LEG,12820,10456,-1844,1098,-1392,2755,75
1729589879.506769,RIGHT_LEG,12592,10388,-2060,1271,-1409,3017,76
1729589879.5077944,RIGHT_LEG,12744,10536,-2004,1475,-1426,3307,77
1729589879.5505457,RIGHT_LEG,13008,10000,-2332,1713,-1354,3759,78
1729589879.640497,RIGHT_LEG,13252,10012,-2392,1686,-1310,4221,79
1729589879.6415608,RIGHT_LEG,13428,9500,-2860,1361,-937,4657,80
1729589879.686238,RIGHT_LEG,13640,9176,-2624,1511,-908,4506,81
1729589879.6873007,RIGHT_LEG,13764,8872,-2424,1482,-733,4408,82
1729589879.6883533,RIGHT_LEG,14244,8104,-2632,1422,-752,3910,83
1729589879.7299168,RIGHT_LEG,14344,8328,-2928,896,-703,3368,84
1729589879.7756467,RIGHT_LEG,14476,8360,-3168,1022,-427,2471,85
1729589879.8663611,RIGHT_LEG,14032,6724,-3264,747,-502,2244,86
1729589879.8673553,RIGHT_LEG,14328,7852,-3332,416,-488,1497,87
1729589879.9114482,RIGHT_LEG,14624,7260,-3312,38,-299,674,88
1729589879.91247,RIGHT_LEG,14632,7536,-2920,401,-9,-49,89
1729589879.9134796,RIGHT_LEG,14524,7652,-3156,518,221,-531,90
1729589879.9554672,RIGHT_LEG,14204,8032,-3076,71,243,-579,91
1729589880.0019102,RIGHT_LEG,14252,7996,-2908,139,106,-812,92
1729589880.0030005,RIGHT_LEG,14664,7896,-2932,130,330,-826,93
