time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734408.342562,RIGHT_HAND,-7040,14276,4776,-286,623,-416,245
1729734408.3889606,RIGHT_HAND,-10676,14348,7996,611,-6610,-5021,247
1729734408.4775648,RIGHT_HAND,-13780,12740,10932,206,-10660,-12830,249
1729734408.5232227,RIGHT_HAND,-18224,13176,14684,-10885,-9866,-21275,251
1729734408.5678632,RIGHT_HAND,-21696,14460,17376,-29582,5312,-26002,253
1729734408.6570718,RIGHT_HAND,-17756,11480,11056,-29058,32767,-32102,255
1729734408.6574497,RIGHT_HAND,-12172,9588,8280,-23765,32767,-31310,1
1729734408.702736,RIGHT_HAND,-8640,7008,5548,-16603,32767,-28788,2
1729734408.7481468,RIGHT_HAND,-5848,7700,6812,-11596,32767,-23662,3
1729734408.7490828,RIGHT_HAND,2032,6772,9092,-8993,32767,-15299,4
1729734408.7916708,RIGHT_HAND,7908,2220,15228,-4969,32767,-9165,5
1729734408.7934325,RIGHT_HAND,22944,-2308,11168,-11632,32767,-3155,6
1729734408.8373916,RIGHT_HAND,15320,-2352,36,-32768,8636,-3642,7
1729734408.8823848,RIGHT_HAND,4956,10792,4392,-32768,-28891,3268,8
1729734408.9273655,RIGHT_HAND,1736,10780,-5380,-32768,-32768,13136,9
1729734408.9280999,RIGHT_HAND,-13512,29092,-11748,-32768,-32768,22034,10
1729734408.9721293,RIGHT_HAND,-23552,32767,-9332,-32768,-32768,32767,11
1729734408.9725327,RIGHT_HAND,-22728,32767,-6892,-2606,-32505,16156,12
1729734409.0174263,RIGHT_HAND,-22364,24188,-9656,25327,-21592,1125,13
1729734409.062607,RIGHT_HAND,-23768,9232,-18200,16654,-29300,-5418,14
1729734409.107532,RIGHT_HAND,-26272,8336,-17948,1238,-26242,-11016,15
1729734409.152484,RIGHT_HAND,-29292,10932,-14388,3780,-4297,-14580,16
1729734409.1974766,RIGHT_HAND,-27112,9052,-11260,14361,5833,-19826,17
1729734409.19817,RIGHT_HAND,-27756,8952,-10128,10594,-3260,-27424,18
1729734409.2424655,RIGHT_HAND,-31708,9216,-8968,14223,-6712,-32768,19
1729734409.2432773,RIGHT_HAND,-32768,8140,-8608,15148,-3120,-32768,20
1729734409.2874875,RIGHT_HAND,-32768,8616,-6672,9322,4400,-32768,21
1729734409.332678,RIGHT_HAND,-32700,7944,-4988,9485,15126,-32768,22
1729734409.3333502,RIGHT_HAND,-26988,6108,-3728,10498,19454,-32768,23
1729734409.3785965,RIGHT_HAND,-21376,5064,-2796,10194,18112,-32768,24
1729734409.4224906,RIGHT_HAND,-15616,3152,-1496,11420,22584,-32768,25
1729734409.4232237,RIGHT_HAND,-11492,772,-2360,10002,29043,-32768,26
1729734409.4674437,RIGHT_HAND,-8204,988,-1076,8285,27614,-32768,27
1729734409.5124502,RIGHT_HAND,-4732,-20,204,10418,27728,-32768,28
1729734409.5131888,RIGHT_HAND,-1032,-1004,-1140,11972,28428,-29434,29
1729734409.5574334,RIGHT_HAND,1724,-3012,168,9978,29504,-24951,30
1729734409.6024015,RIGHT_HAND,4260,-3604,2944,9315,26922,-20466,31
1729734409.6031299,RIGHT_HAND,8516,-4104,2748,8708,23402,-16436,32
1729734409.6474285,RIGHT_HAND,14076,-7588,5600,11216,30315,-11448,33
1729734409.693695,RIGHT_HAND,12320,-9576,7348,25153,32767,-4233,34
1729734409.6944199,RIGHT_HAND,25528,-13292,18492,4141,28761,-8068,35
1729734409.7375402,RIGHT_HAND,20064,-11124,25248,-20343,17737,1779,36
1729734409.7828984,RIGHT_HAND,16336,-7052,20844,-28461,3562,9229,37
1729734409.7836123,RIGHT_HAND,11352,-3836,8756,-32768,-8334,14745,38
1729734409.8275313,RIGHT_HAND,3364,-1096,-1196,-32768,-20012,18706,39
1729734409.872424,RIGHT_HAND,-104,-596,-3628,-32768,-32768,18372,40
1729734409.9168553,RIGHT_HAND,2540,2368,-2192,-22595,-20761,21059,41
1729734409.9187193,RIGHT_HAND,-2232,1368,-8304,-22779,-10705,18414,42
1729734409.9624736,RIGHT_HAND,-2364,468,-8864,-12158,-1530,7596,43
1729734410.0075452,RIGHT_HAND,-160,-3504,-10708,1408,-529,3039,44
1729734410.0523992,RIGHT_HAND,1216,-6776,-9400,1259,3232,-2939,45
1729734410.0975046,RIGHT_HAND,2608,-7732,-5496,-5432,3993,-3298,46
1729734410.14274,RIGHT_HAND,3376,-5316,-5724,-6750,406,-3618,47
1729734410.143469,RIGHT_HAND,3292,-5408,-6504,-4496,-3287,-2937,48
1729734410.1874366,RIGHT_HAND,3224,-5392,-6412,-5698,-7641,-99,49
1729734410.232727,RIGHT_HAND,2884,-6192,-7004,-6629,-13087,3495,50
1729734410.2334356,RIGHT_HAND,1020,-3956,-7444,-9802,-17034,8383,51
1729734410.2775316,RIGHT_HAND,-624,-6444,-7032,-5653,-24263,12134,52
1729734410.367476,RIGHT_HAND,-2396,-4556,-8644,-8493,-29373,16896,53
1729734410.3682172,RIGHT_HAND,-6164,-3840,-8456,-10269,-32768,23373,54
1729734410.3693988,RIGHT_HAND,-11148,-2488,-7348,-5274,-32768,27252,55
1729734410.370114,RIGHT_HAND,-15584,-920,-5632,-4596,-32768,32335,56
1729734410.4124277,RIGHT_HAND,-22244,-1376,-3920,425,-32768,32767,57
1729734410.457463,RIGHT_HAND,-21112,2116,1020,1384,-32364,32767,58
1729734410.5026062,RIGHT_HAND,-26728,4620,264,1353,-27746,31406,59
1729734410.5033464,RIGHT_HAND,-25584,3708,3104,12822,-19337,30288,60
1729734410.5475576,RIGHT_HAND,-24300,4532,4968,12970,-17037,29846,61
1729734410.5924468,RIGHT_HAND,-23560,7032,7240,7143,-16259,28465,62
1729734410.5931835,RIGHT_HAND,-21508,9268,9080,8892,-16775,26972,63
1729734410.637446,RIGHT_HAND,-17912,11072,8896,9848,-19799,24164,64
1729734410.6823022,RIGHT_HAND,-18512,12808,10740,11398,-20067,21756,65
1729734410.683079,RIGHT_HAND,-18528,13064,11624,14604,-17370,18773,66
1729734410.7275279,RIGHT_HAND,-16496,13308,10612,14876,-14338,16198,67
1729734410.772469,RIGHT_HAND,-14712,13164,10124,12155,-10346,13910,68
1729734410.817409,RIGHT_HAND,-13500,12772,9768,11002,-7413,11425,69
1729734410.8181415,RIGHT_HAND,-12484,12736,9308,8406,-8236,9590,70
1729734410.8625154,RIGHT_HAND,-11372,13760,9152,5412,-8684,8803,71
1729734410.8636434,RIGHT_HAND,-10604,13900,9440,4806,-5733,6600,72
1729734410.907446,RIGHT_HAND,-9940,14032,8724,4478,-2172,5114,73
1729734410.9536326,RIGHT_HAND,-9168,13216,7700,2022,249,4269,74
