time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729734591.7159948,RIGHT_LEG,14464,3804,6072,-1293,-872,-761,165
1729734591.7602727,RIGHT_LEG,14544,3992,6676,129,-275,-151,167
1729734591.805942,RIGHT_LEG,14716,3816,6036,-263,-274,-259,169
1729734591.8955603,RIGHT_LEG,14660,4012,6624,352,103,-150,171
1729734591.9405158,RIGHT_LEG,14772,4120,5264,20,834,19,173
1729734591.985289,RIGHT_LEG,14760,5000,4716,229,1800,247,174
1729734592.030609,RIGHT_LEG,14296,3844,7204,1506,2385,1228,175
1729734592.0755646,RIGHT_LEG,14708,3836,5716,-246,2619,553,176
1729734592.0763218,RIGHT_LEG,14764,4980,4332,-912,4037,850,177
1729734592.1205502,RIGHT_LEG,13444,5004,7508,88,4806,1405,178
1729734592.1213048,RIGHT_LEG,14456,1916,7480,-318,4920,1446,179
1729734592.1656308,RIGHT_LEG,15204,4508,6528,-2881,5088,341,180
1729734592.210559,RIGHT_LEG,11172,4180,10260,-731,5222,1398,181
1729734592.2113292,RIGHT_LEG,12452,0,12748,940,3523,1269,182
1729734592.2555964,RIGHT_LEG,15980,1412,9020,-1909,2044,-689,183
1729734592.300527,RIGHT_LEG,14128,3736,8104,-1683,3213,-745,184
1729734592.3012366,RIGHT_LEG,10884,3560,12304,-319,2361,100,185
1729734592.3455532,RIGHT_LEG,13692,3176,10940,-795,544,-90,186
1729734592.3907351,RIGHT_LEG,13524,3496,9552,-66,254,470,187
1729734592.3914444,RIGHT_LEG,12656,2904,10248,464,-299,687,188
1729734592.4356995,RIGHT_LEG,13280,2404,9980,310,-1105,479,189
1729734592.4807734,RIGHT_LEG,13504,2912,9036,258,-1194,147,190
1729734592.4815562,RIGHT_LEG,13208,2788,8960,530,-982,203,191
1729734592.5257077,RIGHT_LEG,13328,3024,9000,313,-793,-48,192
1729734592.570777,RIGHT_LEG,13132,2920,9008,480,-598,43,193
1729734592.5715363,RIGHT_LEG,13696,2920,8768,349,-420,9,194
1729734592.6157598,RIGHT_LEG,13320,3704,8668,127,-93,18,195
1729734592.6607666,RIGHT_LEG,13576,2864,8744,-96,63,97,196
1729734592.6615212,RIGHT_LEG,13632,3916,8344,-410,382,212,197
1729734592.705733,RIGHT_LEG,13152,3128,8884,-122,834,605,198
1729734592.7508204,RIGHT_LEG,13724,3200,8712,-576,1052,521,199
1729734592.7970679,RIGHT_LEG,12868,3292,9420,-318,1284,769,200
1729734592.79785,RIGHT_LEG,13332,2236,9412,-557,1001,752,201
1729734592.8407025,RIGHT_LEG,13428,2516,9712,-40,781,688,202
1729734592.930727,RIGHT_LEG,13428,2228,9976,79,582,374,203
1729734592.9314528,RIGHT_LEG,12896,1712,10628,549,16,-4,204
1729734592.9770324,RIGHT_LEG,13232,1780,10372,719,-719,-443,205
1729734592.9778302,RIGHT_LEG,13072,2464,10496,1078,-1261,-594,206
1729734593.065571,RIGHT_LEG,13004,2520,10232,1394,-1837,-697,207
1729734593.066365,RIGHT_LEG,12904,2148,10208,1826,-2434,-835,208
1729734593.11047,RIGHT_LEG,13236,2900,9680,1914,-2837,-1064,209
1729734593.1111517,RIGHT_LEG,13352,3148,9636,2233,-3043,-1161,210
1729734593.1554568,RIGHT_LEG,13504,2636,8960,2091,-3219,-1239,211
1729734593.2007182,RIGHT_LEG,13424,3844,8252,1747,-3118,-1294,212
1729734593.201481,RIGHT_LEG,13480,3528,8076,2164,-2896,-1044,213
1729734593.245606,RIGHT_LEG,13632,3376,8384,2177,-3000,-938,214
1729734593.2909083,RIGHT_LEG,14212,4072,7508,1761,-2878,-1044,215
1729734593.2918644,RIGHT_LEG,14320,3928,6820,1755,-2305,-842,216
1729734593.3356016,RIGHT_LEG,13904,4040,7052,1571,-1893,-809,217
1729734593.3805609,RIGHT_LEG,13984,4028,7324,1159,-1709,-866,218
1729734593.3813374,RIGHT_LEG,13904,4684,7084,688,-1616,-742,219
1729734593.4255767,RIGHT_LEG,14256,4292,7536,1155,-1551,-478,220
1729734593.4706247,RIGHT_LEG,14328,4076,7352,709,-1610,-550,221
1729734593.471415,RIGHT_LEG,14184,4636,7248,874,-1508,-428,222
1729734593.5181148,RIGHT_LEG,14116,4384,6728,981,-1327,-274,223
1729734593.5606098,RIGHT_LEG,14516,4340,6760,1125,-1054,-176,224
1729734593.5613873,RIGHT_LEG,14476,4264,6976,747,-1020,-318,225
1729734593.606177,RIGHT_LEG,14092,4756,6660,546,-855,-276,226
1729734593.6505938,RIGHT_LEG,14436,4784,6536,646,-583,7,227
1729734593.6957633,RIGHT_LEG,14376,4188,6180,386,-163,59,228
1729734593.6965406,RIGHT_LEG,14380,4716,6256,119,285,-28,229
1729734593.785799,RIGHT_LEG,14368,4540,7096,253,395,124,230
1729734593.8306785,RIGHT_LEG,14340,4156,7508,130,205,42,231
1729734593.8765855,RIGHT_LEG,14160,4112,7108,49,33,-8,232
1729734593.8772717,RIGHT_LEG,14288,4796,6816,337,107,125,233
1729734593.877935,RIGHT_LEG,14448,4104,7288,399,91,207,234
1729734593.9217238,RIGHT_LEG,14160,4388,7036,283,9,118,235
1729734593.9224787,RIGHT_LEG,14356,4316,6808,255,98,42,236
1729734593.966734,RIGHT_LEG,14308,4836,6928,386,173,241,237
1729734594.010636,RIGHT_LEG,14232,3632,7448,160,42,65,238
1729734594.01145,RIGHT_LEG,13884,4716,7108,19,-107,23,239
1729734594.0555196,RIGHT_LEG,14368,4648,6976,215,-33,311,240
1729734594.0563004,RIGHT_LEG,14600,3676,7456,263,-15,258,241
1729734594.1004484,RIGHT_LEG,13944,4328,7412,153,-167,102,242
1729734594.1461475,RIGHT_LEG,14180,4292,7452,397,-326,224,243
