time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739297.6464322,RIGHT_HAND,5540,-15960,3728,-968,294,-2624,136
1729739297.691335,RIGHT_HAND,10424,-16752,4288,-757,10263,-11466,138
1729739297.7369797,RIGHT_HAND,11844,-13732,6772,3124,16300,-17554,140
1729739297.7836614,RIGHT_HAND,8284,-10380,9328,4695,15071,-17029,142
1729739297.871875,RIGHT_HAND,4256,-9400,8584,10987,20615,-13559,144
1729739297.961972,RIGHT_HAND,828,-18084,-1564,522,15711,-6311,146
1729739297.9631817,RIGHT_HAND,-800,-21820,-2124,-10854,12944,-4964,147
1729739297.963909,RIGHT_HAND,-1928,-23460,-5044,-21425,12299,-2905,148
1729739298.0068038,RIGHT_HAND,-288,-28368,-7032,-22549,22980,-3104,149
1729739298.0518866,RIGHT_HAND,3340,-32768,-524,-25759,30337,-4926,150
1729739298.0962765,RIGHT_HAND,7104,-32768,8588,-32768,28322,-6800,151
1729739298.097021,RIGHT_HAND,9136,-32768,9340,-32768,20151,-7571,152
1729739298.1417065,RIGHT_HAND,9712,-31984,11560,-32768,18368,-7860,153
1729739298.1861875,RIGHT_HAND,10328,-31608,17028,-32768,14639,-9245,154
1729739298.186927,RIGHT_HAND,8672,-27648,19248,-32768,10689,-12382,155
1729739298.2312174,RIGHT_HAND,7436,-20564,16624,-32768,5620,-12563,156
1729739298.2762318,RIGHT_HAND,6472,-15160,14836,-32768,600,-10383,157
1729739298.3661857,RIGHT_HAND,4636,-11372,14088,-31174,-6501,-7147,158
1729739298.3668659,RIGHT_HAND,2740,-8872,11964,-27568,-13183,-3338,159
1729739298.3681772,RIGHT_HAND,2140,-6168,11184,-23642,-13904,-686,160
1729739298.3688323,RIGHT_HAND,1132,-3100,10572,-19201,-13263,1140,161
1729739298.4111981,RIGHT_HAND,200,-1424,10080,-13640,-11937,2706,162
1729739298.4562438,RIGHT_HAND,864,-264,8216,-4643,-6890,3323,163
1729739298.5463233,RIGHT_HAND,1248,-1396,8540,6072,-1161,3407,164
1729739298.5470145,RIGHT_HAND,1560,-3224,9992,14890,1450,3623,165
1729739298.6362553,RIGHT_HAND,3344,-6724,9144,22189,536,4115,166
1729739298.638303,RIGHT_HAND,4128,-10520,8836,30017,2450,4192,167
1729739298.6389976,RIGHT_HAND,4936,-16516,9740,32767,6472,3964,168
1729739298.681296,RIGHT_HAND,5936,-21904,11668,32767,12889,3676,169
1729739298.6819952,RIGHT_HAND,6984,-29496,18976,32767,19157,5128,170
1729739298.726248,RIGHT_HAND,10876,-32768,25216,32767,21933,7133,171
1729739298.7269378,RIGHT_HAND,11432,-32768,24108,32767,14357,6701,172
1729739298.7712004,RIGHT_HAND,13828,-32768,22084,32767,10561,5844,173
1729739298.8161983,RIGHT_HAND,12432,-32768,20320,32767,957,6387,174
1729739298.8611941,RIGHT_HAND,11836,-32768,12356,27124,-3422,6953,175
1729739298.9062076,RIGHT_HAND,11196,-32768,7784,24365,-1850,1666,176
1729739298.906884,RIGHT_HAND,7692,-32616,6676,10910,-2214,537,177
1729739298.9512136,RIGHT_HAND,10048,-27828,1380,4425,4864,-160,178
1729739298.9962382,RIGHT_HAND,9624,-25348,2128,7218,4296,-1920,179
1729739298.9969122,RIGHT_HAND,8000,-23044,2176,1023,867,-610,180
1729739299.041329,RIGHT_HAND,9384,-20020,684,-3642,-2002,875,181
1729739299.086257,RIGHT_HAND,7676,-16852,392,-6409,-6096,-1011,182
1729739299.0869796,RIGHT_HAND,5976,-15268,-348,-7732,-4238,-993,183
1729739299.1762342,RIGHT_HAND,6704,-15828,2108,-8452,-2529,-686,184
1729739299.178136,RIGHT_HAND,6708,-17840,6076,-11404,-3586,-1480,185
1729739299.1788611,RIGHT_HAND,5552,-17884,8220,-14736,-4947,-1429,186
1729739299.2212634,RIGHT_HAND,5808,-17480,7772,-14885,-6385,160,187
1729739299.2664921,RIGHT_HAND,6760,-18332,8736,-14241,-10431,2640,188
1729739299.3112018,RIGHT_HAND,6744,-19864,11156,-15456,-11738,4165,189
1729739299.3119586,RIGHT_HAND,6368,-19356,12896,-18058,-12720,4974,190
1729739299.3563159,RIGHT_HAND,6312,-17676,11952,-18336,-13958,5893,191
1729739299.4462464,RIGHT_HAND,6664,-17116,11428,-17014,-12677,6553,192
1729739299.446986,RIGHT_HAND,7084,-16484,11968,-16901,-11041,6790,193
1729739299.4482307,RIGHT_HAND,7220,-14768,11164,-16092,-11447,6726,194
1729739299.449038,RIGHT_HAND,7488,-13484,9740,-14154,-10012,5763,195
1729739299.4912586,RIGHT_HAND,7096,-12584,9444,-11229,-7645,5268,196
1729739299.5362287,RIGHT_HAND,7520,-11364,9304,-9624,-5544,4730,197
1729739299.5812473,RIGHT_HAND,7636,-9968,9204,-8316,-6657,4075,198
1729739299.5819867,RIGHT_HAND,7104,-8696,8632,-5805,-8792,3740,199
1729739299.6273057,RIGHT_HAND,6624,-8468,7920,-1513,-9963,3616,200
1729739299.6712081,RIGHT_HAND,6344,-9340,7884,1998,-10464,3643,201
1729739299.671936,RIGHT_HAND,6300,-10608,8000,4770,-10708,3360,202
1729739299.7163043,RIGHT_HAND,6180,-12712,7880,8445,-11268,3166,203
1729739299.7614934,RIGHT_HAND,6268,-13468,7080,8602,-12063,2563,204
1729739299.7622037,RIGHT_HAND,6364,-14836,8140,11263,-14542,3576,205
1729739299.8078136,RIGHT_HAND,5944,-16600,9756,13799,-21284,3752,206
1729739299.8512535,RIGHT_HAND,3732,-16192,7840,11958,-25959,2107,207
1729739299.8520095,RIGHT_HAND,2268,-15484,6936,12664,-27112,1806,208
1729739299.8962498,RIGHT_HAND,1780,-16848,6504,13581,-29307,-572,209
1729739299.941281,RIGHT_HAND,-24,-16548,8076,9452,-28132,-1259,210
1729739299.9420893,RIGHT_HAND,-632,-16580,7080,5492,-32577,935,211
1729739299.9863005,RIGHT_HAND,-664,-17412,5720,4189,-32768,1720,212
1729739300.031288,RIGHT_HAND,-68,-16700,4544,1926,-27056,682,213
1729739300.0765762,RIGHT_HAND,820,-15268,2864,176,-16140,-419,214
1729739300.0773048,RIGHT_HAND,1588,-14004,2976,1233,-7341,-697,215
1729739300.1212223,RIGHT_HAND,3252,-13940,1972,1910,-3431,-135,216
1729739300.1661918,RIGHT_HAND,4896,-16112,1412,2275,694,-1128,217
1729739300.1669314,RIGHT_HAND,4744,-17020,4564,-873,4644,-2693,218
1729739300.2111833,RIGHT_HAND,4736,-16044,6012,-4974,4766,-2481,219
1729739300.301175,RIGHT_HAND,5132,-14284,6472,-4873,4785,-1598,220
