time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739311.6393018,RIGHT_LEG,14496,3268,6168,-1059,52,-496,127
1729739311.684623,RIGHT_LEG,13852,4304,7632,-1289,598,114,129
1729739311.7750816,RIGHT_LEG,14012,3116,8000,-1383,-536,-160,131
1729739311.819334,RIGHT_LEG,14460,3288,8112,-1612,-1332,-102,133
1729739311.8644707,RIGHT_LEG,15076,2740,7912,-2268,-2135,-103,135
1729739311.9100804,RIGHT_LEG,15088,3824,6984,-2220,-2116,398,136
1729739311.9543102,RIGHT_LEG,16012,5100,6696,-3512,-1574,1030,137
1729739311.9989955,RIGHT_LEG,16824,2044,7628,-3396,-233,2611,138
1729739312.044465,RIGHT_LEG,14540,860,10536,-3970,-470,802,139
1729739312.134471,RIGHT_LEG,10204,1652,14608,-948,-1717,1004,140
1729739312.1352732,RIGHT_LEG,9120,-1188,15584,-3882,476,2926,141
1729739312.1793175,RIGHT_LEG,4800,2748,21748,-16325,6320,-4151,142
1729739312.1800709,RIGHT_LEG,6040,1344,21588,-18847,12052,-5650,143
1729739312.1807601,RIGHT_LEG,6948,896,19180,-27033,14452,-9048,144
1729739312.2275383,RIGHT_LEG,8468,3356,17104,-22873,17235,-5916,145
1729739312.2693348,RIGHT_LEG,9584,4972,13228,-13585,18314,-2121,146
1729739312.2701066,RIGHT_LEG,10412,2368,14860,-8689,18134,-1983,147
1729739312.3142598,RIGHT_LEG,11292,4124,12956,-5329,17007,-2817,148
1729739312.359208,RIGHT_LEG,12720,4960,11136,-2150,15813,-3816,149
1729739312.3598976,RIGHT_LEG,13404,3976,12268,-734,13948,-4921,150
1729739312.4043212,RIGHT_LEG,13448,6668,10252,1926,12675,-5685,151
1729739312.4492939,RIGHT_LEG,14228,7360,9548,9061,10870,-3486,152
1729739312.450108,RIGHT_LEG,15188,5456,8104,12172,7812,-3196,153
1729739312.4946754,RIGHT_LEG,15848,1292,11784,10641,4997,-2303,154
1729739312.5394158,RIGHT_LEG,13248,-400,9328,3214,1016,-4118,155
1729739312.540292,RIGHT_LEG,12732,3316,8332,3121,-1789,-5850,156
1729739312.5842896,RIGHT_LEG,12196,268,11944,5595,-5719,-5384,157
1729739312.6295521,RIGHT_LEG,9740,-4812,23484,4693,266,-5859,158
1729739312.63033,RIGHT_LEG,12384,-4164,14416,-7326,-159,-4833,159
1729739312.6746073,RIGHT_LEG,7624,-2176,8080,-10431,-3567,-6206,160
1729739312.7194874,RIGHT_LEG,8396,3020,13928,-3032,-2801,-5176,161
1729739312.76463,RIGHT_LEG,11532,4064,17236,5464,-1209,-62,162
1729739312.7655132,RIGHT_LEG,10956,728,15424,3295,-1433,1902,163
1729739312.8098688,RIGHT_LEG,12988,4316,15408,1719,-1532,422,164
1729739312.899353,RIGHT_LEG,12064,1908,13780,1342,-1301,2343,165
1729739312.90012,RIGHT_LEG,11792,2452,14124,-1828,-704,137,166
1729739312.9443936,RIGHT_LEG,12592,696,15368,-797,952,4087,167
1729739312.945141,RIGHT_LEG,10808,824,12344,-6075,1133,3750,168
1729739312.9458802,RIGHT_LEG,9652,6568,13996,-5809,2184,1580,169
1729739312.989553,RIGHT_LEG,12836,-2528,9732,-12591,-2108,2068,170
1729739313.0343916,RIGHT_LEG,12164,2616,10076,-19867,-4432,-3497,171
1729739313.0351746,RIGHT_LEG,13176,2256,9852,-16166,-6314,-984,172
1729739313.079502,RIGHT_LEG,12812,2168,9892,-12392,-8064,44,173
1729739313.1248364,RIGHT_LEG,14520,2476,10108,-7692,-9819,1849,174
1729739313.1256223,RIGHT_LEG,14468,4440,11044,2166,-9753,5418,175
1729739313.1696987,RIGHT_LEG,14260,3476,11432,9044,-9707,8649,176
1729739313.2143219,RIGHT_LEG,12536,2740,11124,13831,-9945,10873,177
1729739313.2150931,RIGHT_LEG,11592,3036,11268,16679,-11173,11333,178
1729739313.2595394,RIGHT_LEG,11012,1796,11692,17247,-13339,10505,179
1729739313.3044002,RIGHT_LEG,11052,2808,12852,16783,-14697,8819,180
