time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739757.957269,RIGHT_HAND,5832,-16768,-4796,-4465,3105,1,57
1729739758.04607,RIGHT_HAND,5900,-17928,-7280,-6353,687,1749,59
1729739758.0905302,RIGHT_HAND,5472,-19948,-10048,-11758,-1349,3714,61
1729739758.180299,RIGHT_HAND,4096,-21144,-10236,-15537,-2348,5504,63
1729739758.225279,RIGHT_HAND,5152,-23224,-11208,-20184,1588,9395,65
1729739758.2713702,RIGHT_HAND,4208,-21168,-9764,-23739,-2684,4808,67
1729739758.315271,RIGHT_HAND,3328,-20284,-10376,-23763,-1119,3811,68
1729739758.3601956,RIGHT_HAND,4024,-18892,-10284,-24569,2487,1145,69
1729739758.3609316,RIGHT_HAND,3340,-17388,-9520,-23678,1291,-897,70
1729739758.4053116,RIGHT_HAND,2424,-16168,-9644,-23160,2894,-1690,71
1729739758.4501622,RIGHT_HAND,3084,-15204,-9960,-24242,6934,-2776,72
1729739758.45088,RIGHT_HAND,3176,-12692,-8900,-24183,6523,-3797,73
1729739758.4952042,RIGHT_HAND,3008,-10876,-8220,-22735,6370,-3992,74
1729739758.58528,RIGHT_HAND,3548,-9044,-9220,-22661,8601,-4398,75
1729739758.5859947,RIGHT_HAND,4148,-6332,-7144,-21685,9648,-6194,76
1729739758.5871496,RIGHT_HAND,4480,-3164,-6656,-20103,5980,-6176,77
1729739758.587863,RIGHT_HAND,4320,-1284,-7748,-15975,4588,-4808,78
1729739758.6753142,RIGHT_HAND,4956,272,-6844,-13119,5890,-5197,79
1729739758.676063,RIGHT_HAND,4208,1600,-4980,-10110,818,-4447,80
1729739758.7202046,RIGHT_HAND,3780,2484,-6388,-7510,-1149,-3598,81
1729739758.765196,RIGHT_HAND,3880,3132,-6440,-6192,1036,-2602,82
1729739758.7659178,RIGHT_HAND,3732,3468,-6520,-3539,357,-1977,83
1729739758.8103354,RIGHT_HAND,3504,4232,-5476,-1539,1227,-1879,84
1729739758.8552809,RIGHT_HAND,3820,4300,-6260,821,-381,-603,85
1729739758.8559728,RIGHT_HAND,3716,3724,-7668,3387,-2076,222,86
1729739758.9003792,RIGHT_HAND,3588,3064,-8520,4221,-1741,1268,87
1729739758.9451773,RIGHT_HAND,3648,2628,-8488,5591,-1139,2085,88
1729739758.9458492,RIGHT_HAND,4252,1956,-8960,7242,-53,2110,89
1729739758.9901898,RIGHT_HAND,3960,1072,-8624,8970,-1579,2711,90
