time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739661.2487957,RIGHT_LEG,14968,2508,6612,180,-281,-87,118
1729739661.338293,RIGHT_LEG,15076,2492,6524,187,-368,-32,120
1729739661.3859527,RIGHT_LEG,14948,2384,6696,209,-395,-8,122
1729739661.4285529,RIGHT_LEG,14992,2508,6412,199,-387,37,124
1729739661.5184186,RIGHT_LEG,15180,2456,6492,102,-449,84,126
1729739661.5193937,RIGHT_LEG,14996,2552,6348,168,-397,204,127
1729739661.563333,RIGHT_LEG,15016,2336,6404,155,-358,169,128
1729739661.6085372,RIGHT_LEG,15016,2480,6524,198,-390,93,129
1729739661.6095934,RIGHT_LEG,15024,2304,6400,237,-454,53,130
1729739661.6533015,RIGHT_LEG,15136,2380,5960,122,-330,7,131
1729739661.69816,RIGHT_LEG,15112,2356,6424,268,-251,76,132
1729739661.6987495,RIGHT_LEG,15072,2180,6324,227,-288,14,133
1729739661.7433686,RIGHT_LEG,15184,2488,6228,303,-204,19,134
1729739661.7885456,RIGHT_LEG,15076,2388,6212,371,-99,-30,135
1729739661.7893813,RIGHT_LEG,15192,2308,6008,321,-82,-67,136
1729739661.833313,RIGHT_LEG,15112,2348,6392,377,-29,-79,137
1729739661.8783884,RIGHT_LEG,15056,2496,6516,492,-81,-56,138
1729739661.8791823,RIGHT_LEG,15028,2632,6024,280,-9,-137,139
1729739661.9684713,RIGHT_LEG,14984,2452,6472,458,-8,-5,140
1729739662.0130022,RIGHT_LEG,15064,2512,6384,271,-42,-152,141
1729739662.0134647,RIGHT_LEG,15104,2432,6480,368,1,-116,142
1729739662.0138676,RIGHT_LEG,14956,2420,6380,298,-6,-120,143
1729739662.0584142,RIGHT_LEG,15072,2452,6408,297,-21,-140,144
1729739662.1034315,RIGHT_LEG,15056,2496,6440,322,-36,-103,145
1729739662.104196,RIGHT_LEG,14908,2568,6592,328,-48,-85,146
1729739662.1935422,RIGHT_LEG,15060,2676,6360,252,-88,-95,147
1729739662.238159,RIGHT_LEG,15104,2484,6212,230,-66,-42,148
1729739662.2389667,RIGHT_LEG,15072,2440,6524,200,-43,-17,149
1729739662.239779,RIGHT_LEG,14964,2476,6264,151,-43,41,150
1729739662.2839413,RIGHT_LEG,14944,2624,6356,124,-14,46,151
1729739662.3283408,RIGHT_LEG,14996,2608,6308,241,34,163,152
1729739662.3733737,RIGHT_LEG,15044,2416,6312,221,84,137,153
1729739662.4184942,RIGHT_LEG,15088,2304,6496,139,73,113,154
1729739662.4193008,RIGHT_LEG,15128,2508,6332,169,86,103,155
1729739662.463428,RIGHT_LEG,14980,2200,6680,140,29,73,156
1729739662.5088084,RIGHT_LEG,15164,2424,6520,20,-46,-37,157
1729739662.509587,RIGHT_LEG,15004,2388,6332,93,3,-8,158
1729739662.5538826,RIGHT_LEG,14792,2728,6488,126,-35,-159,159
1729739662.5984368,RIGHT_LEG,14908,2248,6500,109,-89,-72,160
1729739662.59931,RIGHT_LEG,15020,2296,6652,188,-86,-1,161
1729739662.6437674,RIGHT_LEG,15052,2504,6656,162,-70,-8,162
1729739662.6885757,RIGHT_LEG,14948,2348,6332,319,21,40,163
1729739662.6893492,RIGHT_LEG,14980,2332,6532,322,39,55,164
1729739662.733498,RIGHT_LEG,15024,2400,6432,263,42,-7,165
1729739662.7783642,RIGHT_LEG,14800,2224,6420,301,44,18,166
1729739662.7791104,RIGHT_LEG,15252,2408,6500,256,36,-23,167
1729739662.823602,RIGHT_LEG,14884,2216,6752,351,42,-80,168
1729739662.9135737,RIGHT_LEG,14868,2432,6504,278,27,-74,169
1729739662.9143343,RIGHT_LEG,15112,2464,6576,315,-3,-73,170
1729739662.9598215,RIGHT_LEG,14956,2348,6508,309,41,-34,171
1729739662.9606023,RIGHT_LEG,14800,2224,6608,302,61,-47,172
1729739663.003517,RIGHT_LEG,15116,2392,6596,339,26,-35,173
1729739663.0043297,RIGHT_LEG,14896,2460,6700,293,32,22,174
1729739663.0485582,RIGHT_LEG,14848,2396,6704,327,66,23,175
1729739663.0934987,RIGHT_LEG,15040,2320,6596,246,58,24,176
1729739663.0943089,RIGHT_LEG,14920,2200,6692,272,21,16,177
1729739663.1835186,RIGHT_LEG,14924,2308,6596,238,-66,-3,178
1729739663.2284698,RIGHT_LEG,14920,2336,6540,218,16,-8,179
1729739663.229138,RIGHT_LEG,15004,2480,6748,297,41,80,180
1729739663.2298622,RIGHT_LEG,14848,2176,6756,185,-48,22,181
1729739663.273495,RIGHT_LEG,14860,2352,6616,188,-54,40,182
1729739663.2743049,RIGHT_LEG,14932,2112,6768,327,-22,45,183
1729739663.3189137,RIGHT_LEG,14860,2264,6704,203,-132,-50,184
1729739663.363551,RIGHT_LEG,14936,2400,6676,295,-74,-42,185
1729739663.364388,RIGHT_LEG,14776,2172,6992,287,-127,-68,186
1729739663.408914,RIGHT_LEG,14924,2392,6588,186,-203,-133,187
1729739663.4561174,RIGHT_LEG,14904,2560,6788,221,-146,-21,188
1729739663.4570158,RIGHT_LEG,14920,2160,6752,131,-160,-34,189
1729739663.4985046,RIGHT_LEG,14928,2044,6832,203,-275,-78,190
1729739663.5435102,RIGHT_LEG,14940,2412,6636,222,-303,-103,191
1729739663.5885484,RIGHT_LEG,14876,2348,6404,268,-283,-41,192
1729739663.5893698,RIGHT_LEG,14880,2252,6600,320,-206,-23,193
1729739663.6335526,RIGHT_LEG,14884,2208,6788,278,-210,-25,194
1729739663.6343293,RIGHT_LEG,14932,2388,6640,265,-221,-55,195
1729739663.678578,RIGHT_LEG,14924,2312,6424,327,-118,-21,196
