time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729739978.817038,RIGHT_HAND,5924,-16628,-2636,-1491,-1927,-451,134
1729739978.9061887,RIGHT_HAND,7500,-19156,-3856,-2577,1259,-5538,136
1729739978.9522762,RIGHT_HAND,10808,-20984,-8464,-10450,-448,-16211,138
1729739978.9961755,RIGHT_HAND,14160,-22788,-13800,-15261,2239,-23301,140
1729739979.1313477,RIGHT_HAND,16056,-22348,-14704,-28224,6174,-31591,142
1729739979.1767466,RIGHT_HAND,19736,-20200,-10108,-32768,7925,-32768,144
1729739979.17769,RIGHT_HAND,18640,-16388,-6988,-32768,-1558,-32768,145
1729739979.2211735,RIGHT_HAND,16980,-13644,-2972,-32768,-4844,-32768,146
1729739979.2218938,RIGHT_HAND,11868,-9808,932,-32768,-20276,-32768,147
1729739979.266283,RIGHT_HAND,8328,-7192,1964,-32768,-25302,-32768,148
1729739979.3117812,RIGHT_HAND,5448,-4620,5828,-32768,-26356,-32768,149
1729739979.3125598,RIGHT_HAND,2960,-764,7432,-32768,-31281,-27033,150
1729739979.3561952,RIGHT_HAND,492,1692,5720,-32768,-28205,-18136,151
1729739979.4013767,RIGHT_HAND,-508,2472,3768,-30495,-16831,-10300,152
1729739979.4462662,RIGHT_HAND,1180,4380,5760,-26085,-2972,-6332,153
1729739979.4469616,RIGHT_HAND,2756,9304,7020,-24419,71,-2201,154
1729739979.4912648,RIGHT_HAND,3196,11684,8972,-19079,-1540,-2902,155
1729739979.4920223,RIGHT_HAND,852,15552,13072,-16539,-6879,-242,156
1729739979.5363395,RIGHT_HAND,-1400,18152,13512,-12058,-7975,2356,157
1729739979.5811892,RIGHT_HAND,168,18644,13432,-7232,-3203,1886,158
1729739979.5818663,RIGHT_HAND,36,19836,13892,-7372,-4629,-43,159
1729739979.626194,RIGHT_HAND,-1712,20500,14404,-4793,1230,-2306,160
1729739979.671263,RIGHT_HAND,-1256,20136,15436,-3033,6840,-4543,161
1729739979.6719573,RIGHT_HAND,-708,20748,16384,-2158,6677,-7335,162
1729739979.7172968,RIGHT_HAND,-1992,20900,15616,-703,6972,-9638,163
1729739979.7611825,RIGHT_HAND,-3456,20876,15564,-1766,10331,-11526,164
1729739979.7618644,RIGHT_HAND,-4204,21960,16868,-3091,16587,-12696,165
1729739979.806226,RIGHT_HAND,-4956,23388,18364,-3034,21738,-13036,166
1729739979.851183,RIGHT_HAND,-4096,22016,18216,2368,27852,-10510,167
1729739979.851861,RIGHT_HAND,-3528,21768,19236,3723,20148,-7365,168
1729739979.8961935,RIGHT_HAND,-4020,21644,17740,10393,15907,-2443,169
1729739979.9413319,RIGHT_HAND,-3680,17532,14748,20056,13357,3746,170
1729739979.9423428,RIGHT_HAND,-2980,13928,12640,24464,4037,10005,171
1729739979.9859798,RIGHT_HAND,-1312,9924,6168,32767,-813,15708,172
1729739980.0312133,RIGHT_HAND,604,4040,1216,32767,-2996,21264,173
1729739980.0761702,RIGHT_HAND,2560,-3040,-2708,32767,2107,20718,174
1729739980.0768852,RIGHT_HAND,2236,-10236,1700,32767,6489,24419,175
1729739980.1222117,RIGHT_HAND,5200,-13044,-3648,29008,-15488,23534,176
1729739980.1661818,RIGHT_HAND,4080,-12984,-13248,14200,-31099,16665,177
1729739980.166859,RIGHT_HAND,-1812,-5564,-14032,-1368,-27938,12280,178
1729739980.2111883,RIGHT_HAND,-9284,5748,-17076,76,-25888,2774,179
1729739980.256312,RIGHT_HAND,-9840,9092,-18000,7654,3376,-2659,180
1729739980.2570674,RIGHT_HAND,-6228,1772,-17204,5440,11716,-6836,181
1729739980.3015125,RIGHT_HAND,-1392,1240,-15304,-8216,15770,-9776,182
1729739980.3462343,RIGHT_HAND,-716,8824,-11484,-7902,11714,-10032,183
1729739980.3469656,RIGHT_HAND,520,6660,-9256,-1632,6750,-11263,184
1729739980.3912997,RIGHT_HAND,992,5248,-9712,-311,-288,-10917,185
1729739980.4362016,RIGHT_HAND,1356,3048,-9312,181,-4787,-10760,186
1729739980.4369419,RIGHT_HAND,-456,3460,-6876,-1846,-6789,-10714,187
1729739980.4813516,RIGHT_HAND,-1280,7260,-9060,-2955,-8288,-10206,188
1729739980.5262227,RIGHT_HAND,-1128,6428,-9320,3369,-4383,-6568,189
1729739980.5269706,RIGHT_HAND,-2640,6328,-7064,1966,833,-5227,190
1729739980.571335,RIGHT_HAND,-1888,9036,-10124,4348,3205,-4584,191
1729739980.616244,RIGHT_HAND,-2004,8852,-9448,9621,8152,-1318,192
1729739980.6612322,RIGHT_HAND,-2212,9744,-10340,11708,9499,-138,193
1729739980.6619842,RIGHT_HAND,-824,9968,-12320,16253,12552,3359,194
1729739980.706207,RIGHT_HAND,164,9148,-13020,19734,18204,7502,195
1729739980.7069497,RIGHT_HAND,1856,8092,-13852,20093,20737,8954,196
1729739980.7963138,RIGHT_HAND,2736,8388,-15532,25293,19824,12918,197
1729739980.8412201,RIGHT_HAND,4336,2976,-17096,26447,20185,17703,198
1729739980.8419533,RIGHT_HAND,4916,-440,-15700,26810,19158,16825,199
1729739980.8426988,RIGHT_HAND,4036,-88,-15460,27992,16012,18217,200
1729739980.8864887,RIGHT_HAND,4868,-3676,-17704,28894,12659,18570,201
1729739980.9312046,RIGHT_HAND,4520,-5888,-13908,29325,12141,22669,202
1729739980.9319398,RIGHT_HAND,5484,-9892,-14160,30076,8213,22285,203
1729739980.97681,RIGHT_HAND,5572,-13564,-14752,31194,6717,21011,204
1729739981.021219,RIGHT_HAND,4136,-17076,-12904,32767,5999,19246,205
1729739981.021964,RIGHT_HAND,3540,-20740,-10732,31807,7291,20080,206
1729739981.066227,RIGHT_HAND,3120,-24320,-9352,26304,13143,20266,207
1729739981.111239,RIGHT_HAND,4556,-26212,-7120,21549,22807,18035,208
1729739981.1119869,RIGHT_HAND,6960,-26888,-4140,12851,26176,14050,209
1729739981.1563957,RIGHT_HAND,8148,-24564,-2616,3093,16762,8725,210
1729739981.2012281,RIGHT_HAND,7384,-20832,-3096,-569,12078,2106,211
1729739981.2019935,RIGHT_HAND,6040,-17796,-3576,-271,10088,-2676,212
1729739981.2462182,RIGHT_HAND,5308,-16176,-2520,-21,12618,-4662,213
1729739981.2912567,RIGHT_HAND,5176,-15328,-2128,-399,10186,-4925,214
1729739981.3812342,RIGHT_HAND,5348,-15336,-3036,-198,11023,-4971,215
1729739981.383123,RIGHT_HAND,5160,-15304,-1428,126,13136,-5408,216
1729739981.3838346,RIGHT_HAND,4992,-14576,284,-224,11133,-4374,217
1729739981.426257,RIGHT_HAND,5096,-15052,496,715,2077,-1482,218
