time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729740004.6447775,RIGHT_LEG,14812,3688,6292,132,113,289,115
1729740004.7342153,RIGHT_LEG,14712,3784,6152,-106,208,396,117
1729740004.7796726,RIGHT_LEG,14620,3752,6272,-262,346,584,119
1729740004.8690956,RIGHT_LEG,14940,3372,6716,-520,309,591,121
1729740004.9142077,RIGHT_LEG,14808,3220,6788,-650,58,562,123
1729740005.0043561,RIGHT_LEG,14820,2952,6824,-606,-39,545,124
1729740005.0052009,RIGHT_LEG,14924,3084,6832,-662,-191,408,125
1729740005.0492547,RIGHT_LEG,14832,2928,6772,-489,-249,453,126
1729740005.0499666,RIGHT_LEG,14920,2940,6872,-413,-306,385,127
1729740005.0506816,RIGHT_LEG,14796,2888,6592,-264,-301,398,128
1729740005.0948648,RIGHT_LEG,14800,2876,6628,-239,-333,298,129
1729740005.1393929,RIGHT_LEG,14988,2924,6572,-236,-269,347,130
1729740005.184577,RIGHT_LEG,14852,2896,6304,-227,-200,360,131
1729740005.1853504,RIGHT_LEG,14760,2396,6440,-84,-33,352,132
1729740005.2300293,RIGHT_LEG,15020,2860,6732,-122,-52,191,133
1729740005.230813,RIGHT_LEG,14808,2448,6884,-94,-199,81,134
1729740005.274494,RIGHT_LEG,14904,2604,6664,-53,-311,6,135
1729740005.3195686,RIGHT_LEG,14756,2524,6600,23,-408,-39,136
1729740005.3204143,RIGHT_LEG,14848,2596,6684,-179,-460,-165,137
1729740005.3645108,RIGHT_LEG,14872,2724,6868,-126,-608,-218,138
1729740005.4093769,RIGHT_LEG,14888,2412,7152,-5,-852,-368,139
1729740005.410175,RIGHT_LEG,14796,2332,7120,144,-1289,-604,140
1729740005.4546192,RIGHT_LEG,15084,2448,6952,214,-1582,-832,141
1729740005.5446906,RIGHT_LEG,15028,2824,6436,500,-1639,-729,142
1729740005.5455482,RIGHT_LEG,15012,3056,5552,743,-1396,-618,143
1729740005.589408,RIGHT_LEG,15220,3404,5596,792,-997,-498,144
1729740005.590122,RIGHT_LEG,14924,3676,5624,1017,-622,-158,145
1729740005.590815,RIGHT_LEG,15144,3484,5288,1160,-180,139,146
1729740005.6348798,RIGHT_LEG,15296,3364,5136,1056,394,249,147
1729740005.724478,RIGHT_LEG,15424,2828,5820,939,917,187,148
1729740005.7695303,RIGHT_LEG,14752,3224,6320,547,966,180,149
1729740005.770316,RIGHT_LEG,14924,3452,6780,487,677,362,150
1729740005.8144832,RIGHT_LEG,14704,2804,6716,579,367,506,151
1729740005.815303,RIGHT_LEG,15228,2392,6724,527,110,188,152
1729740005.8160965,RIGHT_LEG,14996,2572,6656,758,-184,-77,153
1729740005.8593845,RIGHT_LEG,15040,2748,6584,1076,-342,-205,154
1729740005.9044957,RIGHT_LEG,15108,3028,6476,1160,-421,-320,155
1729740005.905263,RIGHT_LEG,14980,3172,5636,1045,-199,-260,156
1729740005.9493935,RIGHT_LEG,15212,3748,6052,870,34,-141,157
1729740005.9945219,RIGHT_LEG,14940,3656,5908,669,248,207,158
1729740005.9952257,RIGHT_LEG,14568,3700,5944,152,421,352,159
1729740006.039518,RIGHT_LEG,14776,3312,5944,-248,601,545,160
1729740006.0844696,RIGHT_LEG,14876,3416,6120,-488,751,699,161
1729740006.0852396,RIGHT_LEG,14848,3144,6236,-456,853,893,162
1729740006.1295366,RIGHT_LEG,14840,3068,6548,-494,875,968,163
1729740006.1745183,RIGHT_LEG,14760,2704,6648,-478,871,986,164
1729740006.1752834,RIGHT_LEG,14960,2440,6832,-359,758,930,165
1729740006.219407,RIGHT_LEG,14744,2504,6560,-309,744,800,166
1729740006.2645662,RIGHT_LEG,15116,2424,6840,-314,739,735,167
1729740006.2653246,RIGHT_LEG,14764,2484,6912,-395,639,705,168
1729740006.3098416,RIGHT_LEG,14648,2004,6820,-215,616,656,169
1729740006.399543,RIGHT_LEG,15084,2252,7116,-140,547,538,170
1729740006.4003065,RIGHT_LEG,14732,2020,7128,-153,427,435,171
1729740006.4445179,RIGHT_LEG,14676,1984,7004,-128,356,328,172
1729740006.4452639,RIGHT_LEG,14968,2164,7168,68,305,253,173
1729740006.5344946,RIGHT_LEG,14748,1860,7108,93,277,108,174
1729740006.5352533,RIGHT_LEG,14664,2040,7120,187,188,-44,175
1729740006.5794983,RIGHT_LEG,14588,1992,7208,277,82,-77,176
1729740006.5801833,RIGHT_LEG,14656,2240,7396,216,-131,-200,177
1729740006.5809515,RIGHT_LEG,14712,2184,7340,181,-356,-243,178
1729740006.6245065,RIGHT_LEG,14744,1864,7092,252,-398,-374,179
1729740006.6694,RIGHT_LEG,14704,2236,7468,350,-570,-473,180
1729740006.714797,RIGHT_LEG,14788,2128,7248,388,-843,-566,181
1729740006.7156065,RIGHT_LEG,14536,2320,6956,596,-867,-531,182
1729740006.7594934,RIGHT_LEG,14892,2504,7108,699,-872,-539,183
1729740006.8493726,RIGHT_LEG,14836,2328,6820,738,-867,-543,184
1729740006.850167,RIGHT_LEG,14952,2420,6884,646,-811,-615,185
1729740006.8941634,RIGHT_LEG,14816,2768,6528,531,-740,-631,186
1729740006.8948386,RIGHT_LEG,14808,2632,6392,534,-654,-525,187
1729740006.9395127,RIGHT_LEG,14976,2708,6632,429,-545,-535,188
1729740006.9844668,RIGHT_LEG,14828,2732,6660,505,-444,-402,189
1729740006.9852216,RIGHT_LEG,14892,2672,6712,492,-394,-421,190
1729740007.0290198,RIGHT_LEG,14892,2548,6616,711,-426,-428,191
1729740007.0743258,RIGHT_LEG,14856,2504,6868,615,-528,-536,192
1729740007.0747988,RIGHT_LEG,14828,2796,6716,766,-635,-526,193
1729740007.1196225,RIGHT_LEG,14828,2680,6752,1001,-717,-528,194
1729740007.164429,RIGHT_LEG,15104,2752,6712,937,-848,-590,195
1729740007.165403,RIGHT_LEG,14872,2900,6656,622,-959,-677,196
1729740007.2095678,RIGHT_LEG,14868,3012,6456,773,-995,-671,197
1729740007.254495,RIGHT_LEG,14896,2920,6440,639,-988,-687,198
