time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741207.0160115,RIGHT_HAND,6780,-14708,3960,-615,-1005,22,7
1729741207.0609848,RIGHT_HAND,7552,-15024,5068,-164,-1926,275,9
1729741207.1090016,RIGHT_HAND,9824,-14980,7476,445,-13471,-80,11
1729741207.197952,RIGHT_HAND,12696,-14456,5468,4704,-20588,-1601,13
1729741207.2438853,RIGHT_HAND,14388,-13624,2988,5038,-18717,-7304,15
1729741207.2867439,RIGHT_HAND,18716,-14160,5084,2018,-6380,-16143,17
1729741207.3316011,RIGHT_HAND,20588,-12032,5064,2993,-8241,-18799,18
1729741207.3763845,RIGHT_HAND,21640,-11888,4788,7634,-12898,-18581,19
1729741207.3773994,RIGHT_HAND,21848,-14148,4252,8861,-16584,-19798,20
1729741207.421346,RIGHT_HAND,20840,-15160,6056,7754,-19224,-21040,21
1729741207.4665387,RIGHT_HAND,21428,-15704,3544,5928,-19969,-22804,22
1729741207.467512,RIGHT_HAND,20036,-14876,2352,4646,-20275,-23766,23
1729741207.512043,RIGHT_HAND,19012,-14216,1644,3645,-18180,-23064,24
1729741207.556156,RIGHT_HAND,17616,-13432,-20,698,-17816,-22879,25
1729741207.556882,RIGHT_HAND,15228,-11208,-432,-1445,-18105,-21103,26
1729741207.6011956,RIGHT_HAND,12328,-9012,-912,-3011,-17742,-18305,27
1729741207.6464334,RIGHT_HAND,10972,-7776,-3452,-4334,-17110,-15251,28
1729741207.6913455,RIGHT_HAND,9640,-6096,-3452,-5641,-14042,-12981,29
1729741207.6921375,RIGHT_HAND,8724,-5060,-3628,-5671,-12243,-9838,30
1729741207.737505,RIGHT_HAND,8184,-3944,-3240,-5392,-12516,-7638,31
1729741207.7815678,RIGHT_HAND,8280,-3780,-4384,-3815,-10585,-5839,32
1729741207.7823339,RIGHT_HAND,9732,-4300,-3932,-1406,-7254,-5779,33
1729741207.826513,RIGHT_HAND,11288,-5620,-2908,1573,-7041,-7596,34
1729741207.8714228,RIGHT_HAND,11436,-7164,-1672,5874,-5138,-10841,35
1729741207.8722107,RIGHT_HAND,10740,-7488,-300,9312,-2362,-15035,36
1729741207.916495,RIGHT_HAND,11856,-5604,-1804,11747,909,-18195,37
1729741207.9615304,RIGHT_HAND,13464,-1552,-4988,14154,5424,-19532,38
1729741207.9622962,RIGHT_HAND,11908,3500,-7476,15219,-886,-17733,39
1729741208.0064085,RIGHT_HAND,8116,5828,-15060,13134,-16151,-15143,40
1729741208.1414876,RIGHT_HAND,1724,7404,-19292,10691,-20940,-13607,41
1729741208.142341,RIGHT_HAND,-3876,10452,-20468,5403,-19629,-7196,42
1729741208.186437,RIGHT_HAND,-6444,10932,-23108,1872,-16686,-256,43
1729741208.1871955,RIGHT_HAND,-6380,8648,-22008,-2040,-9837,6932,44
1729741208.1879067,RIGHT_HAND,-3148,6980,-21228,-5040,750,12072,45
1729741208.2765026,RIGHT_HAND,52,6588,-18104,-7266,7819,16162,46
1729741208.2772393,RIGHT_HAND,3744,4468,-15120,-7423,8887,20435,47
1729741208.2779512,RIGHT_HAND,8112,16,-14240,-8161,8520,22042,48
1729741208.3212848,RIGHT_HAND,10960,-4156,-12896,-9823,14084,19790,49
1729741208.3221943,RIGHT_HAND,15164,-6096,-7220,-12625,16917,16629,50
1729741208.3229926,RIGHT_HAND,16884,-5344,-4648,-13871,4870,12247,51
1729741208.3663812,RIGHT_HAND,15356,-3388,-6108,-10801,-5919,9479,52
1729741208.4115567,RIGHT_HAND,13576,-3672,-6824,-5755,-5598,6094,53
1729741208.4562929,RIGHT_HAND,11304,-4396,-7284,-2892,-5634,2121,54
1729741208.4570694,RIGHT_HAND,8964,-3532,-8000,-919,-2872,-1857,55
1729741208.50182,RIGHT_HAND,7216,-2580,-7848,512,2725,-3897,56
1729741208.5465825,RIGHT_HAND,6096,-2484,-7560,1219,6208,-4011,57
1729741208.547351,RIGHT_HAND,5824,-1732,-7636,510,9376,-2538,58
1729741208.591533,RIGHT_HAND,5168,16,-7616,-1203,11281,2246,59
1729741208.6363626,RIGHT_HAND,5016,-692,-7160,-1859,12312,7563,60
1729741208.637156,RIGHT_HAND,6880,-1492,-6496,-1639,16199,11616,61
1729741208.6818724,RIGHT_HAND,9956,-3168,-7096,-3979,21464,14490,62
1729741208.7265055,RIGHT_HAND,12368,-5320,-3036,-5499,29624,16877,63
1729741208.7272782,RIGHT_HAND,14632,-5272,-740,-8947,31291,17577,64
1729741208.7719405,RIGHT_HAND,19292,-5304,536,-8902,32767,18489,65
1729741208.8168342,RIGHT_HAND,20708,-7988,6752,-6828,26548,19202,66
1729741208.8176477,RIGHT_HAND,20924,-8892,6540,-11580,14723,18682,67
1729741208.8615804,RIGHT_HAND,21636,-6256,4772,-10663,9888,19469,68
1729741208.9064796,RIGHT_HAND,20588,-8356,4396,-6084,7109,20609,69
1729741208.9072433,RIGHT_HAND,19820,-11208,4464,-7904,9144,19074,70
1729741208.951198,RIGHT_HAND,18940,-11048,5028,-11382,7272,17358,71
1729741208.9968088,RIGHT_HAND,16660,-10204,4660,-10391,7373,17532,72
1729741208.997605,RIGHT_HAND,16924,-12200,4924,-8595,12479,17708,73
1729741209.0415745,RIGHT_HAND,17616,-14252,5012,-10531,10736,15260,74
1729741209.0864928,RIGHT_HAND,15164,-13256,5540,-11899,6692,14144,75
1729741209.0872142,RIGHT_HAND,13884,-12912,5140,-10210,5188,14970,76
1729741209.1315646,RIGHT_HAND,13844,-15132,4656,-7608,4576,15081,77
1729741209.1766164,RIGHT_HAND,12932,-16820,4592,-6046,3484,12944,78
1729741209.2215354,RIGHT_HAND,10964,-15984,4560,-6344,2506,10168,79
1729741209.2223027,RIGHT_HAND,10252,-15108,3476,-4488,6751,7878,80
1729741209.2663677,RIGHT_HAND,10460,-15768,4416,-2389,10094,5484,81
1729741209.311388,RIGHT_HAND,10396,-15684,3592,-2192,10278,2375,82
1729741209.3121912,RIGHT_HAND,9316,-14776,4652,-930,10299,484,83
1729741209.3565655,RIGHT_HAND,8820,-14240,5048,-156,9680,-286,84
