time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451179.0339165,RIGHT_HAND,-6712,15216,5652,-1134,-278,-1837,61
1730451179.1236873,RIGHT_HAND,-10336,13740,8148,-3019,-5023,-7705,63
1730451179.1686513,RIGHT_HAND,-14552,12056,8372,-3238,-6644,-14601,65
1730451179.2143786,RIGHT_HAND,-16796,12464,10924,-14006,-138,-14651,67
1730451179.3036542,RIGHT_HAND,-17044,13456,12688,-16778,11414,-17475,69
1730451179.348418,RIGHT_HAND,-17268,12836,11028,-14740,11995,-20686,71
1730451179.3931782,RIGHT_HAND,-16476,11940,11208,-13925,14043,-20451,72
1730451179.3939302,RIGHT_HAND,-15892,11448,10096,-13225,14688,-19646,73
1730451179.438229,RIGHT_HAND,-14988,10944,8052,-11010,15939,-19071,74
1730451179.4834592,RIGHT_HAND,-13380,9788,6760,-8110,18490,-16979,75
1730451179.5281928,RIGHT_HAND,-11272,8164,5200,-5881,19214,-14386,76
1730451179.528926,RIGHT_HAND,-10264,6700,3936,-3532,18112,-11718,77
1730451179.5732048,RIGHT_HAND,-9168,5816,2184,-2082,15659,-9013,78
1730451179.6181576,RIGHT_HAND,-8556,5160,2420,-1230,13017,-6256,79
1730451179.6189146,RIGHT_HAND,-8544,4564,1660,7,8738,-4765,80
1730451179.6632352,RIGHT_HAND,-9360,4024,1196,-411,6537,-3495,81
1730451179.7086532,RIGHT_HAND,-10236,4168,2696,-1576,4335,-3672,82
1730451179.7093842,RIGHT_HAND,-12096,4440,5076,-5689,1618,-5408,83
1730451179.7545118,RIGHT_HAND,-12652,5048,5672,-11061,2222,-8028,84
1730451179.7982233,RIGHT_HAND,-12876,4776,6272,-16966,5339,-9703,85
1730451179.798985,RIGHT_HAND,-12336,3804,5864,-19551,3851,-10935,86
1730451179.8882263,RIGHT_HAND,-11920,2556,3524,-20143,-119,-11254,87
1730451179.9342542,RIGHT_HAND,-11088,-360,-452,-19295,-3106,-9618,88
1730451179.9349296,RIGHT_HAND,-11840,-2764,-4288,-18073,-8493,-8096,89
1730451179.9356132,RIGHT_HAND,-12632,-3824,-7944,-17321,-11371,-6225,90
1730451179.9784389,RIGHT_HAND,-13872,-5392,-11188,-12759,-9786,-3706,91
1730451179.9792166,RIGHT_HAND,-14956,-5764,-12808,-9624,-7658,-2273,92
1730451180.0232341,RIGHT_HAND,-16992,-6964,-13904,-5005,-6000,-1183,93
1730451180.0721264,RIGHT_HAND,-16676,-6852,-14980,829,-1173,-236,94
1730451180.072855,RIGHT_HAND,-15916,-6852,-14456,5954,7257,1883,95
1730451180.1130033,RIGHT_HAND,-13800,-6620,-12316,10638,13216,4693,96
1730451180.1581733,RIGHT_HAND,-11528,-5700,-9832,14817,15897,8428,97
1730451180.1588244,RIGHT_HAND,-10704,-3836,-5876,16266,14140,12049,98
1730451180.203657,RIGHT_HAND,-11228,-1420,-1984,16621,5408,14967,99
1730451180.2482255,RIGHT_HAND,-14036,1664,812,14495,-8544,13580,100
1730451180.2937298,RIGHT_HAND,-17424,5396,4148,14882,-14443,8626,101
1730451180.294542,RIGHT_HAND,-18140,5848,3352,14871,-8500,5948,102
1730451180.3387535,RIGHT_HAND,-16504,3656,2280,11670,-2572,3044,103
1730451180.3831427,RIGHT_HAND,-13576,2728,2548,6604,1037,2259,104
1730451180.3839037,RIGHT_HAND,-11916,2336,1620,3202,1479,2600,105
1730451180.428297,RIGHT_HAND,-10920,1964,380,470,-842,2738,106
1730451180.4737122,RIGHT_HAND,-10836,1876,-704,-376,-3520,3476,107
1730451180.4744914,RIGHT_HAND,-10656,2496,-1448,41,-5086,4417,108
1730451180.518747,RIGHT_HAND,-10184,3376,-668,343,-5044,5176,109
1730451180.5632322,RIGHT_HAND,-10172,3804,152,1138,-5967,6688,110
1730451180.6080794,RIGHT_HAND,-10860,4196,88,2444,-7755,8118,111
1730451180.6088684,RIGHT_HAND,-11064,4972,928,2746,-9445,9165,112
1730451180.6530647,RIGHT_HAND,-11376,5632,2820,3238,-11543,11070,113
1730451180.6538713,RIGHT_HAND,-13140,5972,2528,5334,-14668,11835,114
1730451180.6981742,RIGHT_HAND,-13552,7648,4748,4929,-13386,13798,115
1730451180.7437239,RIGHT_HAND,-15008,7040,4208,5620,-12678,15544,116
1730451180.7445555,RIGHT_HAND,-16188,8868,4808,5591,-12068,16389,117
1730451180.7888231,RIGHT_HAND,-14800,11220,6368,5886,-6419,17181,118
1730451180.8332133,RIGHT_HAND,-14308,10012,7840,8368,-7613,16670,119
1730451180.833976,RIGHT_HAND,-14376,11176,7716,7437,-11443,15615,120
1730451180.8783016,RIGHT_HAND,-13324,12388,8348,5266,-11514,15272,121
1730451180.9238157,RIGHT_HAND,-13928,13528,8672,7272,-11908,13858,122
1730451180.9245973,RIGHT_HAND,-13716,13856,7092,9769,-8257,12526,123
1730451180.9688396,RIGHT_HAND,-12436,13804,7252,7944,-4805,12924,124
1730451181.0132258,RIGHT_HAND,-11952,14124,7496,6791,-5799,12001,125
1730451181.058698,RIGHT_HAND,-12052,15268,6924,7152,-4792,11230,126
1730451181.0594776,RIGHT_HAND,-11244,15508,6244,6720,-1552,10329,127
1730451181.1033072,RIGHT_HAND,-9664,14868,6352,4774,650,9625,128
1730451181.1482234,RIGHT_HAND,-8652,14800,6000,2775,848,8750,129
1730451181.1489882,RIGHT_HAND,-7900,14592,6000,901,-437,7037,130
1730451181.1931827,RIGHT_HAND,-7452,14524,5540,142,-3033,5158,131
1730451181.2386978,RIGHT_HAND,-7092,14832,5452,-613,-4677,3913,132
1730451181.2394767,RIGHT_HAND,-7468,15428,5136,-1041,-5386,2889,133
1730451181.3282695,RIGHT_HAND,-7356,14996,4604,-221,-4438,1688,134
1730451181.3737261,RIGHT_HAND,-6736,14352,4684,-897,-3309,1340,135
1730451181.3745012,RIGHT_HAND,-6208,14756,5120,-2440,-2146,1781,136
1730451181.418735,RIGHT_HAND,-5952,14424,5296,-2795,-282,1768,137
1730451181.4636445,RIGHT_HAND,-6004,14736,4780,-2220,113,251,138
1730451181.4644465,RIGHT_HAND,-5708,14712,4468,-2789,175,-149,139
1730451181.508699,RIGHT_HAND,-5216,15120,4376,-2843,727,154,140
1730451181.5537257,RIGHT_HAND,-4736,15436,4336,-2357,2079,275,141
1730451181.5545342,RIGHT_HAND,-4284,15368,4160,-1942,3568,374,142
1730451181.598185,RIGHT_HAND,-3768,15288,4224,-1743,4457,516,143
1730451181.6437812,RIGHT_HAND,-3384,15352,4056,-1950,4616,677,144
1730451181.6445768,RIGHT_HAND,-3232,15352,4200,-2154,3532,694,145
