time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1729741216.9630044,RIGHT_LEG,14912,2568,6900,442,-143,45,7
1729741217.0083628,RIGHT_LEG,14828,2372,6796,179,-385,-245,9
1729741217.098433,RIGHT_LEG,14928,2448,6980,636,-318,-73,11
1729741217.1431835,RIGHT_LEG,14696,2728,6588,688,-378,-203,13
1729741217.188881,RIGHT_LEG,14912,2544,6552,788,-481,-352,15
1729741217.2333174,RIGHT_LEG,14912,2684,6800,931,-492,-265,16
1729741217.278247,RIGHT_LEG,14840,2816,6692,763,-591,-323,17
1729741217.2789922,RIGHT_LEG,14956,2904,6452,803,-488,-276,18
1729741217.3232274,RIGHT_LEG,14844,2668,6736,841,-436,-265,19
1729741217.3682249,RIGHT_LEG,14880,2876,6576,592,-495,-376,20
1729741217.3689718,RIGHT_LEG,14968,2960,6504,662,-429,-277,21
1729741217.4133108,RIGHT_LEG,14848,2928,6356,508,-432,-311,22
1729741217.4591944,RIGHT_LEG,14952,3020,6408,465,-385,-296,23
1729741217.5491831,RIGHT_LEG,14988,3032,6416,386,-382,-280,24
1729741217.5499449,RIGHT_LEG,14920,3044,6360,306,-350,-256,25
1729741217.5931985,RIGHT_LEG,14832,3052,6312,179,-226,-186,26
1729741217.5938969,RIGHT_LEG,14896,3308,6288,268,-60,-33,27
1729741217.6383238,RIGHT_LEG,14912,3048,6324,154,38,72,28
1729741217.6832917,RIGHT_LEG,14980,3044,6360,296,184,203,29
1729741217.6840224,RIGHT_LEG,14960,2904,6432,218,239,278,30
1729741217.7282515,RIGHT_LEG,14852,2752,6328,69,279,239,31
1729741217.7732544,RIGHT_LEG,14784,2740,6688,-53,277,206,32
1729741217.7739491,RIGHT_LEG,14800,2632,6428,-541,177,94,33
1729741217.818228,RIGHT_LEG,14916,3372,6556,-68,327,288,34
1729741217.8632972,RIGHT_LEG,14888,2768,6640,-4,319,393,35
1729741217.908339,RIGHT_LEG,14884,2936,6704,-120,384,412,36
1729741217.9090874,RIGHT_LEG,14764,2924,6716,127,453,477,37
1729741217.9532332,RIGHT_LEG,14748,2664,7052,157,292,436,38
1729741217.9984884,RIGHT_LEG,14728,2388,7352,150,22,239,39
1729741217.9992886,RIGHT_LEG,14792,2232,7000,42,-259,-76,40
1729741218.0432284,RIGHT_LEG,14728,2420,6940,243,-406,-180,41
1729741218.0881882,RIGHT_LEG,14828,2452,6864,306,-558,-327,42
1729741218.088886,RIGHT_LEG,14924,2748,6632,291,-609,-448,43
1729741218.1334002,RIGHT_LEG,14752,2812,6728,507,-586,-306,44
1729741218.1782725,RIGHT_LEG,14936,2476,6880,274,-734,-492,45
1729741218.1789696,RIGHT_LEG,14992,2780,6464,495,-651,-370,46
1729741218.223697,RIGHT_LEG,14968,2652,6444,579,-518,-290,47
1729741218.268313,RIGHT_LEG,14888,2984,6280,585,-395,-170,48
1729741218.2690032,RIGHT_LEG,14908,3072,6544,628,-290,-46,49
1729741218.3135223,RIGHT_LEG,15040,2892,6188,422,-160,27,50
1729741218.358193,RIGHT_LEG,14844,3268,6208,352,51,112,51
1729741218.3588862,RIGHT_LEG,14836,2732,6668,150,26,113,52
1729741218.4033568,RIGHT_LEG,14944,2708,6824,96,-2,25,53
