time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451147.08496,RIGHT_LEG,14932,4728,5552,128,-142,-63,10
1730451147.1306403,RIGHT_LEG,15020,4748,5400,218,-334,22,12
1730451147.26536,RIGHT_LEG,14968,4632,5360,327,-471,66,14
1730451147.31197,RIGHT_LEG,14940,4724,5172,300,-603,50,16
1730451147.355208,RIGHT_LEG,15208,4528,5048,279,-669,85,18
1730451147.356203,RIGHT_LEG,15184,4612,4884,429,-612,90,19
1730451147.3998754,RIGHT_LEG,15004,4792,4840,299,-505,-4,20
1730451147.400568,RIGHT_LEG,15268,4676,4788,313,-456,10,21
1730451147.444949,RIGHT_LEG,14984,4576,5092,353,-486,26,22
1730451147.4899325,RIGHT_LEG,15168,4712,4700,265,-476,1,23
1730451147.4906204,RIGHT_LEG,15152,4812,4800,320,-382,33,24
1730451147.5349565,RIGHT_LEG,15196,4716,4744,252,-335,42,25
1730451147.579924,RIGHT_LEG,15148,4712,4716,268,-263,74,26
1730451147.5806127,RIGHT_LEG,15184,4568,4764,338,-114,44,27
1730451147.6249628,RIGHT_LEG,15208,4476,4796,243,34,-101,28
1730451147.6699495,RIGHT_LEG,15012,4664,4964,283,152,-137,29
1730451147.7149737,RIGHT_LEG,15120,4756,4640,286,254,-66,30
1730451147.7156672,RIGHT_LEG,15088,4660,5104,259,326,-161,31
1730451147.7603602,RIGHT_LEG,15204,4688,4952,155,297,-180,32
1730451147.8050368,RIGHT_LEG,15060,4764,4960,221,336,-172,33
1730451147.8057668,RIGHT_LEG,15100,4792,5184,232,233,-63,34
1730451147.8499718,RIGHT_LEG,15140,4740,5184,119,222,-140,35
1730451147.9408927,RIGHT_LEG,14920,4680,5048,108,257,-151,36
1730451147.9415839,RIGHT_LEG,15156,4676,5188,62,153,-214,37
1730451147.9849603,RIGHT_LEG,15032,4636,5336,6,70,-202,38
1730451147.9856198,RIGHT_LEG,15076,4628,5264,70,-15,-189,39
1730451147.986279,RIGHT_LEG,15012,4740,5156,112,-36,-196,40
1730451148.029988,RIGHT_LEG,15044,4752,5088,138,-3,-157,41
1730451148.0753405,RIGHT_LEG,15036,4652,5304,275,-14,-95,42
1730451148.0760098,RIGHT_LEG,15052,4804,5220,254,-106,-77,43
1730451148.1199195,RIGHT_LEG,14904,4652,5412,324,-234,-46,44
1730451148.1654675,RIGHT_LEG,14980,4672,5404,378,-367,-5,45
1730451148.166153,RIGHT_LEG,14976,4836,5296,380,-516,29,46
1730451148.2099102,RIGHT_LEG,15060,4876,5076,487,-525,91,47
1730451148.2552617,RIGHT_LEG,15152,4544,4992,531,-497,42,48
1730451148.25593,RIGHT_LEG,15036,4776,5144,443,-503,-53,49
1730451148.3000891,RIGHT_LEG,15164,4648,4980,415,-513,-1,50
1730451148.3449447,RIGHT_LEG,15024,4696,4992,499,-376,24,51
1730451148.3456397,RIGHT_LEG,15036,4692,5124,411,-359,-93,52
1730451148.3899744,RIGHT_LEG,14932,4688,4888,367,-246,-116,53
