time,name,Ax,Ay,Az,Gx,Gy,Gz,seq_num
1730451405.341749,RIGHT_HAND,-10152,12720,5616,3626,3839,-1803,26
1730451405.4309916,RIGHT_HAND,-11872,12708,10604,-5864,13609,-1609,28
1730451405.4763482,RIGHT_HAND,-12968,12624,18412,-12979,-3262,-17386,30
1730451405.5216615,RIGHT_HAND,-16012,16124,18216,-25820,3207,-21647,32
1730451405.6109612,RIGHT_HAND,-14140,19768,22108,-32768,19772,-20213,34
1730451405.6567597,RIGHT_HAND,-9680,18224,19132,-30821,20698,-24886,36
1730451405.7009416,RIGHT_HAND,-8044,15420,14576,-26668,16560,-24837,37
1730451405.745983,RIGHT_HAND,-7444,13384,11580,-23917,11223,-22886,38
1730451405.746737,RIGHT_HAND,-6256,11160,7088,-19931,10065,-20026,39
1730451405.7909935,RIGHT_HAND,-5156,9320,3580,-14382,11646,-15647,40
1730451405.8362918,RIGHT_HAND,-4128,7396,724,-9342,12224,-10832,41
1730451405.8370123,RIGHT_HAND,-3424,5480,-2484,-6141,13254,-8363,42
1730451405.8809981,RIGHT_HAND,-3148,5852,-2948,-3519,13932,-799,43
1730451405.9259648,RIGHT_HAND,-1616,5880,-532,1481,12382,6659,44
1730451405.9267192,RIGHT_HAND,-352,4788,-332,8144,8193,12252,45
1730451405.9710162,RIGHT_HAND,-560,3584,-360,11643,505,16633,46
1730451406.0159714,RIGHT_HAND,-1708,3928,1996,9743,-11283,20380,47
1730451406.016739,RIGHT_HAND,-5072,5828,5032,7559,-23742,23784,48
1730451406.0609763,RIGHT_HAND,-9628,9480,8820,7885,-32768,23806,49
1730451406.150902,RIGHT_HAND,-13204,14876,10512,12399,-32768,24218,50
1730451406.1515865,RIGHT_HAND,-15804,17096,13724,22282,-28612,21038,51
1730451406.153906,RIGHT_HAND,-15376,16696,17760,30098,-19808,18895,52
1730451406.154624,RIGHT_HAND,-14956,16264,17228,28685,-14554,19335,53
1730451406.2410114,RIGHT_HAND,-14036,17172,15980,23662,-8518,19201,54
1730451406.2428875,RIGHT_HAND,-12776,17876,16072,19381,-7649,17440,55
1730451406.2436302,RIGHT_HAND,-11144,17472,15332,17552,-9032,13516,56
1730451406.285998,RIGHT_HAND,-9992,15976,14124,16607,-9271,9805,57
1730451406.3315032,RIGHT_HAND,-8704,14092,11784,13422,-8732,7559,58
1730451406.3759704,RIGHT_HAND,-7920,13212,9964,8720,-8059,5969,59
1730451406.4213471,RIGHT_HAND,-7276,13876,9428,4513,-7219,5271,60
1730451406.4220762,RIGHT_HAND,-7064,14976,9420,2870,-5679,4491,61
1730451406.466016,RIGHT_HAND,-6664,15208,9156,2874,-4839,3430,62
1730451406.511275,RIGHT_HAND,-6260,15024,8668,2835,-5228,1963,63
1730451406.51201,RIGHT_HAND,-5584,13860,8120,3273,-4954,250,64
1730451406.5559213,RIGHT_HAND,-5340,13160,7252,1460,-5465,-1086,65
1730451406.600966,RIGHT_HAND,-4860,13516,6820,-1378,-6302,-1860,66
1730451406.601716,RIGHT_HAND,-4464,14356,6804,-2055,-6397,-2341,67
1730451406.6469762,RIGHT_HAND,-4488,14640,6676,-1758,-6109,-2443,68
1730451406.692742,RIGHT_HAND,-4360,14812,6012,-1468,-5033,-2137,69
1730451406.6935258,RIGHT_HAND,-4368,14492,5612,-1817,-3565,-1563,70
1730451406.7368035,RIGHT_HAND,-4080,14516,5620,-2023,-2388,-1003,71
1730451406.7817204,RIGHT_HAND,-3928,14864,5316,-2415,-1344,-760,72
1730451406.8719387,RIGHT_HAND,-3776,15236,5628,-2852,-765,-672,73
1730451406.8726356,RIGHT_HAND,-3480,15216,5672,-2747,-556,-782,74
1730451406.9161959,RIGHT_HAND,-3456,15396,5740,-2392,-1015,-906,75
1730451406.916959,RIGHT_HAND,-3464,15228,5496,-2382,-742,-765,76
1730451406.9619665,RIGHT_HAND,-3992,15504,4804,-2059,716,-40,77
1730451407.0066335,RIGHT_HAND,-3884,15720,4720,-1973,2596,677,78
1730451407.0073156,RIGHT_HAND,-3488,15336,4936,-1454,3819,965,79
1730451407.0509114,RIGHT_HAND,-3168,15308,5304,-1320,3587,1205,80
1730451407.096196,RIGHT_HAND,-3068,15408,5732,-1229,2659,1069,81
1730451407.0968435,RIGHT_HAND,-2912,15368,5828,-881,1678,552,82
1730451407.1408794,RIGHT_HAND,-2956,15208,6272,-627,939,177,83
1730451407.1861424,RIGHT_HAND,-3172,15220,6032,-754,355,-49,84
1730451407.1867914,RIGHT_HAND,-3172,14884,6140,-749,255,-349,85
1730451407.2308652,RIGHT_HAND,-3064,14808,5952,-929,293,-256,86
1730451407.2759404,RIGHT_HAND,-3044,15116,5888,-970,134,-59,87
1730451407.2766342,RIGHT_HAND,-3268,15068,5904,-688,-99,-196,88
1730451407.322183,RIGHT_HAND,-3308,14952,5820,-604,-245,-229,89
1730451407.3659444,RIGHT_HAND,-3388,15188,5780,-738,-533,-109,90
1730451407.410947,RIGHT_HAND,-3608,15396,6008,-612,-780,-191,91
1730451407.4116528,RIGHT_HAND,-3456,15172,5732,-378,-543,-101,92
1730451407.4559596,RIGHT_HAND,-3404,15076,5568,-501,-4,163,93
1730451407.5009735,RIGHT_HAND,-3392,15008,5648,-576,432,318,94
1730451407.5016763,RIGHT_HAND,-3204,15056,5788,-618,452,300,95
1730451407.5458705,RIGHT_HAND,-3316,15188,5812,-745,95,286,96
1730451407.5909703,RIGHT_HAND,-3264,15140,5972,-384,-286,53,97
1730451407.5916612,RIGHT_HAND,-3224,14980,5732,-200,-535,-172,98
1730451407.635912,RIGHT_HAND,-3320,15312,5476,-744,-299,87,99
1730451407.6809263,RIGHT_HAND,-3156,15444,5712,-734,65,303,100
1730451407.6816916,RIGHT_HAND,-3172,15372,6044,-213,-80,57,101
1730451407.726354,RIGHT_HAND,-3264,15272,5592,-431,-604,6,102
1730451407.7709765,RIGHT_HAND,-3436,15408,5500,-358,-606,-44,103
1730451407.771803,RIGHT_HAND,-3316,14908,5460,-32,-50,-176,104
1730451407.8160708,RIGHT_HAND,-3108,14764,5336,-502,-11,-1,105
1730451407.906299,RIGHT_HAND,-3152,15392,5804,-845,-492,199,106
1730451407.907041,RIGHT_HAND,-3124,15384,6184,83,-1187,-191,107
1730451407.907817,RIGHT_HAND,-3288,15068,5848,308,-1746,-536,108
1730451407.9085302,RIGHT_HAND,-3500,14920,5524,-198,-1568,-253,109
1730451407.9510107,RIGHT_HAND,-3556,15096,5476,-240,-1205,-164,110
